data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2019-08-24,2019,colgate,villanova,14,34,0
2019-08-24,2019,samford,youngstown state,22,45,0
2019-08-24,2019,florida,miami,24,20,1,-7.0,,-7.0,,,
2019-08-25,2019,hawai'i,arizona,45,38,1,10.375,,10.375,,,
2019-08-29,2019,morehead state,union college,44,7,1
2019-08-29,2019,connecticut,wagner,24,21,1,-23.0,,-23.0,,,
2019-08-29,2019,murray state,pikeville,59,20,1
2019-08-29,2019,buffalo,robert morris,38,10,1,-41.5,,-41.5,,,
2019-08-29,2019,bowling green,morgan state,46,3,1,-24.0,,-24.0,,,
2019-08-29,2019,chattanooga,eastern illinois,24,10,1
2019-08-29,2019,eastern kentucky,valparaiso,53,7,1
2019-08-29,2019,stony brook,bryant,35,10,1
2019-08-29,2019,richmond,jacksonville,38,19,1
2019-08-29,2019,delaware,delaware state,31,13,1
2019-08-29,2019,cincinnati,ucla,24,14,1,-2.5,,-2.5,,,
2019-08-29,2019,ucf,florida a&m,62,0,1,-44.0,,-44.0,,,
2019-08-29,2019,southeast missouri state,southern illinois,44,26,1
2019-08-29,2019,ut martin,northwestern state,42,20,1
2019-08-29,2019,charlotte,gardner-webb,49,28,1,-31.0,,-31.0,,,
2019-08-29,2019,western kentucky,central arkansas,28,35,0,-10.0,,-10.0,,,
2019-08-30,2019,austin peay,north carolina central,41,10,1
2019-08-30,2019,southeastern louisiana,jacksonville state,35,14,1
2019-08-30,2019,uab,alabama state,24,19,1,-39.0,,-39.0,,,
2019-08-30,2019,lamar,bethel (tn),65,16,1
2019-08-30,2019,north alabama,western illinois,26,17,1
2019-08-30,2019,clemson,georgia tech,52,14,1,-36.625,,-36.625,,,
2019-08-30,2019,tulane,florida international,42,14,1,-3.0,,-3.0,,,
2019-08-30,2019,texas a&m,texas state,41,7,1,-33.25,,-33.25,,,
2019-08-30,2019,central michigan,albany,38,21,1,-14.5,,-14.5,,,
2019-08-30,2019,minnesota,south dakota state,28,21,1,-14.5,,-14.5,,,
2019-08-30,2019,northern arizona,missouri state,37,23,1
2019-08-30,2019,san josé state,northern colorado,35,18,1,-17.5,,-17.5,,,
2019-08-30,2019,arizona state,kent state,30,7,1,-24.5,,-24.5,,,
2019-08-30,2019,byu,utah,12,30,0,6.125,,6.125,,,
2019-08-30,2019,army,rice,14,7,1,-23.0,,-23.0,,,
2019-08-30,2019,maine,sacred heart,42,14,1
2019-08-30,2019,michigan state,tulsa,28,7,1,-23.125,,-23.125,,,
2019-08-30,2019,rutgers,umass,48,21,1,-16.667,,-16.667,,,
2019-08-30,2019,south florida,wisconsin,0,49,0,10.5,,10.5,,,
2019-08-31,2019,wake forest,utah state,38,35,1,-4.5,,-4.5,,,
2019-08-31,2019,nevada,purdue,34,31,1,11.0,,11.0,,,
2019-08-31,2019,colorado,colorado state,52,31,1,-12.625,,-12.625,,,
2019-08-31,2019,oregon state,oklahoma state,36,52,0,13.5,,13.5,,,
2019-08-31,2019,ball state,indiana,24,34,0,17.875,,17.875,,,
2019-08-31,2019,illinois,akron,42,3,1,-18.0,,-18.0,,,
2019-08-31,2019,louisiana,mississippi state,28,38,0,19.0,,19.0,,,
2019-08-31,2019,memphis,ole miss,15,10,1,-3.625,,-3.625,,,
2019-08-31,2019,nebraska,south alabama,35,21,1,-35.5,,-35.5,,,
2019-08-31,2019,ohio state,florida atlantic,45,21,1,-27.625,,-27.625,,,
2019-08-31,2019,maryland,howard,79,0,1,-29.0,,-29.0,,,
2019-08-31,2019,kansas,indiana state,24,17,1,-7.5,,-7.5,,,
2019-08-31,2019,iowa state,northern iowa,29,26,1,-23.5,,-23.5,,,
2019-08-31,2019,nc state,east carolina,34,6,1,-17.375,,-17.375,,,
2019-08-31,2019,florida state,boise state,31,36,0,-6.125,,-6.125,,,
2019-08-31,2019,kentucky,toledo,38,24,1,-10.375,,-10.375,,,
2019-08-31,2019,lehigh,st francis (pa),13,14,0
2019-08-31,2019,davidson,georgetown,27,20,1
2019-08-31,2019,furman,charleston southern,46,13,1
2019-08-31,2019,ohio,rhode island,41,20,1,-25.0,,-25.0,,,
2019-08-31,2019,west virginia,james madison,20,13,1,-7.0,,-7.0,,,
2019-08-31,2019,temple,bucknell,56,12,1,-42.0,,-42.0,,,
2019-08-31,2019,merrimack,virginia lynchburg,45,14,1
