method,season,accuracy,total,over,under
e,2007,0,0,0,0
m,2007,0,0,0,0
p,2007,0,0,0,0
e,2008,100.0,1,0,0
m,2008,100.0,1,0,0
p,2008,100.0,2,0,0
e,2009,100.0,1,0,0
m,2009,100.0,1,0,0
p,2009,100.0,1,0,0
e,2010,100.0,1,0,0
m,2010,0,0,0,0
p,2010,100.0,1,0,0
e,2011,100.0,1,0,0
m,2011,100.0,1,0,0
p,2011,25.0,4,2,1
e,2012,0.0,1,1,0
m,2012,0.0,1,1,0
p,2012,100.0,1,0,0
e,2013,100.0,3,0,0
m,2013,100.0,1,0,0
p,2013,50.0,4,1,1
e,2014,100.0,3,0,0
m,2014,100.0,1,0,0
p,2014,60.0,5,0,2
e,2015,66.6667,6,1,1
m,2015,100.0,5,0,0
p,2015,66.6667,6,1,1
e,2016,60.0,5,1,1
m,2016,100.0,1,0,0
p,2016,60.0,5,1,1
e,2017,66.6667,6,1,1
m,2017,100.0,1,0,0
p,2017,14.2857,7,3,3
e,2018,40.0,5,2,1
m,2018,25.0,4,2,1
p,2018,83.3333,6,0,1
e,2019,85.7143,7,0,1
m,2019,75.0,4,1,0
p,2019,57.1429,7,0,3
