method,season,accuracy,total,over,under
e,2007,72.5434,692,112,78
m,2007,72.6651,439,71,49
e,2008,74.1655,689,110,68
m,2008,75.0,440,65,45
e,2009,73.9826,688,100,79
m,2009,74.5614,456,73,43
e,2010,73.0825,691,116,70
m,2010,77.7559,508,72,41
e,2011,74.2402,691,103,75
m,2011,75.7778,450,65,44
e,2012,73.4375,704,113,74
m,2012,79.0927,507,73,33
e,2013,76.4376,713,101,67
m,2013,77.0065,461,60,46
e,2014,74.8619,724,120,62
m,2014,74.6331,477,83,38
e,2015,76.2036,727,111,62
m,2015,80.6706,507,58,40
e,2016,73.2687,722,116,77
m,2016,76.4244,509,77,43
e,2017,72.0867,738,128,78
m,2017,76.5727,461,60,48
e,2018,74.5232,734,109,78
m,2018,74.3879,531,68,68
e,2019,74.1497,735,106,84
m,2019,75.0505,990,138,109
e,2020,71.6535,508,91,53
m,2020,75.0,340,44,41
e,2021,71.2162,740,133,80
m,2021,73.0901,877,139,97
e,2022,68.8011,734,141,88
m,2022,74.6617,813,123,83
e,2023,74.4,750,123,69
m,2023,0,0,0,0
