method,season,accuracy,total,over,under
e,1980,100.0,1,0,0
m,1980,0.0,1,0,1
e,1981,75.0,4,0,1
m,1981,50.0,4,0,2
e,1982,100.0,1,0,0
m,1982,100.0,1,0,0
e,1983,100.0,1,0,0
m,1983,100.0,1,0,0
e,1984,0,0,0,0
m,1984,0,0,0,0
e,1985,0.0,1,0,1
m,1985,0.0,1,0,1
e,1986,50.0,2,0,1
m,1986,50.0,2,0,1
e,1987,50.0,2,1,0
m,1987,50.0,2,1,0
e,1988,100.0,1,0,0
m,1988,100.0,1,0,0
e,1989,100.0,4,0,0
m,1989,0.0,4,1,3
e,1990,0.0,1,0,1
m,1990,100.0,1,0,0
e,1991,50.0,2,1,0
m,1991,50.0,2,1,0
e,1992,100.0,1,0,0
m,1992,100.0,1,0,0
e,1993,100.0,2,0,0
m,1993,50.0,2,0,1
e,1994,80.0,5,0,1
m,1994,20.0,5,0,4
e,1995,50.0,2,0,1
m,1995,100.0,2,0,0
e,1996,0.0,1,0,1
m,1996,100.0,1,0,0
e,1997,100.0,1,0,0
m,1997,0.0,1,1,0
e,1998,100.0,1,0,0
m,1998,0.0,1,1,0
e,1999,0,0,0,0
m,1999,0,0,0,0
e,2000,0,0,0,0
m,2000,0,0,0,0
e,2001,100.0,1,0,0
m,2001,100.0,1,0,0
e,2002,50.0,4,1,1
m,2002,75.0,4,0,1
e,2003,100.0,1,0,0
m,2003,50.0,2,0,1
e,2004,50.0,2,0,1
m,2004,50.0,2,1,0
e,2005,0.0,2,1,1
m,2005,50.0,2,0,1
e,2006,50.0,2,0,1
m,2006,0.0,3,1,2
e,2007,0,0,0,0
m,2007,0,0,0,0
e,2008,100.0,1,0,0
m,2008,100.0,2,0,0
e,2009,100.0,1,0,0
m,2009,100.0,1,0,0
e,2010,100.0,1,0,0
m,2010,100.0,1,0,0
e,2011,100.0,1,0,0
m,2011,25.0,4,2,1
e,2012,0.0,1,1,0
m,2012,100.0,1,0,0
e,2013,100.0,3,0,0
m,2013,50.0,4,1,1
e,2014,100.0,3,0,0
m,2014,60.0,5,0,2
e,2015,66.6667,6,1,1
m,2015,66.6667,6,1,1
e,2016,60.0,5,1,1
m,2016,60.0,5,1,1
e,2017,66.6667,6,1,1
m,2017,14.2857,7,3,3
e,2018,40.0,5,2,1
m,2018,83.3333,6,0,1
e,2019,85.7143,7,0,1
m,2019,57.1429,7,0,3
