bucket,accuracy,total,over,under
0-2.0,84.6154,26,4,0
2.0-4.0,69.4444,36,9,2
4.0-6.0,56.4103,39,10,7
6.0-7.0,47.8261,23,8,4
7.0-9.0,62.5,40,13,2
9.0-11.0,48.7179,39,16,4
11.0-13.0,72.0,50,13,1
13.0-14.0,65.0,20,5,2
14.0-16.0,65.8537,41,11,3
16.0-18.0,62.8571,35,10,3
18.0-20.0,64.7059,34,12,0
20.0-22.0,66.6667,39,11,2
22.0-23.0,58.8235,17,4,3
23.0-25.0,63.4146,41,10,5
25.0-27.0,54.5455,44,14,6
27.0-29.0,58.1395,43,11,7
29.0-31.0,66.6667,33,7,4
31.0-33.0,66.6667,39,8,5
33.0-35.0,80.0,25,5,0
35.0-1499.0,76.1517,6512,872,681
