,Date,Rank,TeamID,Points,Team
19667,2008 Preseason,1,82,,North Carolina
19668,2008 Preseason,2,33,,UCLA
19669,2008 Preseason,3,102,,Memphis
19670,2008 Preseason,4,52,,Kansas
19671,2008 Preseason,5,80,,Georgetown
19672,2008 Preseason,6,45,,Louisville
19673,2008 Preseason,7,44,,Tennessee
19674,2008 Preseason,8,68,,Michigan State
19675,2008 Preseason,9,36,,Indiana
19676,2008 Preseason,10,18,,Washington State
19677,2008 Preseason,11,100,,Marquette
19678,2008 Preseason,12,142,,Oregon
19679,2008 Preseason,13,64,,Duke
19680,2008 Preseason,14,188,,Gonzaga
19681,2008 Preseason,15,31,,Texas
19682,2008 Preseason,16,119,,Texas A&M
19683,2008 Preseason,17,48,,Arizona
19684,2008 Preseason,18,30,,USC
19685,2008 Preseason,19,32,,Arkansas
19686,2008 Preseason,20,2,,Kentucky
19687,2008 Preseason,21,21,,NC State
19688,2008 Preseason,22,118,,Pittsburgh
19689,2008 Preseason,23,17,,Stanford
19690,2008 Preseason,24,163,,Southern Illinois
19691,2008 Preseason,25,41,,Kansas State
19692,2007-11-12,1,82,,North Carolina
19693,2007-11-12,2,33,,UCLA
19694,2007-11-12,3,102,,Memphis
19695,2007-11-12,4,52,,Kansas
19696,2007-11-12,5,80,,Georgetown
19697,2007-11-12,6,45,,Louisville
19698,2007-11-12,7,44,,Tennessee
19699,2007-11-12,8,36,,Indiana
19700,2007-11-12,9,18,,Washington State
19701,2007-11-12,10,100,,Marquette
19702,2007-11-12,11,142,,Oregon
19703,2007-11-12,12,68,,Michigan State
19704,2007-11-12,13,64,,Duke
19705,2007-11-12,14,188,,Gonzaga
19706,2007-11-12,15,119,,Texas A&M
19707,2007-11-12,16,31,,Texas
19708,2007-11-12,17,48,,Arizona
19709,2007-11-12,18,32,,Arkansas
19710,2007-11-12,19,118,,Pittsburgh
19711,2007-11-12,20,17,,Stanford
19712,2007-11-12,21,21,,NC State
19713,2007-11-12,22,41,,Kansas State
19714,2007-11-12,23,163,,Southern Illinois
19715,2007-11-12,24,9,,Villanova
19716,2007-11-12,25,19,,Butler
19717,2007-11-19,1,82,,North Carolina
