,Date,Rank,TeamID,Points,Team
0,1936-10-19,1,1,345.0,Minnesota 
1,1936-10-19,2,2,187.0,Duke 
2,1936-10-19,3,3,178.0,Army 
3,1936-10-19,4,4,145.0,Northwestern
4,1936-10-19,5,5,120.0,Purdue
5,1936-10-19,6,6,114.0,USC 
6,1936-10-19,7,7,98.0,Notre Dame
7,1936-10-19,8,8,90.0,Washington
8,1936-10-19,9,9,76.0,Pittsburgh
9,1936-10-19,10,10,61.0,Yale
10,1936-10-19,11,11,55.0,Duquesne
11,1936-10-19,12,12,52.0,St. Mary's
12,1936-10-19,13,13,43.0,LSU
13,1936-10-19,14,14,42.0,Texas A&M
14,1936-10-19,15,15,36.0,Nebraska
15,1936-10-19,16,16,34.0,Fordham
16,1936-10-19,17,17,29.0,Holy Cross
17,1936-10-19,18,18,27.0,Tulane
18,1936-10-19,19,19,26.0,SMU
19,1936-10-19,20,20,21.0,Marquette
20,1936-10-26,1,1,440.0,Minnesota 
21,1936-10-26,2,9,296.0,Pittsburgh
22,1936-10-26,3,4,258.0,Northwestern
23,1936-10-26,4,8,236.0,Washington
24,1936-10-26,5,16,201.0,Fordham
25,1936-10-26,6,3,152.0,Army
26,1936-10-26,7,6,149.0,USC
27,1936-10-26,8,13,106.0,LSU
28,1936-10-26,9,18,103.0,Tulane
29,1936-10-26,10,20,92.0,Marquette
30,1936-10-26,11,15,82.0,Nebraska
31,1936-10-26,12,10,54.0,Yale
32,1936-10-26,13,2,43.0,Duke
33,1936-10-26,13,17,43.0,Holy Cross
34,1936-10-26,15,19,34.0,SMU
35,1936-10-26,16,21,30.0,Auburn
36,1936-10-26,17,5,15.0,Purdue
37,1936-10-26,17,22,15.0,Princeton
38,1936-10-26,19,23,14.0,Santa Clara
39,1936-10-26,20,12,11.0,St. Mary's
40,1936-10-26,20,24,11.0,Penn
41,1936-10-26,NR,7,0.0,Notre Dame
42,1936-10-26,NR,11,0.0,Duquesne
43,1936-10-26,NR,14,0.0,Texas A&M
44,1936-11-02,1,4,412.0,Northwestern 
45,1936-11-02,2,1,371.0,Minnesota 
46,1936-11-02,3,16,227.0,Fordham 
47,1936-11-02,4,20,212.0,Marquette
48,1936-11-02,5,9,191.0,Pittsburgh
49,1936-11-02,6,8,181.0,Washington
50,1936-11-02,7,13,168.0,LSU
51,1936-11-02,8,15,165.0,Nebraska
52,1936-11-02,9,23,145.0,Santa Clara
53,1936-11-02,10,18,93.0,Tulane
54,1936-11-02,11,6,76.0,USC
55,1936-11-02,12,19,40.0,SMU
56,1936-11-02,13,7,17.0,Notre Dame
57,1936-11-02,14,25,16.0,Alabama
58,1936-11-02,15,2,10.0,Duke
59,1936-11-02,15,24,10.0,Penn
60,1936-11-02,17,26,8.0,Washington State
61,1936-11-02,18,27,4.0,Dartmouth
62,1936-11-02,18,28,4.0,Tennessee
63,1936-11-02,20,21,3.0,Auburn
64,1936-11-02,NR,3,0.0,Army
65,1936-11-02,NR,10,0.0,Yale
66,1936-11-02,NR,17,0.0,Holy Cross
67,1936-11-02,NR,22,0.0,Princeton
68,1936-11-02,NR,5,0.0,Purdue
69,1936-11-09,1,4,435.0,Northwestern 
70,1936-11-09,2,1,419.0,Minnesota 
71,1936-11-09,3,16,348.0,Fordham 
72,1936-11-09,4,25,252.0,Alabama 
73,1936-11-09,5,9,203.0,Pittsburgh
74,1936-11-09,6,15,201.0,Nebraska
75,1936-11-09,7,13,184.0,LSU
76,1936-11-09,8,20,145.0,Marquette
77,1936-11-09,9,23,118.0,Santa Clara
78,1936-11-09,10,8,117.0,Washington
79,1936-11-09,11,24,38.0,Penn
80,1936-11-09,12,27,24.0,Dartmouth
81,1936-11-09,13,2,13.0,Duke
82,1936-11-09,14,26,10.0,Washington State
83,1936-11-09,15,6,9.0,USC
84,1936-11-09,15,14,9.0,Texas A&M
85,1936-11-09,17,17,8.0,Holy Cross
86,1936-11-09,18,29,4.0,TCU
87,1936-11-09,19,19,3.0,SMU
88,1936-11-09,19,30,3.0,Temple
89,1936-11-09,NR,18,0.0,Tulane
90,1936-11-09,NR,7,0.0,Notre Dame
91,1936-11-09,NR,28,0.0,Tennessee
92,1936-11-09,NR,21,0.0,Auburn
93,1936-11-16,1,4,337.0,Northwestern 
94,1936-11-16,2,1,331.0,Minnesota 
95,1936-11-16,3,16,257.0,Fordham 
96,1936-11-16,4,9,240.0,Pittsburgh
97,1936-11-16,5,13,166.0,LSU 
98,1936-11-16,6,8,165.0,Washington 
99,1936-11-16,7,20,154.0,Marquette
100,1936-11-16,8,25,150.0,Alabama
101,1936-11-16,9,23,143.0,Santa Clara
102,1936-11-16,10,24,25.0,Penn
103,1936-11-16,11,7,19.0,Notre Dame
104,1936-11-16,12,27,10.0,Dartmouth
105,1936-11-16,13,15,9.0,Nebraska
106,1936-11-16,14,14,8.0,Texas A&M
107,1936-11-16,15,26,7.0,Washington State
108,1936-11-16,16,2,6.0,Duke
109,1936-11-16,17,17,5.0,Holy Cross
110,1936-11-16,18,31,4.0,Ohio State
111,1936-11-16,19,28,3.0,Tennessee
112,1936-11-16,20,30,2.0,Temple
113,1936-11-16,20,11,2.0,Duquesne
114,1936-11-16,NR,6,0.0,USC
115,1936-11-16,NR,29,0.0,TCU
116,1936-11-16,NR,19,0.0,SMU
117,1936-11-23,1,1,391.0,Minnesota 
118,1936-11-23,2,13,338.0,LSU 
119,1936-11-23,3,25,281.0,Alabama
120,1936-11-23,4,9,275.0,Pittsburgh
121,1936-11-23,5,23,201.0,Santa Clara 
122,1936-11-23,6,8,191.0,Washington
123,1936-11-23,7,4,151.0,Northwestern
124,1936-11-23,8,16,129.0,Fordham
125,1936-11-23,9,7,128.0,Notre Dame 
126,1936-11-23,10,15,50.0,Nebraska
127,1936-11-23,11,2,44.0,Duke
128,1936-11-23,12,11,31.0,Duquesne
129,1936-11-23,13,24,24.0,Penn
130,1936-11-23,14,27,19.0,Dartmouth
131,1936-11-23,15,20,15.0,Marquette
132,1936-11-23,16,10,14.0,Yale
133,1936-11-23,17,28,10.0,Tennessee
134,1936-11-23,18,29,9.0,TCU
135,1936-11-23,19,18,7.0,Tulane
136,1936-11-23,20,26,6.0,Washington State
137,1936-11-23,NR,14,0.0,Texas A&M
138,1936-11-23,NR,17,0.0,Holy Cross
139,1936-11-23,NR,31,0.0,Ohio State
140,1936-11-23,NR,30,0.0,Temple
141,1936 Final,1,1,332.0,Minnesota 
142,1936 Final,2,13,309.0,LSU 
143,1936 Final,3,9,227.0,Pittsburgh
144,1936 Final,4,25,218.0,Alabama
145,1936 Final,5,8,216.0,Washington
146,1936 Final,6,23,155.0,Santa Clara 
147,1936 Final,7,4,130.0,Northwestern
148,1936 Final,8,7,107.0,Notre Dame
149,1936 Final,9,15,69.0,Nebraska
150,1936 Final,10,24,34.0,Penn
151,1936 Final,11,2,33.0,Duke
152,1936 Final,12,10,22.0,Yale
153,1936 Final,13,27,13.0,Dartmouth
154,1936 Final,14,11,12.0,Duquesne
155,1936 Final,15,16,11.0,Fordham
156,1936 Final,16,29,10.0,TCU
157,1936 Final,17,28,8.0,Tennessee
158,1936 Final,18,32,6.0,Arkansas
159,1936 Final,18,33,6.0,Navy
160,1936 Final,20,20,4.0,Marquette
161,1936 Final,NR,18,0.0,Tulane
162,1936 Final,NR,26,0.0,Washington State
163,1937-10-18,1,34,432.0,California 
164,1937-10-18,2,25,355.0,Alabama 
165,1937-10-18,3,9,347.0,Pittsburgh 
166,1937-10-18,4,1,291.0,Minnesota 
167,1937-10-18,5,10,256.0,Yale 
168,1937-10-18,6,13,244.0,LSU 
169,1937-10-18,7,4,165.0,Northwestern
170,1937-10-18,8,15,153.0,Nebraska
171,1937-10-18,9,16,103.0,Fordham
172,1937-10-18,10,2,94.0,Duke
173,1937-10-18,11,6,84.0,USC
174,1937-10-18,12,31,63.0,Ohio State
175,1937-10-18,13,14,51.0,Texas A&M
176,1937-10-18,14,23,45.0,Santa Clara
177,1937-10-18,15,35,41.0,Baylor
178,1937-10-18,16,36,36.0,Wisconsin
179,1937-10-18,17,37,35.0,Syracuse
180,1937-10-18,18,27,34.0,Dartmouth
181,1937-10-18,19,38,17.0,Cornell
182,1937-10-18,20,21,13.0,Auburn
183,1937-10-18,20,17,13.0,Holy Cross
184,1937-10-18,20,39,13.0,Vanderbilt
185,1937-10-25,1,34,556.0,California 
186,1937-10-25,2,9,408.0,Pittsburgh 
187,1937-10-25,3,25,337.0,Alabama
188,1937-10-25,4,1,321.0,Minnesota 
189,1937-10-25,5,10,278.0,Yale 
190,1937-10-25,6,35,226.0,Baylor 
191,1937-10-25,7,39,167.0,Vanderbilt 
192,1937-10-25,8,31,146.0,Ohio State
193,1937-10-25,9,27,130.0,Dartmouth
194,1937-10-25,10,16,122.0,Fordham
195,1937-10-25,11,15,121.0,Nebraska
196,1937-10-25,12,21,85.0,Auburn
197,1937-10-25,13,2,84.0,Duke
198,1937-10-25,14,23,33.0,Santa Clara
199,1937-10-25,15,40,16.0,North Carolina
200,1937-10-25,16,41,13.0,Villanova
201,1937-10-25,17,13,12.0,LSU
202,1937-10-25,18,17,9.0,Holy Cross
203,1937-10-25,18,42,9.0,Detroit
204,1937-10-25,20,32,8.0,Arkansas
205,1937-10-25,NR,4,0.0,Northwestern
206,1937-10-25,NR,6,0.0,USC
207,1937-10-25,NR,14,0.0,Texas A&M
208,1937-10-25,NR,36,0.0,Wisconsin
209,1937-10-25,NR,37,0.0,Syracuse
210,1937-11-01,1,34,600.0,California 
211,1937-11-01,2,25,503.0,Alabama 
212,1937-11-01,3,9,482.0,Pittsburgh 
213,1937-11-01,4,35,331.0,Baylor 
214,1937-11-01,5,16,281.0,Fordham
215,1937-11-01,6,15,191.0,Nebraska
216,1937-11-01,7,10,181.0,Yale
217,1937-11-01,8,31,178.0,Ohio State
218,1937-11-01,9,27,146.0,Dartmouth
219,1937-11-01,10,23,113.0,Santa Clara
220,1937-11-01,11,2,107.0,Duke
221,1937-11-01,12,7,75.0,Notre Dame
222,1937-11-01,13,41,62.0,Villanova
223,1937-11-01,14,1,55.0,Minnesota
224,1937-11-01,15,28,24.0,Tennessee
225,1937-11-01,16,32,10.0,Arkansas
226,1937-11-01,16,11,10.0,Duquesne
227,1937-11-01,18,13,8.0,LSU
228,1937-11-01,19,4,6.0,Northwestern
229,1937-11-01,19,18,6.0,Tulane
230,1937-11-01,NR,39,0.0,Vanderbilt
231,1937-11-01,NR,21,0.0,Auburn
232,1937-11-01,NR,40,0.0,North Carolina
233,1937-11-01,NR,42,0.0,Detroit
234,1937-11-01,NR,17,0.0,Holy Cross
235,1937-11-08,1,9,510.0,Pittsburgh 
236,1937-11-08,2,34,449.0,California 
237,1937-11-08,3,25,422.0,Alabama 
238,1937-11-08,4,16,388.0,Fordham 
239,1937-11-08,5,27,253.0,Dartmouth
240,1937-11-08,6,10,215.0,Yale
241,1937-11-08,7,23,166.0,Santa Clara
242,1937-11-08,8,2,159.0,Duke
