season,date,regular,team1,team2,score1,score2,moneyline1,moneyline2,rank1,rank2,points1,points2
2007,2007-11-05,False,Maine,Richmond,42.0,44.0,200,-240,,,,
2007,2007-11-05,True,MemphisU,TennMartin,102.0,71.0,-39000,13000,,,,
2007,2007-11-06,False,GardnerWebb,AlabamaA&M,69.0,55.0,-160,140,,,,
2007,2007-11-06,True,Kentucky,CentralArkansas,67.0,40.0,-7000,3000,20,,,
2007,2007-11-06,False,Maine,TennMartin,62.0,66.0,105,-125,,,,
2007,2007-11-06,True,MemphisU,Richmond,80.0,63.0,-10000,4000,,,,
2007,2007-11-07,False,OhioValley,Buffalo,82.0,89.0,3000,-7000,,,,
2007,2007-11-07,True,Connecticut,MorganState,69.0,65.0,NL,NL,,,,
2007,2007-11-07,False,AlabamaA&M,CentralArkansas,59.0,69.0,140,-160,,,,
2007,2007-11-07,True,Kentucky,GardnerWebb,68.0,84.0,-7000,3000,20,,,
2007,2007-11-08,False,OhioValley,MorganState,66.0,77.0,600,-900,,,,
2007,2007-11-08,True,Connecticut,Buffalo,82.0,57.0,-3000,1500,,,,
2007,2007-11-08,False,ECentralOklahoma,DenverU,75.0,76.0,325,-400,,,,
2007,2007-11-08,True,Oklahoma,SanFrancisco,71.0,55.0,-2600,1420,,,,
2007,2007-11-09,True,Ohio,NewMexicoState,80.0,72.0,-180,158,,,,
2007,2007-11-09,True,Columbia,Fordham,61.0,79.0,190,-230,,,,
2007,2007-11-09,True,Pennsylvania,Drexel,59.0,67.0,130,-150,,,,
2007,2007-11-09,True,BallState,Butler,45.0,61.0,460,-620,,,,
2007,2007-11-09,True,RhodeIsland,FlaAtlantic,90.0,63.0,-1300,850,,,,
2007,2007-11-09,True,SouthFlorida,ClevelandState,70.0,73.0,-340,280,,,,
2007,2007-11-09,True,EasternMichigan,Brown,55.0,74.0,-235,195,,,,
2007,2007-11-09,True,Tennessee,Temple,80.0,63.0,-2200,1315,,,,
2007,2007-11-09,True,Creighton,Depaul,74.0,62.0,-155,135,,,,
2007,2007-11-09,True,Alabama,Troy,84.0,72.0,-2000,1250,,,,
2007,2007-11-09,True,Kansas,ULMonroe,107.0,78.0,NL,NL,4,,,
2007,2007-11-09,True,Colorado,NewMexico,47.0,54.0,100,-120,,,,
2007,2007-11-09,True,Tulane,Auburn,77.0,62.0,-145,125,,,,
2007,2007-11-09,True,CalIrvine,LoyolaMarymount,74.0,61.0,-500,400,,,,
2007,2007-11-09,True,Hawaii,SanDiego,72.0,73.0,-415,333,,,,
2007,2007-11-09,False,Massachusetts,CalPolySLO,90.0,64.0,-240,200,,,,
2007,2007-11-09,True,NorthernIowa,NoIllinois,75.0,45.0,-1250,800,,,,
2007,2007-11-09,False,WesternCarolina,BowlingGreen,63.0,60.0,-125,105,,,,
2007,2007-11-09,True,Cincinnati,Belmont,75.0,86.0,-410,330,,,,
2007,2007-11-09,False,VMI,NorthernColorado,97.0,104.0,-165,145,,,,
2007,2007-11-09,True,AirForce,Dartmouth,67.0,38.0,-1550,1025,,,,
2007,2007-11-09,False,NorthwesternSt,CalSantaBarb,71.0,92.0,173,-205,,,,
2007,2007-11-09,True,Stanford,Harvard,111.0,56.0,-4000,2000,23,,,
2007,2007-11-09,False,Liberty,SanDiegoState,50.0,62.0,300,-360,,,,
2007,2007-11-09,True,FresnoState,PortlandU,75.0,68.0,-1300,850,,,,
2007,2007-11-09,False,ECentralOklahoma,SanFrancisco,70.0,87.0,700,-1100,,,,
2007,2007-11-09,True,Oklahoma,DenverU,80.0,50.0,NL,NL,,,,
2007,2007-11-09,True,GeorgiaTech,NCGreensboro,74.0,83.0,-2000,1250,,,,
2007,2007-11-09,True,Rutgers,TennesseeTech,70.0,64.0,-360,300,,,,
2007,2007-11-09,True,VirginiaTech,Elon,69.0,64.0,-2000,1250,,,,
2007,2007-11-09,True,JamesMadison,Siena,100.0,88.0,140,-160,,,,
2007,2007-11-09,True,WakeForest,Fairfield,85.0,60.0,-900,600,,,,
2007,2007-11-09,True,TowsonState,LoyolaMaryland,83.0,69.0,120,-140,,,,
2007,2007-11-09,True,KansasState,SacramentoState,94.0,63.0,-5500,2625,25,,,
2007,2007-11-09,True,Arkansas,Wofford,67.0,45.0,-6000,2750,19,,,
2007,2007-11-09,True,HoustonU,MoreheadState,83.0,54.0,-5000,2500,,,,
2007,2007-11-09,True,Montana,ColoradoState,75.0,39.0,-420,335,,,,
2007,2007-11-09,True,Iowa,IdahoState,58.0,43.0,-1100,700,,,,
2007,2007-11-09,True,Georgia,JacksonvilleSt,107.0,65.0,-2500,1400,,,,
2007,2007-11-09,True,WashingtonState,E.Washington,68.0,41.0,-7000,3000,10,,,
2007,2007-11-09,True,UNLV,MontanaState,76.0,65.0,-1800,1150,,,,
