,rankDiff,wins,games,winPct
0,1,6,22,0.2727272727272727
1,2,7,18,0.3888888888888889
2,3,6,21,0.2857142857142857
3,4,5,24,0.20833333333333334
4,5,5,18,0.2777777777777778
5,6,5,22,0.22727272727272727
6,7,4,19,0.21052631578947367
7,8,6,23,0.2608695652173913
8,9,3,13,0.23076923076923078
9,10,3,33,0.09090909090909091
10,11,0,15,0.0
11,12,1,14,0.07142857142857142
12,13,2,15,0.13333333333333333
13,14,4,18,0.2222222222222222
14,15,1,14,0.07142857142857142
15,16,1,14,0.07142857142857142
16,17,3,17,0.17647058823529413
17,18,1,12,0.08333333333333333
18,19,1,13,0.07692307692307693
19,20,1,12,0.08333333333333333
20,21,0,10,0.0
21,22,0,3,0.0
22,23,0,3,0.0
23,24,0,1,0.0
