,rankDiff,homeWins,homeGames,awayWins,awayGames,combinedWins,combinedGames,combinedWinPct
0,1,16,22,7,24,23,46,0.5
1,2,11,18,9,16,20,34,0.5882352941176471
2,3,14,21,11,26,25,47,0.5319148936170213
3,4,19,24,10,16,29,40,0.725
4,5,13,18,14,18,27,36,0.75
5,6,17,22,9,17,26,39,0.6666666666666666
6,7,15,19,7,14,22,33,0.6666666666666666
7,8,17,23,11,24,28,47,0.5957446808510638
8,9,10,13,8,14,18,27,0.6666666666666666
9,10,30,33,14,18,44,51,0.8627450980392157
10,11,15,15,10,17,25,32,0.78125
11,12,12,14,9,17,21,31,0.6774193548387096
12,13,13,15,10,14,23,29,0.7931034482758621
13,14,14,18,20,22,34,40,0.85
14,15,13,14,8,14,21,28,0.75
15,16,13,14,16,23,29,37,0.7837837837837838
16,17,14,17,7,11,21,28,0.75
17,18,11,12,9,10,20,22,0.9090909090909091
18,19,12,13,4,7,16,20,0.8
19,20,11,12,4,8,15,20,0.75
20,21,10,10,4,7,14,17,0.8235294117647058
21,22,3,3,6,8,9,11,0.8181818181818182
22,23,3,3,5,5,8,8,1.0
23,24,1,1,0,0,1,1,1.0
