,rankDiff,wins,games,winPct
0,1,16,22,0.7272727272727273
1,2,11,18,0.6111111111111112
2,3,14,21,0.6666666666666666
3,4,19,24,0.7916666666666666
4,5,13,18,0.7222222222222222
5,6,17,22,0.7727272727272727
6,7,15,19,0.7894736842105263
7,8,17,23,0.7391304347826086
8,9,10,13,0.7692307692307693
9,10,30,33,0.9090909090909091
10,11,15,15,1.0
11,12,12,14,0.8571428571428571
12,13,13,15,0.8666666666666667
13,14,14,18,0.7777777777777778
14,15,13,14,0.9285714285714286
15,16,13,14,0.9285714285714286
16,17,14,17,0.8235294117647058
17,18,11,12,0.9166666666666666
18,19,12,13,0.9230769230769231
19,20,11,12,0.9166666666666666
20,21,10,10,1.0
21,22,3,3,1.0
22,23,3,3,1.0
23,24,1,1,1.0
