,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,nan,0.8000,1.0000,1.0000,0.6667,0.6667,1.0000,1.0000,0.8000,1.0000,0.8333,1.0000,0.6667,0.7500,0.6667,1.0000,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,nan,1.0000,1.0000
1,0.4444,nan,0.7143,0.0000,0.6667,nan,0.5000,0.8000,0.8750,1.0000,0.5000,1.0000,1.0000,1.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,nan
2,0.3333,0.7143,nan,1.0000,0.5000,0.7143,0.8333,0.6667,0.8000,0.5000,0.7143,0.5000,0.7500,1.0000,0.5000,1.0000,0.7143,1.0000,1.0000,0.6667,0.6667,1.0000,nan,1.0000,1.0000
3,0.6250,0.5000,1.0000,nan,0.3333,0.6667,0.3333,1.0000,1.0000,0.5000,1.0000,0.0000,nan,1.0000,1.0000,1.0000,1.0000,0.6667,1.0000,1.0000,1.0000,1.0000,1.0000,0.8000,1.0000
4,0.0000,0.7500,0.5000,0.6667,nan,0.5000,1.0000,0.5000,0.6667,0.8000,0.0000,0.5000,0.8000,1.0000,1.0000,nan,1.0000,1.0000,1.0000,0.5000,1.0000,0.6667,1.0000,nan,1.0000
5,0.6000,0.6000,0.2000,0.0000,0.6667,nan,0.6667,0.6667,0.7500,0.7500,1.0000,1.0000,1.0000,1.0000,0.7500,0.3333,0.5000,0.0000,1.0000,1.0000,1.0000,1.0000,0.8000,0.7500,1.0000
6,0.6667,0.0000,0.4000,0.5000,0.5000,1.0000,nan,1.0000,0.5000,1.0000,0.7143,0.8000,0.7500,1.0000,1.0000,0.6000,1.0000,0.7500,0.6667,1.0000,1.0000,1.0000,1.0000,0.5000,0.6000
7,0.6667,0.1667,0.0000,nan,0.4286,1.0000,0.6667,1.0000,1.0000,0.7500,0.0000,0.5000,0.5000,0.7500,nan,0.7500,1.0000,nan,1.0000,0.0000,0.6667,1.0000,1.0000,1.0000,1.0000
8,0.0000,0.2500,1.0000,0.3333,0.3333,0.5000,0.0000,nan,nan,0.0000,0.0000,1.0000,0.8000,1.0000,0.0000,1.0000,1.0000,1.0000,nan,0.2000,0.7500,1.0000,1.0000,0.3333,1.0000
9,0.3333,0.5556,0.0000,0.6667,0.0000,0.5000,1.0000,0.3333,0.6667,nan,0.4286,0.0000,0.7500,0.3333,1.0000,nan,0.8571,0.7500,1.0000,0.5000,0.5000,1.0000,0.5000,0.5000,0.8000
10,0.2500,0.6667,0.5000,0.5000,0.0000,0.1250,0.4286,0.6667,0.3333,0.5000,nan,0.0000,0.8000,0.6667,0.3333,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,nan,0.6667,0.5000
11,1.0000,0.0000,0.3333,0.6667,0.6667,0.6667,0.6667,0.4000,1.0000,0.5000,0.6667,nan,0.6000,0.5000,0.8000,0.5000,1.0000,0.6667,0.2000,0.5000,1.0000,0.7500,0.0000,0.0000,0.6667
12,0.0000,0.2500,0.2500,0.3333,0.5000,nan,0.0000,0.3333,0.7500,0.5000,0.8000,1.0000,nan,0.6667,1.0000,1.0000,0.5000,0.7143,1.0000,0.6667,0.2500,1.0000,0.7500,0.6667,1.0000
13,0.1429,0.5000,0.2500,0.3333,0.5000,0.7500,0.4000,1.0000,0.5000,0.3333,0.3333,0.0000,0.5000,nan,0.0000,0.5000,1.0000,1.0000,0.3333,0.3333,1.0000,1.0000,1.0000,1.0000,nan
14,0.0000,0.0000,0.3333,0.6667,0.2000,1.0000,0.6667,nan,nan,nan,0.5000,0.5000,0.7143,0.5000,nan,1.0000,1.0000,0.7143,0.3333,0.5000,0.5000,0.6000,0.6667,nan,0.0000
15,0.0000,0.0000,0.0000,0.7500,0.4000,0.3333,0.3333,0.0000,0.3333,0.2500,0.4000,1.0000,0.7500,0.7500,1.0000,nan,nan,0.7500,0.2500,nan,0.4000,0.2500,0.3333,0.0000,1.0000
16,0.5000,0.0000,0.0000,0.0000,0.6667,0.0000,0.5000,0.2500,0.5000,0.2500,0.5000,0.3333,0.7500,0.6000,nan,0.5000,nan,1.0000,0.5000,0.5000,0.6667,0.6667,1.0000,0.3333,0.4000
17,0.5000,0.1667,0.6667,0.5000,1.0000,0.0000,0.0000,nan,1.0000,0.3333,0.6667,0.0000,0.3333,0.5000,0.6667,1.0000,0.2857,nan,0.0000,0.6667,0.0000,0.6667,1.0000,0.0000,nan
18,0.5000,0.0000,0.3333,0.4000,0.0000,0.5000,0.0000,0.3333,0.0000,0.5000,0.0000,0.5000,1.0000,0.6667,0.5000,0.7500,0.3333,0.0000,nan,0.6667,1.0000,0.8000,1.0000,0.0000,0.5000
19,0.0000,0.0000,0.0000,0.3333,0.2500,0.2000,0.8000,0.0000,0.3333,0.5714,0.6667,0.0000,0.2500,0.4286,0.2857,1.0000,0.5000,nan,0.5000,0.0000,0.6667,1.0000,1.0000,0.6667,1.0000
20,0.0000,1.0000,0.0000,0.5000,0.2000,0.3333,0.0000,0.0000,0.2500,0.5000,0.6667,1.0000,1.0000,0.6667,nan,1.0000,1.0000,0.0000,0.3333,0.6000,nan,1.0000,0.3333,1.0000,0.0000
21,0.0000,0.0000,1.0000,0.0000,1.0000,0.5000,0.0000,nan,1.0000,1.0000,0.5000,1.0000,0.0000,0.5000,0.5000,0.6667,nan,0.0000,1.0000,nan,nan,nan,0.0000,nan,0.6667
22,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,0.5000,nan,0.6667,1.0000,1.0000,0.6667,0.5000,nan,0.5000,0.2500,nan,0.3333,0.1429,nan,0.5000,0.4286,nan,1.0000,0.5000
23,0.0000,0.5000,0.5000,1.0000,0.0000,0.5000,0.5000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.6667,0.5000,1.0000,0.3333,0.0000,0.0000,0.3333,0.3333,1.0000,nan,0.0000
24,nan,0.0000,0.5000,0.6667,0.6667,0.0000,0.0000,0.3333,0.0000,1.0000,0.5000,0.2857,0.2500,0.5000,0.5000,nan,0.5000,1.0000,1.0000,0.0000,0.0000,1.0000,1.0000,1.0000,nan
