method,season,accuracy,total,over,under
e,2007,70.5202,692,76,128
m,2007,73.0539,501,80,55
p,2007,75.0,44,8,3
e,2008,73.0044,689,71,115
m,2008,74.6421,489,80,44
p,2008,71.4286,42,6,6
e,2009,74.2733,688,68,109
m,2009,76.0155,517,76,48
p,2009,70.5882,34,4,6
e,2010,72.9378,691,78,109
m,2010,78.5211,568,80,42
p,2010,67.3469,49,3,13
e,2011,72.7931,691,72,116
m,2011,74.2972,498,77,51
p,2011,63.8298,47,7,10
e,2012,72.5852,704,77,116
m,2012,80.137,584,82,34
p,2012,71.7391,46,6,7
e,2013,76.5778,713,60,107
m,2013,77.176,517,70,48
p,2013,57.4468,47,7,13
e,2014,72.2376,724,87,114
m,2014,73.6549,539,97,45
p,2014,66.0377,53,5,13
e,2015,74.9656,727,77,105
m,2015,80.9932,584,67,44
p,2015,58.3333,48,9,11
e,2016,70.6371,722,82,130
m,2016,75.5932,590,93,51
p,2016,65.2174,46,5,11
e,2017,70.4607,738,86,132
m,2017,74.6589,513,77,53
p,2017,63.8298,47,4,13
e,2018,73.4332,734,73,122
m,2018,75.6178,607,79,69
p,2018,68.75,48,5,10
e,2019,72.1088,735,72,133
m,2019,75.1796,1253,177,134
p,2019,72.7273,44,2,10
