method,season,accuracy,total,over,under
e,1980,36.0,25,9,7
m,1980,72.0,25,4,3
e,1981,48.0,25,8,5
m,1981,56.0,25,4,7
e,1982,50.0,30,4,11
m,1982,63.3333,30,2,9
e,1983,34.7826,23,2,13
m,1983,91.3043,23,0,2
e,1984,55.1724,29,7,6
m,1984,82.7586,29,0,5
e,1985,51.6129,31,9,6
m,1985,41.9355,31,11,7
e,1986,31.0345,29,10,10
m,1986,75.8621,29,2,5
e,1987,53.5714,28,4,9
m,1987,75.0,28,3,4
e,1988,73.3333,30,1,7
m,1988,66.6667,30,1,9
e,1989,64.1026,39,5,9
m,1989,58.9744,39,5,11
e,1990,31.5789,38,10,16
m,1990,73.6842,38,5,5
e,1991,76.5957,47,5,6
m,1991,65.9574,47,8,8
e,1992,65.2174,46,7,9
m,1992,60.8696,46,6,12
e,1993,50.0,50,8,17
m,1993,54.0,50,7,16
e,1994,68.8889,45,5,9
m,1994,53.3333,45,10,11
e,1995,63.2653,49,8,10
m,1995,55.102,49,10,12
e,1996,69.4444,36,6,5
m,1996,55.5556,36,9,7
e,1997,68.2927,41,4,9
m,1997,63.4146,41,7,8
e,1998,61.3636,44,5,12
m,1998,79.5455,44,2,7
e,1999,63.8298,47,3,14
m,1999,61.7021,47,3,15
e,2000,55.0,40,3,15
m,2000,55.0,40,4,14
e,2001,55.5556,45,10,10
m,2001,66.6667,45,5,10
e,2002,64.5833,48,8,9
m,2002,72.9167,48,7,6
e,2003,67.4419,43,4,10
m,2003,55.814,43,5,14
e,2004,66.6667,30,6,4
m,2004,53.3333,30,8,6
e,2005,61.3636,44,6,11
m,2005,61.3636,44,9,8
e,2006,62.5,40,5,10
m,2006,65.0,40,6,8
e,2007,75.0,44,4,7
m,2007,75.0,44,8,3
e,2008,78.5714,42,5,4
m,2008,71.4286,42,6,6
e,2009,64.7059,34,4,8
m,2009,70.5882,34,4,6
e,2010,65.3061,49,7,10
m,2010,67.3469,49,3,13
e,2011,70.2128,47,5,9
m,2011,63.8298,47,7,10
e,2012,67.3913,46,6,9
m,2012,71.7391,46,6,7
e,2013,65.9574,47,3,13
m,2013,57.4468,47,7,13
e,2014,52.8302,53,7,18
m,2014,66.0377,53,5,13
e,2015,62.5,48,7,11
m,2015,58.3333,48,9,11
e,2016,71.7391,46,2,11
m,2016,65.2174,46,5,11
e,2017,63.8298,47,5,12
m,2017,63.8298,47,4,13
e,2018,70.8333,48,5,9
m,2018,68.75,48,5,10
e,2019,84.0909,44,1,6
m,2019,72.7273,44,2,10
