method,seasons,accuracy,total,over,under
e,80 - 84,45.4545,132,30,42
m,80 - 84,72.7273,132,10,26
e,85 - 89,55.414,157,29,41
m,85 - 89,63.0573,157,22,36
e,90 - 94,59.292,226,35,57
m,90 - 94,61.0619,226,36,52
e,95 - 99,64.977,217,26,50
m,95 - 99,63.1336,217,31,49
e,00 - 04,61.6505,206,31,48
m,00 - 04,61.6505,206,29,50
e,05 - 09,68.6275,204,24,40
m,05 - 09,68.6275,204,33,31
e,10 - 14,64.0496,242,28,59
m,10 - 14,65.2893,242,28,56
e,15 - 19,70.3863,233,20,49
m,15 - 19,65.6652,233,25,55
