method,week,accuracy,total,over,under
e,1,72.9376,1988,216,322
m,1,74.116,1414,196,170
e,2,72.1192,1779,193,303
m,2,79.6272,751,88,65
e,3,74.4401,2054,194,331
m,3,73.625,800,100,111
e,4,71.1311,2113,252,358
m,4,74.7899,833,109,101
e,5,71.5537,2169,255,362
m,5,70.4192,835,127,120
e,6,69.6558,2208,263,407
m,6,71.8711,807,102,125
e,7,71.9076,2207,241,379
m,7,69.2033,841,128,131
e,8,72.9911,2240,222,383
m,8,74.6746,845,125,89
e,9,70.7172,2189,217,424
m,9,71.5311,836,138,100
e,10,72.3317,2183,233,371
m,10,73.3735,830,126,95
e,11,72.4377,2166,228,369
m,11,74.3132,728,102,85
e,12,72.4887,2210,222,386
m,12,75.9398,665,98,62
e,13,71.9241,1845,189,329
m,13,72.7007,685,104,83
e,14,72.1936,971,119,151
m,14,73.2484,314,51,33
e,15,71.4829,263,28,47
m,15,69.0476,42,8,5
e,16,76.7442,43,2,8
m,16,100.0,3,0,0
e,17,100.0,2,0,0
m,17,0,0,0,0
e,18,0,0,0,0
m,18,0,0,0,0
