data,season,team1,team2,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2018-08-25,2018,umass,duquesne,63,15,1,-21.0,,-21.0,,,
2018-08-25,2018,jacksonville state,north carolina a&t,17,20,0
2018-08-25,2018,rice,prairie view,31,28,1,-22.5,,-22.5,,,
2018-08-25,2018,colorado state,hawai'i,34,43,0,-17.125,,-17.125,,,
2018-08-26,2018,new mexico state,wyoming,7,29,0,5.0,,5.0,,,
2018-08-30,2018,wagner,bowie state,40,23,1
2018-08-30,2018,indiana state,quincy,49,0,1
2018-08-30,2018,campbell,chowan,49,26,1
2018-08-30,2018,ball state,central connecticut,42,6,1,-19.5,,-19.5,,,
2018-08-30,2018,georgia state,kennesaw state,24,20,1
2018-08-30,2018,delaware,rhode island,19,21,0
2018-08-30,2018,maine,new hampshire,35,7,1
2018-08-30,2018,chattanooga,tennessee tech,34,10,1
2018-08-30,2018,eastern kentucky,morehead state,49,23,1
2018-08-30,2018,murray state,southern illinois,10,49,0
2018-08-30,2018,connecticut,ucf,17,56,0,23.25,,23.25,,,
2018-08-30,2018,minnesota,new mexico state,48,10,1,-21.5,,-21.5,,,
2018-08-30,2018,samford,shorter,66,9,1
2018-08-30,2018,north dakota,mississippi valley state,35,7,1
2018-08-31,2018,utah,weber state,41,10,1,-30.5,,-30.5,,,
2018-08-31,2018,uab,savannah state,52,0,1,-39.0,,-39.0,,,
2018-08-31,2018,louisiana monroe,southeastern louisiana,34,31,1,-21.0,,-21.0,,,
2018-08-31,2018,oklahoma state,missouri state,58,17,1,-46.0,,-46.0,,,
2018-08-31,2018,purdue,northwestern,27,31,0,-1.0,,-1.0,,,
2018-08-31,2018,tulane,wake forest,17,23,0,7.25,,7.25,,,
2018-08-31,2018,texas a&m,northwestern state,59,7,1,-47.0,,-47.0,,,
2018-08-31,2018,montana state,western illinois,26,23,1
2018-08-31,2018,san josé state,uc davis,38,44,0
2018-08-31,2018,western michigan,syracuse,42,55,0,5.0,,5.0,,,
2018-08-31,2018,eastern michigan,monmouth,51,17,1,-23.5,,-23.5,,,
2018-08-31,2018,michigan state,utah state,38,31,1,-23.5,,-23.5,,,
2018-08-31,2018,duke,army,34,14,1,-13.875,,-13.875,,,
2018-09-01,2018,idaho state,western state,45,10,1
2018-09-01,2018,wisconsin,western kentucky,34,3,1,-36.25,,-36.25,,,
2018-09-01,2018,nevada,portland state,72,19,1,-28.0,,-28.0,,,
2018-09-01,2018,stanford,san diego state,31,10,1,-13.75,,-13.75,,,
2018-09-01,2018,colorado state,colorado,13,45,0,3.5,,3.5,,,
2018-09-01,2018,maryland,texas,34,29,1,12.625,,12.625,,,
2018-09-01,2018,temple,villanova,17,19,0,-15.0,,-15.0,,,
2018-09-01,2018,nc state,james madison,24,13,1,-14.5,,-14.5,,,
2018-09-01,2018,rutgers,texas state,35,7,1,-16.5,,-16.5,,,
2018-09-01,2018,ohio state,oregon state,77,31,1,-40.0,,-40.0,,,
2018-09-01,2018,south carolina,coastal carolina,49,15,1,-30.75,,-30.75,,,
2018-09-01,2018,illinois,kent state,31,24,1,-18.125,,-18.125,,,
2018-09-01,2018,oklahoma,florida atlantic,63,14,1,-18.875,,-18.875,,,
2018-09-01,2018,texas tech,ole miss,27,47,0,2.125,,2.125,,,
2018-09-01,2018,tcu,southern,55,7,1,-49.0,,-49.0,,,
2018-09-01,2018,rice,houston,27,45,0,25.875,,25.875,,,
2018-09-01,2018,clemson,furman,48,7,1,-50.5,,-50.5,,,
2018-09-01,2018,georgia tech,alcorn state,41,0,1,-43.0,,-43.0,,,
2018-09-01,2018,lehigh,st francis (pa),21,19,1
2018-09-01,2018,colgate,holy cross,24,17,1
2018-09-01,2018,jacksonville,st. augustine's,63,14,1
2018-09-01,2018,boston college,umass,55,21,1,-20.375,,-20.375,,,
2018-09-01,2018,dayton,robert morris,49,28,1
2018-09-01,2018,marist,georgetown,14,39,0
2018-09-01,2018,ohio,howard,38,32,1,-31.0,,-31.0,,,
2018-09-01,2018,air force,stony brook,38,0,1,-14.5,,-14.5,,,
2018-09-01,2018,youngstown state,butler,21,23,0
2018-09-01,2018,duquesne,lock haven,45,0,1
2018-09-01,2018,bryant,new haven,41,31,1
2018-09-01,2018,north dakota state,cal poly,49,3,1
2018-09-01,2018,pittsburgh,albany,33,7,1,-27.0,,-27.0,,,
2018-09-01,2018,kentucky,central michigan,35,20,1,-17.5,,-17.5,,,
2018-09-01,2018,georgia,austin peay,45,0,1,-46.0,,-46.0,,,
2018-09-01,2018,auburn,washington,21,16,1,-1.5,,-1.5,,,
2018-09-01,2018,penn state,appalachian state,45,38,1,-24.5,,-24.5,,,
2018-09-01,2018,wyoming,washington state,19,41,0,3.125,,3.125,,,
2018-09-01,2018,tennessee,west virginia,14,40,0,9.875,,9.875,,,
2018-09-01,2018,iowa,northern illinois,33,7,1,-9.25,,-9.25,,,
2018-09-01,2018,northern colorado,mcneese,14,17,0
2018-09-01,2018,arkansas,eastern illinois,55,20,1,-34.5,,-34.5,,,
