date,season,team1,team1ID,team2,team2ID,score1,score2,result,spread,spreadOpen,overUnder,overUnderOpen,homeMoneyLine,awayMoneyLine
2007-08-25,2007,albany state (ga),2013,north carolina central,2428,16,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,chattanooga,236,carson-newman,2105,17,29,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,cincinnati,2132,southeast missouri state,2546,59,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,rutgers,164,buffalo,2084,38,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,morgan state,2415,savannah state,2542,47,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,southern illinois,79,quincy,2825,59,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,sam houston state,2534,angelo state,2025,17,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,louisiana monroe,2433,tulsa,202,17,35,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,towson,119,central connecticut,2115,20,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,eastern illinois,2197,tennessee tech,2635,45,24,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,assumption,2038,sacred heart,2529,20,41,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,ball state,2050,miami (oh),193,13,14,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,western illinois,2710,south dakota state,2571,29,26,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,louisville,97,murray state,93,73,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,la salle,2325,ursinus,2667,0,28,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,william & mary,2729,delaware,48,31,49,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-30,2007,illinois state,2287,drake,2181,24,27,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,samford,2535,west alabama,2695,23,21,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,missouri state,2623,missouri s&t,2402,62,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,mississippi state,344,lsu,99,0,45,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,new mexico state,166,southeastern louisiana,2545,35,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,iowa state,66,kent state,2309,14,23,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,northern iowa,2460,minnesota state,2364,41,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,utah state,328,unlv,2439,16,23,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,northern arizona,2464,western new mexico,2703,47,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,boise state,68,weber state,2692,56,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,oregon state,204,utah,254,24,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,western connecticut state,2843,wagner,2681,7,20,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-08-31,2007,temple,218,navy,2426,19,30,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,syracuse,183,washington,264,12,42,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,eastern washington,331,montana-western,2701,52,13,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,ohio state,194,youngstown state,2754,38,6,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,michigan state,127,uab,5,55,18,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,colorado,38,colorado state,36,31,28,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,miami,2390,marshall,276,31,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,virginia tech,259,east carolina,151,17,7,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,northwestern,77,northeastern,111,27,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,michigan,130,appalachian state,2026,32,34,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,penn state,213,florida international,2229,59,0,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,florida,57,western kentucky,98,49,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,iona,314,delaware valley,2808,14,12,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,colgate,2142,albany,399,13,11,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,umass,113,holy cross,107,40,30,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,valparaiso,2674,st. francis (il),2595,28,21,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,robert morris,2523,dayton,2168,12,23,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,butler,2086,albion,2790,42,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,rhode island,227,fordham,2230,23,27,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,the citadel,2643,charleston southern,2127,35,14,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,duke,150,connecticut,41,14,45,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,air force,2005,south carolina state,2569,34,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,mississippi valley state,2400,arkansas-pine bluff,2029,16,9,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,wyoming,2751,virginia,258,23,3,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,uc davis,302,western washington,2847,21,28,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,florida a&m,50,southern,2582,27,33,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,montana,149,southern utah,253,37,17,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,oregon,2483,houston,248,48,27,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,northern illinois,2459,iowa,2294,3,16,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,west virginia,277,western michigan,2711,62,24,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,notre dame,87,georgia tech,59,3,33,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,boston college,103,wake forest,154,38,28,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,memphis,235,ole miss,145,21,23,0,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,nebraska,158,nevada,2440,52,10,1,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,illinois,356,missouri,142,34,40,0,NaN,NaN,NaN,NaN,NaN,NaN
