"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"1996","regular","17","AP Top 25","1","Florida State","ACC","",""
"1996","regular","17","AP Top 25","2","Arizona State","Pac-10","",""
"1996","regular","17","AP Top 25","3","Florida","SEC","",""
"1996","regular","17","AP Top 25","4","Ohio State","Big Ten","",""
"1996","regular","17","AP Top 25","5","BYU","Western Athletic","",""
"1996","regular","17","AP Top 25","6","Nebraska","Big 12","",""
"1996","regular","17","AP Top 25","7","Penn State","Big Ten","",""
"1996","regular","17","AP Top 25","8","Colorado","Big 12","",""
"1996","regular","17","AP Top 25","9","Tennessee","SEC","",""
"1996","regular","17","AP Top 25","10","Virginia Tech","Big East","",""
"1996","regular","17","AP Top 25","11","Northwestern","Big Ten","",""
"1996","regular","17","AP Top 25","12","North Carolina","ACC","",""
"1996","regular","17","AP Top 25","13","Washington","Pac-10","",""
"1996","regular","17","AP Top 25","14","Kansas State","Big 12","",""
"1996","regular","17","AP Top 25","15","Michigan","Big Ten","",""
"1996","regular","17","AP Top 25","16","Alabama","SEC","",""
"1996","regular","17","AP Top 25","17","LSU","SEC","",""
"1996","regular","17","AP Top 25","18","Notre Dame","FBS Independents","",""
"1996","regular","17","AP Top 25","19","Miami","Big East","",""
"1996","regular","17","AP Top 25","20","Texas","Big 12","",""
"1996","regular","17","AP Top 25","21","Iowa","Big Ten","",""
"1996","regular","17","AP Top 25","22","Wyoming","Western Athletic","",""
"1996","regular","17","AP Top 25","23","Syracuse","Big East","",""
"1996","regular","17","AP Top 25","24","Army","FBS Independents","",""
"1996","regular","17","AP Top 25","25","West Virginia","Big East","",""
"1996","regular","16","AP Top 25","1","Florida State","ACC","",""
"1996","regular","16","AP Top 25","2","Arizona State","Pac-10","",""
"1996","regular","16","AP Top 25","3","Nebraska","Big 12","",""
"1996","regular","16","AP Top 25","4","Florida","SEC","",""
"1996","regular","16","AP Top 25","5","Ohio State","Big Ten","",""
"1996","regular","16","AP Top 25","6","BYU","Western Athletic","",""
"1996","regular","16","AP Top 25","7","Colorado","Big 12","",""
"1996","regular","16","AP Top 25","8","Penn State","Big Ten","",""
"1996","regular","16","AP Top 25","9","Tennessee","SEC","",""
"1996","regular","16","AP Top 25","10","Northwestern","Big Ten","",""
"1996","regular","16","AP Top 25","11","Alabama","SEC","",""
"1996","regular","16","AP Top 25","12","Washington","Pac-10","",""
