"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"2012","regular","1","AP Top 25","1","USC","Pac-12","25","0"
"2012","regular","1","AP Top 25","2","Alabama","SEC","17","0"
"2012","regular","1","AP Top 25","3","LSU","SEC","16","0"
"2012","regular","1","AP Top 25","4","Oklahoma","Big 12","1","0"
"2012","regular","1","AP Top 25","5","Oregon","Pac-12","0","0"
"2012","regular","1","AP Top 25","6","Georgia","SEC","0","0"
"2012","regular","1","AP Top 25","7","Florida State","ACC","0","0"
"2012","regular","1","AP Top 25","8","Michigan","Big Ten","1","0"
"2012","regular","1","AP Top 25","9","South Carolina","SEC","0","0"
"2012","regular","1","AP Top 25","10","Arkansas","SEC","0","0"
"2012","regular","1","AP Top 25","11","West Virginia","Big 12","0","0"
"2012","regular","1","AP Top 25","12","Wisconsin","Big Ten","0","0"
"2012","regular","1","AP Top 25","13","Michigan State","Big Ten","0","0"
"2012","regular","1","AP Top 25","14","Clemson","ACC","0","0"
"2012","regular","1","AP Top 25","15","Texas","Big 12","0","0"
"2012","regular","1","AP Top 25","16","Virginia Tech","ACC","0","0"
"2012","regular","1","AP Top 25","17","Nebraska","Big Ten","0","0"
"2012","regular","1","AP Top 25","18","Ohio State","Big Ten","0","0"
"2012","regular","1","AP Top 25","19","Oklahoma State","Big 12","0","0"
"2012","regular","1","AP Top 25","20","TCU","Big 12","0","0"
"2012","regular","1","AP Top 25","21","Stanford","Pac-12","0","0"
"2012","regular","1","AP Top 25","22","Kansas State","Big 12","0","0"
"2012","regular","1","AP Top 25","23","Florida","SEC","0","0"
"2012","regular","1","AP Top 25","24","Boise State","Mountain West","0","0"
"2012","regular","1","AP Top 25","25","Louisville","Big East","0","0"
"2012","regular","1","Coaches Poll","1","LSU","SEC","18","1403"
"2012","regular","1","Coaches Poll","2","Alabama","SEC","20","1399"
"2012","regular","1","Coaches Poll","3","USC","Pac-12","19","1388"
"2012","regular","1","Coaches Poll","4","Oklahoma","Big 12","0","1276"
"2012","regular","1","Coaches Poll","5","Oregon","Pac-12","0","1258"
"2012","regular","1","Coaches Poll","6","Georgia","SEC","0","1061"
"2012","regular","1","Coaches Poll","7","Florida State","ACC","0","1055"
"2012","regular","1","Coaches Poll","8","Michigan","Big Ten","0","1023"
"2012","regular","1","Coaches Poll","9","South Carolina","SEC","0","981"
"2012","regular","1","Coaches Poll","10","Arkansas","SEC","0","948"
"2012","regular","1","Coaches Poll","11","West Virginia","Big 12","0","833"
"2012","regular","1","Coaches Poll","12","Wisconsin","Big Ten","0","743"
"2012","regular","1","Coaches Poll","13","Michigan State","Big Ten","0","717"
"2012","regular","1","Coaches Poll","14","Clemson","ACC","0","598"
"2012","regular","1","Coaches Poll","15","Texas","Big 12","0","549"
"2012","regular","1","Coaches Poll","16","Nebraska","Big Ten","0","501"
"2012","regular","1","Coaches Poll","17","TCU","Big 12","0","499"
"2012","regular","1","Coaches Poll","18","Stanford","Pac-12","0","497"
"2012","regular","1","Coaches Poll","19","Oklahoma State","Big 12","0","476"
"2012","regular","1","Coaches Poll","20","Virginia Tech","ACC","0","461"
"2012","regular","1","Coaches Poll","21","Kansas State","Big 12","0","398"
"2012","regular","1","Coaches Poll","22","Boise State","Mountain West","0","271"
"2012","regular","1","Coaches Poll","23","Florida","SEC","0","250"
"2012","regular","1","Coaches Poll","24","Notre Dame","FBS Independents","0","166"
"2012","regular","1","Coaches Poll","25","Auburn","SEC","0","66"
"2012","regular","1","AFCA Division II Coaches Poll","1","Pittsburg State","","21","0"
"2012","regular","1","AFCA Division II Coaches Poll","2","Minnesota-Duluth","","5","0"
"2012","regular","1","AFCA Division II Coaches Poll","3","Northwest Missouri State","","1","0"
"2012","regular","1","AFCA Division II Coaches Poll","4","Midwestern State","","1","0"
"2012","regular","1","AFCA Division II Coaches Poll","5","Wayne State (MI)","","1","0"
"2012","regular","1","AFCA Division II Coaches Poll","6","Colorado State-Pueblo","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","7","Grand Valley State","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","8","Valdosta State","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","9","Winston-Salem","CIAA","1","0"
"2012","regular","1","AFCA Division II Coaches Poll","10","Abilene Christian","FCS Independents","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","11","California (PA)","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","12","Kutztown","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","13","New Haven","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","14","Delta State","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","15","West Alabama","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","16","St. Cloud State","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","17","Hillsdale","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","18","Missouri Western","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","19","Shepherd","","0","0"
"2012","regular","1","AFCA Division II Coaches Poll","20","Washburn","","0","0"
