"Id","Season","Week","Season Type","Start Date","Start Time Tbd","Completed","Neutral Site","Conference Game","Attendance","Venue Id","Venue","Home Id","Home Team","Home Conference","Home Division","Home Points","Home Line Scores","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Id","Away Team","Away Conference","Away Division","Away Points","Away Line Scores","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo","Excitement Index","Highlights","Notes"
"51280","1982","1","regular","1982-09-02T00:00:00.000Z","","true","false","","","","","2439","UNLV","PCAA","fbs","0","","","1345","1325","252","BYU","Western Athletic","fbs","27","","","1818","1838","","",""
"51292","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","true","","","","52","Florida State","FBS Independents","fbs","38","","","1568","1573","2132","Cincinnati","FBS Independents","fbs","31","","","1491","1486","","",""
"51310","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","true","","","","257","Richmond","FBS Independents","fbs","9","","","1411","1405","259","Virginia Tech","FBS Independents","fbs","20","","","1610","1616","","",""
"51307","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","true","","","","2649","Toledo","Mid-American","fbs","9","","","1575","1573","2459","Northern Illinois","Mid-American","fbs","3","","","1383","1385","","",""
"51305","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","true","","","","164","Rutgers","FBS Independents","fbs","8","","","1483","1431","183","Syracuse","FBS Independents","fbs","31","","","1555","1607","","",""
"51285","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","true","","","","189","Bowling Green","Mid-American","fbs","40","","","1525","1629","195","Ohio","Mid-American","fbs","0","","","1437","1333","","",""
"51282","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","true","","","","2483","Oregon","Pac-10","fbs","3","","","1403","1360","9","Arizona State","Pac-10","fbs","34","","","1767","1810","","",""
"51281","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","2704","West Texas A&M","Missouri Valley","fbs","29","","","","","2000","Abilene Christian","","","33","","","","","","",""
"51283","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","239","Baylor","Southwest","fbs","21","","","1565","1563","249","North Texas","FBS Independents","fbs","17","","","1405","1407","","",""
"51284","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","245","Texas A&M","Southwest","fbs","16","","","1624","1557","103","Boston College","FBS Independents","fbs","38","","","1543","1610","","",""
"51286","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","1000012","Cal State Fullerton","PCAA","fbs","19","","","","","2464","Northern Arizona","","","15","","","","","","",""
"51313","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","1000063","Wichita State","Missouri Valley","fbs","51","","","","","1000320","Missouri-Rolla","","","14","","","","","","",""
"51312","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","2711","Western Michigan","Mid-American","fbs","28","","","","","125","Grand Valley State","","","3","","","","","","",""
"51311","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","154","Wake Forest","ACC","fbs","31","","","","","2717","Western Carolina","","","10","","","","","","",""
"51309","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","254","Utah","Western Athletic","fbs","30","","","","","147","Montana State","","","12","","","","","","",""
"51308","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","202","Tulsa","Missouri Valley","fbs","35","","","1602","1622","2005","Air Force","Western Athletic","fbs","17","","","1382","1362","","",""
"51306","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","166","New Mexico State","Missouri Valley","fbs","17","","","1251","1235","2638","UTEP","Western Athletic","fbs","20","","","1076","1092","","",""
"51304","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","2572","Southern Mississippi","FBS Independents","fbs","45","","","1768","1788","2433","Louisiana Monroe","","","27","","","1551","1531","","",""
"51303","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","2710","Western Illinois","","","7","","","","","79","Southern Illinois","Missouri Valley","fbs","38","","","","","","",""
"51302","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","2579","South Carolina","FBS Independents","fbs","41","","","1591","1662","1000044","Pacific","PCAA","fbs","6","","","1379","1308","","",""
"51300","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","152","NC State","ACC","fbs","26","","","","","231","Furman","","","0","","","","","","",""
"51298","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","142","Missouri","Big 8","fbs","28","","","1683","1668","36","Colorado State","Western Athletic","fbs","14","","","1127","1142","","",""
"51297","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","2655","Tulane","FBS Independents","fbs","21","","","1609","1591","344","Mississippi State","SEC","fbs","30","","","1615","1633","","",""
"51296","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","145","Ole Miss","SEC","fbs","27","","","1403","1430","235","Memphis","FBS Independents","fbs","10","","","1296","1269","","",""
"51295","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","276","Marshall","","","30","","","1187","1216","2309","Kent State","Mid-American","fbs","21","","","1389","1360","","",""
"51294","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","97","Louisville","FBS Independents","fbs","20","","","1437","1455","98","Western Kentucky","","","10","","","1454","1436","","",""
"51291","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","57","Florida","SEC","fbs","17","","","1693","1694","2390","Miami","FBS Independents","fbs","14","","","1703","1702","","",""
"51290","1982","1","regular","1982-09-04T00:00:00.000Z","","true","false","","","","","2197","Eastern Illinois","","","27","","","","","2287","Illinois State","Missouri Valley","fbs","14","","","","","","",""
