"Season","SeasonType","Week","Poll","Rank","School","Conference","FirstPlaceVotes","Points"
"1992","regular","16","AP Top 25","1","Miami","Big East","",""
"1992","regular","16","AP Top 25","2","Alabama","SEC","",""
"1992","regular","16","AP Top 25","3","Florida State","ACC","",""
"1992","regular","16","AP Top 25","4","Texas A&M","Southwest","",""
"1992","regular","16","AP Top 25","5","Notre Dame","FBS Independents","",""
"1992","regular","16","AP Top 25","6","Syracuse","Big East","",""
"1992","regular","16","AP Top 25","7","Michigan","Big Ten","",""
"1992","regular","16","AP Top 25","8","Georgia","SEC","",""
"1992","regular","16","AP Top 25","9","Washington","Pac-10","",""
"1992","regular","16","AP Top 25","10","Colorado","Big 8","",""
"1992","regular","16","AP Top 25","11","Nebraska","Big 8","",""
"1992","regular","16","AP Top 25","12","NC State","ACC","",""
"1992","regular","16","AP Top 25","13","Stanford","Pac-10","",""
"1992","regular","16","AP Top 25","14","Florida","SEC","",""
"1992","regular","16","AP Top 25","15","Ohio State","Big Ten","",""
"1992","regular","16","AP Top 25","16","Boston College","Big East","",""
"1992","regular","16","AP Top 25","17","Tennessee","SEC","",""
"1992","regular","16","AP Top 25","18","Washington State","Pac-10","",""
"1992","regular","16","AP Top 25","19","North Carolina","ACC","",""
"1992","regular","16","AP Top 25","20","Ole Miss","SEC","",""
"1992","regular","16","AP Top 25","21","Penn State","FBS Independents","",""
"1992","regular","16","AP Top 25","22","Arizona","Pac-10","",""
"1992","regular","16","AP Top 25","23","USC","Pac-10","",""
"1992","regular","16","AP Top 25","24","Mississippi State","SEC","",""
"1992","regular","16","AP Top 25","25","BYU","Western Athletic","",""
"1992","regular","15","AP Top 25","1","Miami","Big East","",""
"1992","regular","15","AP Top 25","2","Alabama","SEC","",""
"1992","regular","15","AP Top 25","3","Florida State","ACC","",""
"1992","regular","15","AP Top 25","4","Texas A&M","Southwest","",""
"1992","regular","15","AP Top 25","5","Notre Dame","FBS Independents","",""
"1992","regular","15","AP Top 25","6","Syracuse","Big East","",""
"1992","regular","15","AP Top 25","7","Michigan","Big Ten","",""
"1992","regular","15","AP Top 25","8","Georgia","SEC","",""
"1992","regular","15","AP Top 25","9","Colorado","Big 8","",""
"1992","regular","15","AP Top 25","10","Washington","Pac-10","",""
"1992","regular","15","AP Top 25","11","Nebraska","Big 8","",""
"1992","regular","15","AP Top 25","12","Florida","SEC","",""
"1992","regular","15","AP Top 25","13","NC State","ACC","",""
"1992","regular","15","AP Top 25","14","Stanford","Pac-10","",""
"1992","regular","15","AP Top 25","15","Ohio State","Big Ten","",""
"1992","regular","15","AP Top 25","16","Boston College","Big East","",""
"1992","regular","15","AP Top 25","17","Tennessee","SEC","",""
"1992","regular","15","AP Top 25","18","Washington State","Pac-10","",""
"1992","regular","15","AP Top 25","19","Ole Miss","SEC","",""
"1992","regular","15","AP Top 25","20","North Carolina","ACC","",""
"1992","regular","15","AP Top 25","21","Penn State","FBS Independents","",""
"1992","regular","15","AP Top 25","22","Arizona","Pac-10","",""
"1992","regular","15","AP Top 25","23","USC","Pac-10","",""
"1992","regular","15","AP Top 25","24","Mississippi State","SEC","",""
"1992","regular","15","AP Top 25","25","BYU","Western Athletic","",""
"1992","regular","14","AP Top 25","1","Miami","Big East","",""
"1992","regular","14","AP Top 25","2","Alabama","SEC","",""
"1992","regular","14","AP Top 25","3","Florida State","ACC","",""
"1992","regular","14","AP Top 25","4","Texas A&M","Southwest","",""
"1992","regular","14","AP Top 25","5","Notre Dame","FBS Independents","",""
"1992","regular","14","AP Top 25","6","Florida","SEC","",""
"1992","regular","14","AP Top 25","7","Michigan","Big Ten","",""
"1992","regular","14","AP Top 25","8","Syracuse","Big East","",""
"1992","regular","14","AP Top 25","9","Georgia","SEC","",""
"1992","regular","14","AP Top 25","10","Colorado","Big 8","",""
