Id,Season,Week,Season Type,Start Date,Start Time Tbd,Completed,Neutral Site,Conference Game,Attendance,Venue Id,Venue,Home Id,Home Team,Home Conference,Home Division,Home Points,Home Line Scores,Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Id,Away Team,Away Conference,Away Division,Away Points,Away Line Scores,Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Highlights,Notes
59104,1994,1,regular,1994-08-28T00:00:00.000Z,,True,False,,,,,158,Nebraska,Big 8,fbs,31,,,1869.0,1932.0,277,West Virginia,Big East,fbs,0,,,1703.0,1640.0,,,
59105,1994,1,regular,1994-08-29T00:00:00.000Z,,True,False,,,,,194,Ohio State,Big Ten,fbs,34,,,1717.0,1771.0,278,Fresno State,Western Athletic,fbs,10,,,1669.0,1615.0,,,
59110,1994,2,regular,1994-09-01T00:00:00.000Z,,True,False,,,,,356,Illinois,Big Ten,fbs,9,,,1556.0,1555.0,265,Washington State,Pac-10,fbs,10,,,1551.0,1552.0,,,
59107,1994,2,regular,1994-09-01T00:00:00.000Z,,True,False,,,,,248,Houston,Southwest,fbs,13,,,1273.0,1245.0,2305,Kansas,Big 8,fbs,35,,,1531.0,1559.0,,,
59106,1994,2,regular,1994-09-01T00:00:00.000Z,,True,False,,,,,59,Georgia Tech,ACC,fbs,14,,,1481.0,1492.0,12,Arizona,Pac-10,fbs,19,,,1776.0,1765.0,,,
59108,1994,2,regular,1994-09-01T00:00:00.000Z,,True,False,,,,,152,NC State,ACC,fbs,20,,,1506.0,1514.0,189,Bowling Green,Mid-American,fbs,15,,,1587.0,1579.0,,,
59109,1994,2,regular,1994-09-01T00:00:00.000Z,,True,False,,,,,2459,Northern Illinois,Big West,fbs,14,,,1237.0,1208.0,197,Oklahoma State,Big 8,fbs,31,,,1357.0,1386.0,,,
59150,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,142,Missouri,Big 8,fbs,17,,,1357.0,1358.0,202,Tulsa,FBS Independents,fbs,20,,,1451.0,1450.0,,,
59151,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,26,UCLA,Pac-10,fbs,25,,,1745.0,1748.0,2633,Tennessee,SEC,fbs,23,,,1909.0,1906.0,,,
59152,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,328,Utah State,Big West,fbs,17,,,1431.0,1404.0,254,Utah,Western Athletic,fbs,32,,,1508.0,1535.0,,,
59153,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,238,Vanderbilt,SEC,fbs,35,,,1347.0,1404.0,154,Wake Forest,ACC,fbs,14,,,1411.0,1354.0,,,
59154,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,259,Virginia Tech,Big East,fbs,34,,,1705.0,1715.0,2032,Arkansas State,Big West,fbs,7,,,1144.0,1134.0,,,
59155,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,277,West Virginia,Big East,fbs,16,,,1640.0,1638.0,2050,Ball State,Mid-American,fbs,14,,,1431.0,1433.0,,,
59134,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,153,North Carolina,ACC,fbs,27,,,1695.0,1689.0,2628,TCU,Southwest,fbs,17,,,1355.0,1361.0,,,
59135,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,66,Iowa State,Big 8,fbs,14,,,,,2460,Northern Iowa,,,28,,,,,,,
59136,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,77,Northwestern,Big Ten,fbs,15,,,1312.0,1299.0,87,Notre Dame,FBS Independents,fbs,42,,,1856.0,1869.0,,,
59137,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,183,Syracuse,Big East,fbs,29,,,1517.0,1527.0,201,Oklahoma,Big 8,fbs,30,,,1757.0,1747.0,,,
59138,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,2483,Oregon,Pac-10,fbs,58,,,,,2502,Portland State,,,16,,,,,,,
59139,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,1000044,Pacific,Big West,fbs,24,,,,,302,UC Davis,,,7,,,,,,,
59141,1994,2,regular,1994-09-03T00:00:00.000Z,,True,False,,,,,164,Rutgers,Big East,fbs,28,,,1475.0,1498.0,2309,Kent State,Mid-American,fbs,6,,,1180.0,1157.0,,,
