Id,Season,Week,Season Type,Start Date,Start Time Tbd,Completed,Neutral Site,Conference Game,Attendance,Venue Id,Venue,Home Id,Home Team,Home Conference,Home Division,Home Points,Home Line Scores[0],Home Line Scores[1],Home Line Scores[2],Home Line Scores[3],Home Post Win Prob,Home Pregame Elo,Home Postgame Elo,Away Id,Away Team,Away Conference,Away Division,Away Points,Away Line Scores[0],Away Line Scores[1],Away Line Scores[2],Away Line Scores[3],Away Post Win Prob,Away Pregame Elo,Away Postgame Elo,Excitement Index,Highlights,Notes
302450154,2010,1,regular,2010-09-02T22:30:00.000Z,False,True,False,False,0.0,3630.0,BB&T Field,154,Wake Forest,ACC,fbs,53,21,14,2,16,0.8574969410677336,,,2506,Presbyterian College,Big South,fcs,13,0,7,6,0,0.1425030589322664,,,,,
302450311,2010,1,regular,2010-09-02T23:00:00.000Z,False,True,False,False,,3607.0,Alfond Stadium,311,Maine,CAA,fcs,0,0,0,0,0,,,,399,Albany,NEC,fcs,3,3,0,0,0,,,,,,
302452309,2010,1,regular,2010-09-02T23:00:00.000Z,,True,False,False,0.0,3696.0,Dix Stadium,2309,Kent State,Mid-American,fbs,41,17,7,10,7,,,,93,Murray State,OVC,fcs,10,7,3,0,0,,,,,,
302452050,2010,1,regular,2010-09-02T23:00:00.000Z,,True,False,False,0.0,3919.0,Scheumann Stadium,2050,Ball State,Mid-American,fbs,27,7,0,17,3,0.624190810354041,,,2546,Southeast Missouri State,OVC,fcs,10,7,0,0,3,0.375809189645959,,,,,
302452117,2010,1,regular,2010-09-02T23:00:00.000Z,False,True,False,False,0.0,3786.0,Kelly/Shorts Stadium,2117,Central Michigan,Mid-American,fbs,33,16,7,3,7,0.9982822102533788,,,2261,Hampton,MEAC,fcs,0,0,0,0,0,0.0017177897466211,,,,,
302452428,2010,1,regular,2010-09-02T23:00:00.000Z,False,True,False,False,,3862.0,O'Kelly-Riddick Stadium,2428,North Carolina Central,MEAC,fcs,59,13,13,16,17,,,,2304,Johnson C Smith,,,0,0,0,0,0,,,,,,
302452084,2010,1,regular,2010-09-02T23:00:00.000Z,False,True,False,False,0.0,3965.0,UB Stadium,2084,Buffalo,Mid-American,fbs,31,3,21,7,0,0.9936480813643676,,,227,Rhode Island,CAA,fcs,0,0,0,0,0,0.0063519186356323,,,,,
302450048,2010,1,regular,2010-09-02T23:00:00.000Z,False,True,False,False,,3695.0,Delaware Stadium,48,Delaware,CAA,fcs,31,7,14,10,0,,,,223,West Chester,,,0,0,0,0,0,,,,,,
302452710,2010,1,regular,2010-09-02T23:00:00.000Z,False,True,False,False,,3746.0,Hanson Field,2710,Western Illinois,MVFC,fcs,45,10,7,7,21,,,,2674,Valparaiso,Pioneer,fcs,0,0,0,0,0,,,,,,
302450164,2010,1,regular,2010-09-02T23:30:00.000Z,False,True,True,False,0.0,3754.0,High Point Solutions Stadium,164,Rutgers,Big East,fbs,31,3,3,15,10,0.9888514663226564,,,2450,Norfolk State,MEAC,fcs,0,0,0,0,0,0.0111485336773434,,,,,
302452579,2010,1,regular,2010-09-02T23:30:00.000Z,,True,False,False,0.0,3994.0,Williams-Brice Stadium,2579,South Carolina,SEC,fbs,41,7,17,10,7,0.9278608858746394,1565.0,1634.0,2572,Southern Mississippi,Conference USA,fbs,13,3,3,0,7,0.0721391141253605,1533.0,1464.0,,,
302452393,2010,1,regular,2010-09-02T23:30:00.000Z,,True,False,False,0.0,3725.0,"Johnny Red"""" Floyd Stadium""""",2393,Middle Tennessee,Sun Belt,fbs,17,0,14,3,0,0.9178879028282426,1524.0,1507.0,135,Minnesota,Big Ten,fbs,24,7,7,0,10,0.0821120971717573,1476.0,1493.0,,,
302450084,2010,1,regular,2010-09-02T23:30:00.000Z,False,True,False,False,0.0,3830.0,Memorial Stadium,84,Indiana,Big Ten,fbs,51,17,21,10,3,0.9828993869472784,,,119,Towson,CAA,fcs,17,0,14,0,3,0.0171006130527217,,,,,
302450194,2010,1,regular,2010-09-02T23:30:00.000Z,,True,False,False,0.0,3861.0,Ohio Stadium,194,Ohio State,Big Ten,fbs,45,21,14,7,3,0.9987934239294318,1808.0,1861.0,276,Marshall,Conference USA,fbs,7,7,0,0,0,0.0012065760705681,1365.0,1312.0,,,
302452287,2010,1,regular,2010-09-02T23:30:00.000Z,False,True,False,False,,3744.0,Hancock Stadium,2287,Illinois State,MVFC,fcs,55,20,20,7,8,,,,2118,Central Missouri State,,,54,7,17,16,14,,,,,,
302452390,2010,1,regular,2010-09-02T23:30:00.000Z,False,True,False,False,0.0,3948.0,Hard Rock Stadium,2390,Miami,ACC,fbs,45,14,21,7,3,0.990159306826044,,,50,Florida A&M,MEAC,fcs,0,0,0,0,0,0.0098406931739559,,,,,
302452247,2010,1,regular,2010-09-02T23:30:00.000Z,False,True,True,False,,3495.0,Georgia Dome,2247,Georgia State,FCS Independents,fcs,41,7,13,7,14,,,,2560,Shorter,,,7,0,0,0,7,,,,,,
302450005,2010,1,regular,2010-09-03T00:00:00.000Z,,True,False,False,0.0,3803.0,Legion Field,5,UAB,Conference USA,fbs,31,14,7,7,3,0.6504472331187469,1380.0,1375.0,2226,Florida Atlantic,Sun Belt,fbs,32,0,12,14,6,0.3495527668812531,1307.0,1312.0,,,
302450066,2010,1,regular,2010-09-03T00:00:00.000Z,,True,False,False,0.0,3772.0,Jack Trice Stadium,66,Iowa State,Big 12,fbs,27,7,10,0,10,0.9397790569051157,1423.0,1465.0,2459,Northern Illinois,Mid-American,fbs,10,0,0,3,7,0.0602209430948844,1475.0,1433.0,,,
302452655,2010,1,regular,2010-09-03T00:00:00.000Z,False,True,True,False,0.0,3493.0,Mercedes-Benz Superdome,2655,Tulane,Conference USA,fbs,27,7,10,0,10,0.9596938775046608,,,2545,Southeastern Louisiana,Southland,fcs,21,7,0,7,7,0.0403061224953392,,,,,
302450079,2010,1,regular,2010-09-03T00:00:00.000Z,False,True,False,False,,3913.0,Saluki Stadium,79,Southern Illinois,MVFC,fcs,70,14,14,28,14,,,,2825,Quincy,,,7,0,7,0,0,,,,,,
302452110,2010,1,regular,2010-09-03T00:00:00.000Z,False,True,False,False,,3711.0,Estes Stadium,2110,Central Arkansas,Southland,fcs,47,7,20,6,14,,,,2207,Elizabeth City State,,,20,14,0,3,3,,,,,,
302450254,2010,1,regular,2010-09-03T00:30:00.000Z,,True,False,False,0.0,587.0,Rice-Eccles Stadium,254,Utah,Mountain West,fbs,27,0,14,3,7,0.692687735508257,1665.0,1666.0,221,Pittsburgh,Big East,fbs,24,0,7,3,14,0.307312264491743,1688.0,1687.0,,,
302450070,2010,1,regular,2010-09-03T01:00:00.000Z,False,True,False,False,0.0,3791.0,Kibbie Dome,70,Idaho,Western Athletic,fbs,45,10,7,14,14,0.9808720351707956,,,155,North Dakota,Great West,fcs,0,0,0,0,0,0.0191279648292043,,,,,
302452440,2010,1,regular,2010-09-03T01:05:00.000Z,False,True,False,False,0.0,3816.0,Mackay Stadium,2440,Nevada,Western Athletic,fbs,49,21,7,7,14,0.8924057976548427,,,331,Eastern Washington,Big Sky,fcs,24,7,3,14,0,0.1075942023451572,,,,,
302452464,2010,1,regular,2010-09-03T02:00:00.000Z,False,True,False,False,,2023.0,Walkup Skydome,2464,Northern Arizona,Big Sky,fcs,48,14,21,7,6,,,,2703,Western New Mexico,,,0,0,0,0,0,,,,,,
302450062,2010,1,regular,2010-09-03T03:00:00.000Z,,True,False,False,0.0,3610.0,Aloha Stadium,62,Hawai'i,Western Athletic,fbs,36,3,13,7,13,0.3971170576128894,1313.0,1318.0,30,USC,Pac-10,fbs,49,14,13,15,7,0.6028829423871105,1700.0,1695.0,,,
302462623,2010,1,regular,2010-09-03T18:00:00.000Z,False,True,False,False,,3878.0,Plaster Sports Complex,2623,Missouri State,MVFC,fcs,31,0,17,14,0,,,,2198,Eastern Kentucky,OVC,fcs,9,3,6,0,0,,,,,,
302460218,2010,1,regular,2010-09-03T21:00:00.000Z,False,True,False,False,0.0,3806.0,Lincoln Financial Field,218,Temple,Mid-American,fbs,31,7,3,3,18,0.7333348261639804,,,222,Villanova,CAA,fcs,24,0,14,0,10,0.2666651738360196,,,,,
302462368,2010,1,regular,2010-09-03T23:00:00.000Z,False,True,False,False,,36.0,Leonidoff Field,2368,Marist,Pioneer,fcs,25,0,7,7,11,,,,2529,Sacred Heart,NEC,fcs,28,0,14,14,0,,,,,,
302462649,2010,1,regular,2010-09-04T00:00:00.000Z,,True,False,False,0.0,3739.0,Glass Bowl,2649,Toledo,Mid-American,fbs,2,0,2,0,0,0.0292004950926175,1302.0,1227.0,12,Arizona,Pac-10,fbs,41,7,14,7,13,0.9707995049073824,1607.0,1682.0,,,
302470052,2010,1,regular,2010-09-04T16:00:00.000Z,False,True,False,False,0.0,3697.0,Bobby Bowden Field at Doak Campbell Stadium,52,Florida State,ACC,fbs,59,7,35,7,10,0.9990232272235564,,,2535,Samford,Southern,fcs,6,0,3,3,0,0.0009767727764435,,,,,
302470160,2010,1,regular,2010-09-04T16:00:00.000Z,False,True,False,False,,3688.0,Wildcat Stadium,160,New Hampshire,CAA,fcs,33,13,13,0,7,,,,2115,Central Connecticut,NEC,fcs,3,0,3,0,0,,,,,,
302470213,2010,1,regular,2010-09-04T16:00:00.000Z,False,True,False,False,0.0,3632.0,Beaver Stadium,213,Penn State,Big Ten,fbs,44,3,13,14,14,0.9992760707704192,,,2754,Youngstown State,MVFC,fcs,14,7,0,0,7,0.0007239292295808,,,,,
302472335,2010,1,regular,2010-09-04T16:00:00.000Z,False,True,True,False,,,,2335,Liberty,Big South,fcs,52,0,24,14,14,,,,2598,St Francis (PA),NEC,fcs,7,7,0,0,0,,,,,,
302470057,2010,1,regular,2010-09-04T16:00:00.000Z,,True,False,False,0.0,3634.0,Ben Hill Griffin Stadium,57,Florida,SEC,fbs,34,0,21,0,13,0.975235083848306,1925.0,1910.0,193,Miami (OH),Mid-American,fbs,12,3,3,3,3,0.024764916151694,1193.0,1208.0,,,
302470127,2010,1,regular,2010-09-04T16:00:00.000Z,,True,False,False,0.0,3936.0,Spartan Stadium,127,Michigan State,Big Ten,fbs,38,7,21,7,3,0.9646256802644068,1560.0,1598.0,2711,Western Michigan,Mid-American,fbs,14,7,0,7,0,0.0353743197355932,1361.0,1323.0,,,
