Id,HomeTeam,HomeScore,AwayTeam,AwayScore,LineProvider,OverUnder,Spread,FormattedSpread,OpeningSpread,OpeningOverUnder,HomeMoneyline,AwayMoneyline
400547928,Iowa,31,Northern Iowa,23,consensus,,-19.0,Iowa -19,,,,
400547751,Duke,52,Elon,13,consensus,,-38.0,Duke -38,,,,
400548401,Missouri,38,South Dakota State,18,consensus,,-14.0,Missouri -14,,,,
400548255,Arizona State,45,Weber State,14,consensus,,-45.5,Arizona State -45.5,,,,
400548090,Akron,41,Howard,0,consensus,,-21.0,Akron -21,,,,
400548091,Northern Illinois,55,Presbyterian College,3,consensus,,-38.0,Northern Illinois -38,,,,
400548092,Central Michigan,20,Chattanooga,16,consensus,,-11.5,Central Michigan -11.5,,,,
400548256,Utah,56,Idaho State,14,consensus,,-41.0,Utah -41,,,,
400548404,New Mexico State,28,Cal Poly,10,consensus,,7.0,Cal Poly -7,,,,
400548257,Oregon,62,South Dakota,13,consensus,,-51.0,Oregon -51,,,,
400548259,Stanford,45,UC Davis,0,consensus,,-47.0,Stanford -47,,,,
400547839,Kansas State,55,Stephen F. Austin,16,consensus,,-43.0,Kansas State -43,,,,
400547795,North Carolina,56,Liberty,29,consensus,,-26.0,North Carolina -26,,,,
400547904,Illinois,28,Youngstown State,17,consensus,,-9.0,Illinois -9,,,,
400547916,Indiana,28,Indiana State,10,consensus,,-27.0,Indiana -27,,,,
400548400,Kentucky,59,UT Martin,14,consensus,,-20.0,Kentucky -20,,,,
400547772,Georgia Tech,38,Wofford,19,consensus,,-28.0,Georgia Tech -28,,,,
400548007,Old Dominion,41,Hampton,28,consensus,,-22.0,Old Dominion -22,,,,
400547825,Virginia Tech,34,William & Mary,9,consensus,,-23.0,Virginia Tech -23,,,,
400548179,Wyoming,17,Montana,12,consensus,,-3.5,Wyoming -3.5,,,,
400548258,Oregon State,29,Portland State,14,consensus,,-35.0,Oregon State -35,,,,
400548095,Eastern Michigan,31,Morgan State,28,consensus,,-20.0,Eastern Michigan -20,,,,
400550418,Georgia Southern,34,Appalachian State,14,teamrankings,60.5,-17.0,Georgia Southern -17,,,,
400550418,Georgia Southern,34,Appalachian State,14,consensus,,-17.0,Georgia Southern -17,,,,
400548036,Old Dominion,28,Middle Tennessee,41,teamrankings,69.0,-1.0,Old Dominion -1,,,,
400548200,New Mexico,24,Fresno State,35,teamrankings,66.0,6.0,Fresno State -6,,,,
400548200,New Mexico,24,Fresno State,35,numberfire,66.5,6.0,Fresno State -6,,,,
400548200,New Mexico,24,Fresno State,35,consensus,,3.0,Fresno State -3,,,,
400547764,NC State,41,Florida State,56,teamrankings,61.0,16.5,Florida State -16.5,,,,
400547764,NC State,41,Florida State,56,numberfire,60.5,17.0,Florida State -17,,,,
400547764,NC State,41,Florida State,56,consensus,,23.0,Florida State -23,,,,
400548035,Auburn,45,Louisiana Tech,17,teamrankings,61.0,-32.5,Auburn -32.5,,,,
400548035,Auburn,45,Louisiana Tech,17,numberfire,63.5,-32.5,Auburn -32.5,,,,
400548035,Auburn,45,Louisiana Tech,17,consensus,,-33.0,Auburn -33,,,,
400548382,Texas A&M,35,Arkansas,28,teamrankings,73.0,-9.5,Texas A&M -9.5,,,,
400548382,Texas A&M,35,Arkansas,28,numberfire,73.5,-8.5,Texas A&M -8.5,,,,
400548382,Texas A&M,35,Arkansas,28,consensus,,-12.5,Texas A&M -12.5,,,,
400547860,Iowa State,28,Baylor,49,teamrankings,72.5,21.0,Baylor -21,,,,
400547860,Iowa State,28,Baylor,49,numberfire,72.0,21.0,Baylor -21,,,,
400547860,Iowa State,28,Baylor,49,consensus,,22.0,Baylor -22,,,,
400547958,Michigan State,37,Ohio State,49,teamrankings,55.0,-3.5,Michigan State -3.5,,,,
400547958,Michigan State,37,Ohio State,49,numberfire,56.0,-3.5,Michigan State -3.5,,,,
400547958,Michigan State,37,Ohio State,49,consensus,,-2.0,Michigan State -2,,,,
400548302,Arizona State,55,Notre Dame,31,teamrankings,62.0,-3.0,Arizona State -3,,,,
400548302,Arizona State,55,Notre Dame,31,numberfire,60.5,-3.0,Arizona State -3,,,,
400548302,Arizona State,55,Notre Dame,31,consensus,,-1.0,Arizona State -1,,,,
400547888,Oklahoma,14,Baylor,48,teamrankings,67.0,-5.5,Oklahoma -5.5,,,,
400547888,Oklahoma,14,Baylor,48,numberfire,69.0,-5.5,Oklahoma -5.5,,,,
400547888,Oklahoma,14,Baylor,48,consensus,,-3.0,Oklahoma -3,,,,
400548241,Utah State,28,New Mexico,21,teamrankings,52.5,-20.0,Utah State -20,,,,
400548241,Utah State,28,New Mexico,21,numberfire,54.5,-20.0,Utah State -20,,,,
400548241,Utah State,28,New Mexico,21,consensus,,-16.0,Utah State -16,,,,
400548340,Tennessee,50,Kentucky,16,teamrankings,53.0,-11.5,Tennessee -11.5,,,,
400548340,Tennessee,50,Kentucky,16,numberfire,53.0,-11.5,Tennessee -11.5,,,,
400548340,Tennessee,50,Kentucky,16,consensus,,-6.5,Tennessee -6.5,,,,
400548240,San José State,0,Hawai'i,13,teamrankings,53.5,-10.0,San José State -10,,,,
400548240,San José State,0,Hawai'i,13,numberfire,53.5,-10.0,San José State -10,,,,
400548240,San José State,0,Hawai'i,13,consensus,,-10.0,San José State -10,,,,
400548447,Idaho,17,Troy,34,teamrankings,64.5,-5.5,Idaho -5.5,,,,
400548447,Idaho,17,Troy,34,numberfire,65.5,-5.5,Idaho -5.5,,,,
400548447,Idaho,17,Troy,34,consensus,,-3.5,Idaho -3.5,,,,
400548242,BYU,42,UNLV,23,teamrankings,63.0,-25.5,BYU -25.5,,,,
400548242,BYU,42,UNLV,23,numberfire,63.0,-25.5,BYU -25.5,,,,
400548242,BYU,42,UNLV,23,consensus,,-22.0,BYU -22,,,,
400548410,Georgia Southern,83,Savannah State,9,consensus,,-42.0,Georgia Southern -42,,,,
400547830,Wake Forest,23,Gardner-Webb,7,consensus,,-21.5,Wake Forest -21.5,,,,
400547787,Miami,41,Florida A&M,7,consensus,,-46.5,Miami -46.5,,,,
400547847,Kansas,34,Southeast Missouri State,28,consensus,,-25.0,Kansas -25,,,,
400548016,Southern Mississippi,26,Alcorn State,20,consensus,,-18.0,Southern Mississippi -18,,,,
400547841,West Virginia,54,Towson,0,consensus,,-28.5,West Virginia -28.5,,,,
400547651,Houston,47,Grambling,0,consensus,,-47.5,Houston -47.5,,,,
400548188,Utah State,40,Idaho State,20,consensus,,-35.0,Utah State -35,,,,
400548363,South Carolina,41,Furman,10,consensus,,-37.5,South Carolina -37.5,,,,
400548345,Mississippi State,45,UT Martin,16,consensus,,-41.0,Mississippi State -41,,,,
400548344,Ole Miss,48,Presbyterian College,0,consensus,,-48.5,Ole Miss -48.5,,,,
400548328,Alabama,48,Western Carolina,14,consensus,,-49.0,Alabama -49,,,,
400548331,Georgia,55,Charleston Southern,9,consensus,,-45.0,Georgia -45,,,,
400548329,Auburn,31,Samford,7,consensus,,-38.5,Auburn -38.5,,,,
400548330,Florida,52,Eastern Kentucky,3,consensus,,-30.0,Florida -30,,,,
400548460,Army,42,Fordham,31,consensus,,9.5,Fordham -9.5,,,,
400548463,BYU,64,Savannah State,0,consensus,,-59.0,BYU -59,,,,
400548394,LSU,56,Sam Houston State,0,consensus,,-33.0,LSU -33,,,,
