,Date,Rank,TeamID,Points,Team
0,1949-01-18,1,1,904.0,Saint Louis 
1,1949-01-18,2,2,842.0,Kentucky 
2,1949-01-18,3,3,545.0,Western Kentucky 
3,1949-01-18,4,4,480.0,Minnesota 
4,1949-01-18,5,5,289.0,Oklahoma State 
5,1949-01-18,6,6,248.0,San Francisco
6,1949-01-18,7,7,215.0,Illinois
7,1949-01-18,8,8,171.0,Hamline
8,1949-01-18,9,9,135.0,Villanova
9,1949-01-18,10,10,122.0,Utah
10,1949-01-18,11,11,117.0,Tulane
11,1949-01-18,12,12,101.0,Loyola Chicago
12,1949-01-18,13,13,100.0,Cincinnati
13,1949-01-18,14,14,80.0,Holy Cross
14,1949-01-18,15,15,70.0,Bowling Green
15,1949-01-18,16,16,69.0,Bradley
16,1949-01-18,17,17,56.0,Stanford
17,1949-01-18,18,19,46.0,Butler
18,1949-01-18,18,18,46.0,Washington State
19,1949-01-18,20,20,44.0,New York
20,1949-01-18,RV,23,38.0,Baylor
21,1949-01-18,RV,38,36.0,CCNY
22,1949-01-18,RV,22,34.0,DePaul
23,1949-01-18,RV,27,33.0,Duquesne
24,1949-01-18,RV,40,32.0,La Salle
25,1949-01-24,1,1,938.0,Saint Louis 
26,1949-01-24,2,2,896.0,Kentucky 
27,1949-01-24,3,5,710.0,Oklahoma State 
28,1949-01-24,4,3,654.0,Western Kentucky 
29,1949-01-24,5,4,637.0,Minnesota 
30,1949-01-24,6,7,315.0,Illinois
31,1949-01-24,7,8,212.0,Hamline
32,1949-01-24,8,9,159.0,Villanova
33,1949-01-24,9,6,146.0,San Francisco
34,1949-01-24,10,10,129.0,Utah
35,1949-01-24,11,17,102.0,Stanford
36,1949-01-24,12,11,97.0,Tulane
37,1949-01-24,13,12,85.0,Loyola Chicago
38,1949-01-24,14,18,82.0,Washington State
39,1949-01-24,15,21,50.0,NC State 
40,1949-01-24,16,22,40.0,DePaul
41,1949-01-24,17,19,37.0,Butler
42,1949-01-24,18,23,36.0,Baylor
43,1949-01-24,18,16,36.0,Bradley
44,1949-01-24,20,14,33.0,Holy Cross
45,1949-01-31,1,2,668.0,Kentucky 
46,1949-01-31,2,1,619.0,Saint Louis 
47,1949-01-31,3,5,515.0,Oklahoma State 
48,1949-01-31,4,7,410.0,Illinois 
49,1949-01-31,5,4,345.0,Minnesota
50,1949-01-31,6,3,322.0,Western Kentucky 
51,1949-01-31,7,9,189.0,Villanova
52,1949-01-31,8,8,183.0,Hamline
53,1949-01-31,9,17,107.0,Stanford 
54,1949-01-31,10,6,92.0,San Francisco
55,1949-01-31,11,11,72.0,Tulane
56,1949-01-31,12,10,62.0,Utah
57,1949-01-31,13,12,48.0,Loyola Chicago
58,1949-01-31,14,15,27.0,Bowling Green
59,1949-01-31,15,19,24.0,Butler
60,1949-01-31,15,20,24.0,New York
61,1949-01-31,17,21,23.0,NC State
62,1949-01-31,18,16,20.0,Bradley
63,1949-01-31,19,14,17.0,Holy Cross
64,1949-01-31,20,24,16.0,Eastern Kentucky
65,1949-01-31,NR,23,0.0,Baylor
66,1949-01-31,NR,22,0.0,DePaul
67,1949-01-31,NR,18,0.0,Washington State
68,1949-02-07,1,2,670.0,Kentucky 
69,1949-02-07,2,1,605.0,Saint Louis 
70,1949-02-07,3,5,575.0,Oklahoma State 
