,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year
0,1,<,,Notre Dame (34),Ind,2-0,822.0,W 26-0 H Tulane,Week 1Oct 9[1],1944
1,2,<,,North Carolina Pre-Flight (24),Ind,3-0,608.0,,Week 1Oct 9[1],1944
2,3,<,,Army (3),Ind,2-0,575.0,,Week 1Oct 9[1],1944
3,4,<,,Randolph Field (22),Ind,2-0,510.0,,Week 1Oct 9[1],1944
4,5,<,,Great Lakes Naval (3),Ind,2-0,450.0,,Week 1Oct 9[1],1944
5,6,<,,Navy,Ind,2-0,369.0,,Week 1Oct 9[1],1944
6,7,<,,Purdue (2),Big Ten,2-1,346.0,,Week 1Oct 9[1],1944
7,8,<,,Ohio State (2),Big Ten,2-0,296.0,,Week 1Oct 9[1],1944
8,9,<,,Penn,Ind,2-0,275.0,,Week 1Oct 9[1],1944
9,10,<,,Georgia Tech,SEC,2-0,194.0,,Week 1Oct 9[1],1944
10,11,<,,Iowa Pre-Flight (1),Ind,3-1,152.0,,Week 1Oct 9[1],1944
11,12,<,,Michigan,Big Ten,3-1,53.0,,Week 1Oct 9[1],1944
12,13,<,,Tulsa,MVC,2-0,52.0,W 27-0 H Kansas,Week 1Oct 9[1],1944
13,14,<,,Illinois,Big Ten,2-0,35.0,,Week 1Oct 9[1],1944
14,15,<,,2nd Air Force,Ind,3-1,34.0,,Week 1Oct 9[1],1944
15,15,<,,Tennessee (1),SEC,2-0,34.0,,Week 1Oct 9[1],1944
16,17,<,,Wake Forest,Southern,3-0,31.0,W 39-0 H Maryland,Week 1Oct 9[1],1944
17,18,<,,Bainbridge Naval,Ind,2-0,26.0,,Week 1Oct 9[1],1944
18,19,<,,Indiana,Big Ten,2-1,24.0,DNP,Week 1Oct 9[1],1944
19,19,<,,Wisconsin,Big Ten,2-0,24.0,,Week 1Oct 9[1],1944
20,1,<,1,Notre Dame (59.67),Ind,3-0,973.0,W 64-0 N Dartmouth,Week 2Oct 16[2],1944
21,2,<,3,Army (11.67),Ind,3-0,862.0,,Week 2Oct 16[2],1944
22,3,<,4,Randolph Field (21.92),Ind,3-0,681.5,,Week 2Oct 16[2],1944
23,4,<,8,Ohio State (4),Big Ten,3-0,631.0,,Week 2Oct 16[2],1944
24,5,<,11,Iowa Pre-Flight (0.25),Ind,4-1,399.5,,Week 2Oct 16[2],1944
25,6,<,5,Great Lakes Naval (1),Ind,3-0,386.0,,Week 2Oct 16[2],1944
26,7,<,9,Penn (3),Ind,3-0,328.0,,Week 2Oct 16[2],1944
27,8,<,10,Georgia Tech,SEC,3-0,313.0,,Week 2Oct 16[2],1944
28,9,<,6,Navy,Ind,2-1,308.0,,Week 2Oct 16[2],1944
29,10,<,2,North Carolina Pre-Flight,Ind,3-0-1,216.0,,Week 2Oct 16[2],1944
30,11,<,7,Purdue,Big Ten,2-2,128.0,,Week 2Oct 16[2],1944
31,12,<,NR,California (1),PCC,3-0-1,80.0,,Week 2Oct 16[2],1944
32,13,<,13,Tulsa,MVC,3-0,79.0,W 34-7 H Texas Tech,Week 2Oct 16[2],1944
33,14,<,NR,March Field/4th AF (1),Ind,2-0-1,75.0,,Week 2Oct 16[2],1944
34,15,<,12,Michigan,Big Ten,4-1,59.0,,Week 2Oct 16[2],1944
