,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,CP
0,1,<,1,Oklahoma (44),Big 8,0-0,1171.0,DNP,PreseasonAug 24[1],1986,
1,2,<,2,Michigan (6),Big Ten,0-0,1016.0,DNP,PreseasonAug 24[1],1986,
2,3,<,9,Miami (FL) (1),Ind,0-0,976.0,DNP,PreseasonAug 24[1],1986,
3,4,<,7,UCLA (3),Pac-10,0-0,972.0,DNP,PreseasonAug 24[1],1986,
4,5,<,13,Alabama,SEC,0-0,911.0,DNP,PreseasonAug 24[1],1986,
5,6,<,3,Penn State (3),Ind,0-0,892.0,DNP,PreseasonAug 24[1],1986,
6,7,<,6,Texas A&M (1),Southwest,0-0,871.0,DNP,PreseasonAug 24[1],1986,
7,8,<,11,Nebraska (1),Big 8,0-0,826.0,DNP,PreseasonAug 24[1],1986,
8,9,<,14,Ohio State,Big Ten,0-0,673.0,DNP,PreseasonAug 24[1],1986,
9,10,<,4,Tennessee,SEC,0-0,578.0,DNP,PreseasonAug 24[1],1986,
10,11,<,15,Florida State,Ind,0-0,422.0,DNP,PreseasonAug 24[1],1986,
11,12,<,17,Baylor,Southwest,0-0,404.0,DNP,PreseasonAug 24[1],1986,
12,13,<,5,Florida,SEC,0-0,398.0,DNP,PreseasonAug 24[1],1986,
13,14,<,NR,Auburn,SEC,0-0,269.0,DNP,PreseasonAug 24[1],1986,
14,15,<,20,LSU,SEC,0-0,229.0,DNP,PreseasonAug 24[1],1986,
15,16,<,NR,Georgia,SEC,0-0,220.0,DNP,PreseasonAug 24[1],1986,
16,16,<,NR,Washington,Pac-10,0-0,220.0,DNP,PreseasonAug 24[1],1986,
17,18,<,16,BYU,WAC,0-0,210.0,DNP,PreseasonAug 24[1],1986,
18,19,<,12,Arkansas,Southwest,0-0,188.0,DNP,PreseasonAug 24[1],1986,
19,20,<,NR,Michigan State,Big Ten,0-0,182.0,DNP,PreseasonAug 24[1],1986,
20,NR,<,8,Air Force,WAC,0-0,0.0,DNP,PreseasonAug 24[1],1986,
21,NR,<,10,Iowa,Big Ten,0-0,0.0,DNP,PreseasonAug 24[1],1986,
22,NR,<,18,Maryland,ACC,0-0,0.0,DNP,PreseasonAug 24[1],1986,
23,NR,<,19,Georgia Tech,ACC,0-0,0.0,DNP,PreseasonAug 24[1],1986,
24,1,<,1,Oklahoma (55),Big 8,1-0,1175.0,W 38-3 H #4 UCLA,Week 1Sep 9[2],1986,
25,2,<,3,Miami (FL) (1),Ind,2-0,1050.0,,Week 1Sep 9[2],1986,
26,3,<,2,Michigan (1),Big Ten,0-0,1026.0,DNP,Week 1Sep 9[2],1986,
27,4,<,5,Alabama,SEC,2-0,986.0,,Week 1Sep 9[2],1986,
28,5,<,6,Penn State (1),Ind,1-0,952.0,,Week 1Sep 9[2],1986,
29,6,<,8,Nebraska (1),Big 8,1-0,896.0,,Week 1Sep 9[2],1986,
30,7,<,7,Texas A&M,Southwest,0-0,868.0,DNP,Week 1Sep 9[2],1986,
31,8,<,10,Tennessee,SEC,1-0,713.0,,Week 1Sep 9[2],1986,
32,9,<,14,Auburn,SEC,1-0,509.0,,Week 1Sep 9[2],1986,
33,10,<,9,Ohio State,Big Ten,0-1,502.0,,Week 1Sep 9[2],1986,
34,11,<,18,BYU,WAC,1-0,425.0,,Week 1Sep 9[2],1986,
35,12,<,12,Baylor,Southwest,1-0,422.0,,Week 1Sep 9[2],1986,
36,13,<,13,Florida,SEC,1-1,366.0,,Week 1Sep 9[2],1986,
37,14,<,15,LSU,SEC,0-0,362.0,DNP,Week 1Sep 9[2],1986,
38,15,<,11,Florida State,Ind,1-1,300.0,,Week 1Sep 9[2],1986,
39,16,<,4,UCLA,Pac-10,0-1,298.0,L 38-3 A #1 Oklahoma,Week 1Sep 9[2],1986,
40,17,<,16,Washington,Pac-10,0-0,253.0,DNP,Week 1Sep 9[2],1986,
41,18,<,19,Arkansas,Southwest,0-0,250.0,DNP,Week 1Sep 9[2],1986,
42,19,<,16,Georgia,SEC,0-0,235.0,DNP,Week 1Sep 9[2],1986,
43,20,<,20,Michigan State,Big Ten,0-0,196.0,DNP,Week 1Sep 9[2],1986,
44,1,<,1,Oklahoma (55),Big 8,1-0,1175.0,DNP,Week 2Sep 16[3],1986,
45,2,<,2,Miami (FL) (1),Ind,2-0,1099.0,,Week 2Sep 16[3],1986,
46,3,<,3,Michigan,Big Ten,1-0,1000.0,,Week 2Sep 16[3],1986,
47,4,<,4,Alabama (1),SEC,3-0,992.0,,Week 2Sep 16[3],1986,
48,5,<,5,Penn State (1),Ind,1-0,938.0,,Week 2Sep 16[3],1986,
49,6,<,6,Nebraska (1),Big 8,1-0,924.0,,Week 2Sep 16[3],1986,
50,7,<,17,Washington (1),Pac-10,1-0,751.0,,Week 2Sep 16[3],1986,
51,8,<,14,LSU,SEC,1-0,747.0,,Week 2Sep 16[3],1986,
52,9,<,12,Baylor,Southwest,2-0,629.0,,Week 2Sep 16[3],1986,
53,10,<,9,Auburn,SEC,1-0,615.0,,Week 2Sep 16[3],1986,
54,11,<,11,BYU,WAC,2-0,441.0,,Week 2Sep 16[3],1986,
55,12,<,18,Arkansas,Southwest,1-0,402.0,,Week 2Sep 16[3],1986,
56,13,<,13,Florida,SEC,1-1,396.0,,Week 2Sep 16[3],1986,
57,14,<,19,Georgia,SEC,1-0,383.0,,Week 2Sep 16[3],1986,
58,15,<,15,Florida State,Ind,1-1,298.0,,Week 2Sep 16[3],1986,
59,16,<,7,Texas A&M,Southwest,0-1,218.0,,Week 2Sep 16[3],1986,
60,17,<,NR,Arizona,Pac-10,2-0,199.0,W 37-10 H Colorado State,Week 2Sep 16[3],1986,
61,18,<,NR,Arizona State,Pac-10,1-0,187.0,,Week 2Sep 16[3],1986,
62,19,<,16,UCLA,Pac-10,0-1,169.0,,Week 2Sep 16[3],1986,
63,20,<,NR,Notre Dame,Ind,0-1,143.0,,Week 2Sep 16[3],1986,
64,NR,<,8,Tennessee,SEC,,0.0,L 27-23 H Mississippi State,Week 2Sep 16[3],1986,
65,NR,<,10,Ohio State,Big Ten,,0.0,L 40-7 A #17 Washington,Week 2Sep 16[3],1986,
66,NR,<,20,Michigan State,Big Ten,,0.0,,Week 2Sep 16[3],1986,
67,1,<,1,Oklahoma (55),Big 8,2-0,1175.0,W 63-0 H Minnesota,Week 3Sep 23[4],1986,
68,2,<,2,Miami (FL) (1),Ind,3-0,1104.0,,Week 3Sep 23[4],1986,
69,3,<,4,Alabama,SEC,4-0,1020.0,,Week 3Sep 23[4],1986,
70,4,<,6,Nebraska (1),Big 8,2-0,954.0,,Week 3Sep 23[4],1986,
71,5,<,3,Michigan,Big Ten,2-0,946.0,,Week 3Sep 23[4],1986,
72,6,<,7,Washington (1),Pac-10,2-0,903.0,,Week 3Sep 23[4],1986,
73,7,<,5,Penn State (1),Ind,2-0,878.0,,Week 3Sep 23[4],1986,
74,8,<,10,Auburn,SEC,2-0,722.0,,Week 3Sep 23[4],1986,
75,9,<,12,Arkansas,Southwest,2-0,639.0,,Week 3Sep 23[4],1986,
76,10,<,17,Arizona,Pac-10,3-0,583.0,W 41-17 A Oregon,Week 3Sep 23[4],1986,
77,11,<,18,Arizona State,Pac-10,2-0,544.0,,Week 3Sep 23[4],1986,
78,12,<,NR,USC,Pac-10,2-0,356.0,,Week 3Sep 23[4],1986,
79,13,<,NR,Maryland,ACC,3-0,321.0,,Week 3Sep 23[4],1986,
80,14,<,16,Texas A&M,Southwest,1-1,312.0,,Week 3Sep 23[4],1986,
81,15,<,NR,Iowa,Big Ten,2-0,307.0,,Week 3Sep 23[4],1986,
82,16,<,19,UCLA,Pac-10,1-1,304.0,,Week 3Sep 23[4],1986,
83,17,<,9,Baylor,Southwest,2-1,297.0,,Week 3Sep 23[4],1986,
84,18,<,8,LSU,SEC,1-1,186.0,,Week 3Sep 23[4],1986,
85,19,<,NR,Michigan State,Big Ten,1-1,148.0,,Week 3Sep 23[4],1986,
86,20,<,15,Florida State,Ind,1-1-1,108.0,,Week 3Sep 23[4],1986,
