,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS,CP
0,1,<,3,Nebraska (36),Big 12,0-0,1732,DNP,PreseasonAug 6[1],2000,,
1,2,<,1,Florida State (29),ACC,0-0,1720,DNP,PreseasonAug 6[1],2000,,
2,3,<,8,Alabama (3),SEC,0-0,1570,DNP,PreseasonAug 6[1],2000,,
3,4,<,4,Wisconsin (1),Big Ten,0-0,1408,DNP,PreseasonAug 6[1],2000,,
4,5,<,15,Miami (FL),Big East,0-0,1392,DNP,PreseasonAug 6[1],2000,,
5,6,<,5,Michigan,Big Ten,0-0,1380,DNP,PreseasonAug 6[1],2000,,
6,7,<,21,Texas (2),Big 12,0-0,1297,DNP,PreseasonAug 6[1],2000,,
7,8,<,6,Kansas State,Big 12,0-0,1276,DNP,PreseasonAug 6[1],2000,,
8,9,<,12,Florida,SEC,0-0,1255,DNP,PreseasonAug 6[1],2000,,
9,10,<,16,Georgia,SEC,0-0,1226,DNP,PreseasonAug 6[1],2000,,
10,11,<,2,Virginia Tech,Big East,0-0,1044,DNP,PreseasonAug 6[1],2000,,
11,12,<,9,Tennessee,SEC,0-0,940,DNP,PreseasonAug 6[1],2000,,
12,13,<,NR,Washington,Pac-10,0-0,816,DNP,PreseasonAug 6[1],2000,,
13,14,<,25,Purdue,Big Ten,0-0,751,DNP,PreseasonAug 6[1],2000,,
14,15,<,NR,USC,Pac-10,0-0,723,DNP,PreseasonAug 6[1],2000,,
15,16,<,NR,Ohio State,Big Ten,0-0,601,DNP,PreseasonAug 6[1],2000,,
16,17,<,NR,Clemson,ACC,0-0,599,DNP,PreseasonAug 6[1],2000,,
17,18,<,22,Mississippi,SEC,0-0,541,DNP,PreseasonAug 6[1],2000,,
18,19,<,NR,Oklahoma,Big 12,0-0,455,DNP,PreseasonAug 6[1],2000,,
19,20,<,NR,TCU,WAC,0-0,404,DNP,PreseasonAug 6[1],2000,,
20,21,<,24,Illinois,Big Ten,0-0,361,DNP,PreseasonAug 6[1],2000,,
21,22,<,11,Penn State,Big Ten,0-0,359,DNP,PreseasonAug 6[1],2000,,
22,23,<,14,Southern Miss,CUSA,0-0,224,DNP,PreseasonAug 6[1],2000,,
23,24,<,NR,Colorado,Big 12,0-0,166,DNP,PreseasonAug 6[1],2000,,
24,25,<,7,Michigan State,Big Ten,0-0,145,DNP,PreseasonAug 6[1],2000,,
25,RV,<,23,Texas A&M,Big 12,0-0,139,DNP,PreseasonAug 6[1],2000,,
26,RV,<,NR,UCLA,Pac-10,0-0,115,DNP,PreseasonAug 6[1],2000,,
27,RV,<,NR,East Carolina,CUSA,0-0,75,DNP,PreseasonAug 6[1],2000,,
28,RV,<,19,Oregon,Pac-10,0-0,63,DNP,PreseasonAug 6[1],2000,,
29,RV,<,NR,Auburn,SEC,0-0,36,DNP,PreseasonAug 6[1],2000,,
30,RV,<,NR,Colorado State,MWC,0-0,35,DNP,PreseasonAug 6[1],2000,,
31,RV,<,13,Mississippi State,SEC,0-0,34,DNP,PreseasonAug 6[1],2000,,
32,RV,<,NR,Utah,MWC,0-0,33,DNP,PreseasonAug 6[1],2000,,
33,RV,<,NR,Notre Dame,Ind,0-0,32,DNP,PreseasonAug 6[1],2000,,
34,RV,<,NR,Virginia,ACC,0-0,26,DNP,PreseasonAug 6[1],2000,,
35,RV,<,10,Marshall,MAC,0-0,23,DNP,PreseasonAug 6[1],2000,,
36,RV,<,17,Arkansas,SEC,0-0,22,DNP,PreseasonAug 6[1],2000,,
37,RV,<,20,Georgia Tech,ACC,0-0,10,DNP,PreseasonAug 6[1],2000,,
38,RV,<,NR,LSU,SEC,0-0,10,DNP,PreseasonAug 6[1],2000,,
39,RV,<,NR,Syracuse,Big East,0-0,9,DNP,PreseasonAug 6[1],2000,,
40,RV,<,NR,BYU,MWC,0-0,7,DNP,PreseasonAug 6[1],2000,,
41,RV,<,18,Minnesota,Big Ten,0-0,5,DNP,PreseasonAug 6[1],2000,,
42,RV,<,NR,Boston College,Big East,0-0,3,DNP,PreseasonAug 6[1],2000,,
43,RV,<,NR,Kentucky,SEC,0-0,3,DNP,PreseasonAug 6[1],2000,,
44,RV,<,NR,Texas Tech,Big 12,0-0,3,DNP,PreseasonAug 6[1],2000,,
45,RV,<,NR,Toledo,MAC,0-0,3,DNP,PreseasonAug 6[1],2000,,
46,RV,<,NR,Stanford,Pac-10,0-0,2,DNP,PreseasonAug 6[1],2000,,
47,RV,<,NR,Arizona State,Pac-10,0-0,1,DNP,PreseasonAug 6[1],2000,,
48,RV,<,NR,Oregon State,Pac-10,0-0,1,DNP,PreseasonAug 6[1],2000,,
49,1,<,1,Nebraska (35),Big 12,0-0,1728,DNP,Week 1Aug 27[2],2000,,
50,2,<,2,Florida State (30),ACC,1-0,1723,W 29-3 N BYU (Pigskin Classic),Week 1Aug 27[2],2000,,
51,3,<,3,Alabama (3),SEC,0-0,1577,DNP,Week 1Aug 27[2],2000,,
52,4,<,4,Wisconsin (1),Big Ten,0-0,1442,DNP,Week 1Aug 27[2],2000,,
53,5,<,5,Miami (FL),Big East,0-0,1404,DNP,Week 1Aug 27[2],2000,,
54,6,<,6,Michigan,Big Ten,0-0,1381,DNP,Week 1Aug 27[2],2000,,
55,7,<,7,Texas (2),Big 12,0-0,1308,DNP,Week 1Aug 27[2],2000,,
56,8,<,8,Kansas State,Big 12,1-0,1256,W 27-7 N Iowa (Eddie Robinson Classic),Week 1Aug 27[2],2000,,
57,9,<,9,Florida,SEC,0-0,1248,DNP,Week 1Aug 27[2],2000,,
58,10,<,10,Georgia,SEC,0-0,1230,DNP,Week 1Aug 27[2],2000,,
59,11,<,11,Virginia Tech,Big East,0-0,1050,DNP,Week 1Aug 27[2],2000,,
60,12,<,15,USC,Pac-10,1-0,966,W 29-5 N #22 Penn State (Kick-Off Classic),Week 1Aug 27[2],2000,,
61,13,<,12,Tennessee,SEC,0-0,902,DNP,Week 1Aug 27[2],2000,,
62,14,<,13,Washington,Pac-10,0-0,785,DNP,Week 1Aug 27[2],2000,,
63,15,<,14,Purdue,Big Ten,0-0,728,DNP,Week 1Aug 27[2],2000,,
64,16,<,16,Ohio State,Big Ten,0-0,601,DNP,Week 1Aug 27[2],2000,,
65,17,<,17,Clemson,ACC,0-0,597,DNP,Week 1Aug 27[2],2000,,
66,18,<,18,Mississippi,SEC,0-0,545,DNP,Week 1Aug 27[2],2000,,
67,19,<,19,Oklahoma,Big 12,0-0,469,DNP,Week 1Aug 27[2],2000,,
68,20,<,20,TCU,WAC,0-0,408,DNP,Week 1Aug 27[2],2000,,
69,21,<,21,Illinois,Big Ten,0-0,395,DNP,Week 1Aug 27[2],2000,,
70,22,<,23,Southern Miss,CUSA,0-0,248,DNP,Week 1Aug 27[2],2000,,
71,23,<,24,Colorado,Big 12,0-0,182,DNP,Week 1Aug 27[2],2000,,
72,24,<,25,Michigan State,Big Ten,0-0,162,DNP,Week 1Aug 27[2],2000,,
73,25,<,NR,Texas A&M,Big 12,0-0,141,DNP,Week 1Aug 27[2],2000,,
74,NR,<,22,Penn State,Big Ten,0-1,0,L 29-5 N #15 USC (Kick-Off Classic),Week 1Aug 27[2],2000,,
75,1,<,1,Nebraska (39),Big 12,1-0,1736,W 49-13 H San Jose State,Week 2Sep 3[3],2000,,
76,2,<,2,Florida State (28),ACC,1-0,1725,,Week 2Sep 3[3],2000,,
77,3,<,6,Michigan,Big Ten,1-0,1513,,Week 2Sep 3[3],2000,,
78,4,<,5,Miami (FL),Big East,1-0,1493,,Week 2Sep 3[3],2000,,
79,5,<,4,Wisconsin (1),Big Ten,1-0,1391,,Week 2Sep 3[3],2000,,
80,6,<,7,Texas (2),Big 12,0-0,1345,DNP,Week 2Sep 3[3],2000,,
81,7,<,8,Kansas State,Big 12,2-0,1334,,Week 2Sep 3[3],2000,,
82,8,<,9,Florida,SEC,1-0,1263,,Week 2Sep 3[3],2000,,
83,9,<,10,Georgia,SEC,1-0,1245,,Week 2Sep 3[3],2000,,
84,10,<,11,Virginia Tech,Big East,1-0,1119,,Week 2Sep 3[3],2000,,
85,11,<,12,USC,Pac-10,1-0,964,,Week 2Sep 3[3],2000,,
86,12,<,13,Tennessee,SEC,1-0,901,,Week 2Sep 3[3],2000,,
87,13,<,3,Alabama,SEC,0-1,824,,Week 2Sep 3[3],2000,,
88,14,<,15,Purdue,Big Ten,1-0,805,,Week 2Sep 3[3],2000,,
89,15,<,14,Washington,Pac-10,1-0,773,,Week 2Sep 3[3],2000,,
90,16,<,NR,UCLA (1),Pac-10,1-0,766,,Week 2Sep 3[3],2000,,
91,17,<,17,Clemson,ACC,1-0,612,,Week 2Sep 3[3],2000,,
92,18,<,16,Ohio State,Big Ten,1-0,591,,Week 2Sep 3[3],2000,,
93,19,<,18,Mississippi,SEC,1-0,528,,Week 2Sep 3[3],2000,,
94,20,<,19,Oklahoma,Big 12,1-0,487,W 55-14 H UTEP,Week 2Sep 3[3],2000,,
95,21,<,21,Illinois,Big Ten,1-0,398,,Week 2Sep 3[3],2000,,
96,22,<,20,TCU,WAC,0-0,354,DNP,Week 2Sep 3[3],2000,,
97,23,<,NR,Notre Dame,Ind,1-0,166,,Week 2Sep 3[3],2000,,
98,24,<,24,Michigan State,Big Ten,0-0,150,DNP,Week 2Sep 3[3],2000,,
99,25,<,22,Southern Miss,CUSA,0-1,125,L 19-16 A #13 Tennessee,Week 2Sep 3[3],2000,,
100,NR,<,23,Colorado,Big 12,,0,,Week 2Sep 3[3],2000,,
101,NR,<,25,Texas A&M,Big 12,,0,,Week 2Sep 3[3],2000,,
102,1,<,1,Nebraska (41),Big 12,2-0,1740,W 27-24 (1OT) A #23 Notre Dame,Week 3Sep 10[4],2000,,
103,2,<,2,Florida State (26),ACC,2-0,1720,,Week 3Sep 10[4],2000,,
104,3,<,3,Michigan (1),Big Ten,2-0,1590,,Week 3Sep 10[4],2000,,
105,4,<,5,Wisconsin (1),Big Ten,2-0,1437,,Week 3Sep 10[4],2000,,
106,5,<,6,Texas (2),Big 12,1-0,1427,,Week 3Sep 10[4],2000,,
107,6,<,8,Florida,SEC,2-0,1376,,Week 3Sep 10[4],2000,,
108,7,<,7,Kansas State,Big 12,2-0,1368,,Week 3Sep 10[4],2000,,
109,8,<,10,Virginia Tech,Big East,2-0,1252,,Week 3Sep 10[4],2000,,
110,9,<,15,Washington,Pac-10,2-0,1200,,Week 3Sep 10[4],2000,,
111,10,<,11,USC,Pac-10,2-0,1040,,Week 3Sep 10[4],2000,,
112,11,<,12,Tennessee,SEC,1-0,961,,Week 3Sep 10[4],2000,,
113,12,<,4,Miami (FL),Big East,1-1,894,,Week 3Sep 10[4],2000,,
114,13,<,14,Purdue,Big Ten,2-0,884,,Week 3Sep 10[4],2000,,
115,14,<,16,UCLA,Pac-10,2-0,830,,Week 3Sep 10[4],2000,,
116,15,<,13,Alabama,SEC,1-1,800,,Week 3Sep 10[4],2000,,
117,16,<,17,Clemson,ACC,2-0,789,,Week 3Sep 10[4],2000,,
118,17,<,18,Ohio State,Big Ten,2-0,688,,Week 3Sep 10[4],2000,,
119,18,<,20,Oklahoma,Big 12,2-0,552,W 45-7 H Arkansas State,Week 3Sep 10[4],2000,,
120,19,<,21,Illinois,Big Ten,2-0,494,,Week 3Sep 10[4],2000,,
121,20,<,22,TCU,WAC,1-0,430,W 41-10 A Nevada,Week 3Sep 10[4],2000,,
122,21,<,23,Notre Dame,Ind,1-1,301,,Week 3Sep 10[4],2000,,
123,22,<,24,Michigan State,Big Ten,1-0,280,,Week 3Sep 10[4],2000,,
124,23,<,9,Georgia,SEC,1-1,261,L 21-10 A South Carolina,Week 3Sep 10[4],2000,,
125,24,<,NR,Auburn,SEC,2-0,193,,Week 3Sep 10[4],2000,,
