,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,BCS
0,1,<,1,USC (48),Pac-10,0-0,1603,DNP,1,2004,
1,2,<,3,Oklahoma (11),Big 12,0-0,1529,DNP,1,2004,
2,3,<,7,Georgia (5),SEC,0-0,1480,DNP,1,2004,
3,4,<,2,LSU (1),SEC,0-0,1446,DNP,1,2004,
4,5,<,11,Florida State,ACC,0-0,1291,DNP,1,2004,
5,6,<,5,Miami (FL),ACC,0-0,1287,DNP,1,2004,
6,7,<,12,Texas,Big 12,0-0,1236,DNP,1,2004,
7,8,<,6,Michigan,Big Ten,0-0,1223,DNP,1,2004,
8,9,<,4,Ohio State,Big Ten,0-0,1005,DNP,1,2004,
9,10,<,NR,West Virginia,Big East,0-0,937,DNP,1,2004,
10,11,<,24,Florida,SEC,0-0,836,DNP,1,2004,
11,12,<,NR,California,Pac-10,0-0,763,DNP,1,2004,
12,13,<,14,Kansas State,Big 12,0-0,744,DNP,1,2004,
13,14,<,15,Tennessee,SEC,0-0,658,DNP,1,2004,
14,15,<,22,Clemson,ACC,0-0,638,DNP,1,2004,
15,16,<,NR,Virginia,ACC,0-0,627,DNP,1,2004,
16,17,<,NR,Auburn,SEC,0-0,540,DNP,1,2004,
17,18,<,NR,Missouri,Big 12,0-0,525,DNP,1,2004,
18,19,<,8,Iowa,Big Ten,0-0,518,DNP,1,2004,
19,20,<,21,Utah,MWC,0-0,446,DNP,1,2004,
20,21,<,NR,Wisconsin,Big Ten,0-0,328,DNP,1,2004,
21,22,<,17,Maryland,ACC,0-0,310,DNP,1,2004,
22,23,<,NR,Oregon,Pac-10,0-0,200,DNP,1,2004,
23,24,<,18,Purdue,Big Ten,0-0,153,DNP,1,2004,
24,25,<,20,Minnesota,Big Ten,0-0,142,DNP,1,2004,
25,NR,<,9,Washington State,Pac-10,0-0,0,DNP,1,2004,
26,NR,<,10,Miami (OH),MAC,0-0,0,DNP,1,2004,
27,NR,<,13,Mississippi,SEC,0-0,0,DNP,1,2004,
28,NR,<,16,Boise State,WAC,0-0,0,DNP,1,2004,
29,NR,<,19,Nebraska,Big 12,0-0,0,DNP,1,2004,
30,NR,<,23,Bowling Green,MAC,0-0,0,DNP,1,2004,
31,NR,<,25,TCU,CUSA,0-0,0,DNP,1,2004,
32,1,<,1,USC (51),Pac-10,1-0,1609,W 24-13 N Virginia Tech (BCA Classic),2,2004,
33,2,<,2,Oklahoma (10),Big 12,1-0,1548,W 40-24 H Bowling Green,2,2004,
34,3,<,3,Georgia (4),SEC,1-0,1481,,2,2004,
35,4,<,5,Florida State,ACC,0-0,1326,DNP,2,2004,
36,5,<,6,Miami (FL),ACC,0-0,1306,DNP,2,2004,
37,6,<,4,LSU,SEC,1-0,1292,,2,2004,
38,7,<,7,Texas,Big 12,1-0,1276,,2,2004,
39,8,<,8,Michigan,Big Ten,1-0,1260,,2,2004,
40,9,<,9,Ohio State,Big Ten,1-0,1012,,2,2004,
41,10,<,10,West Virginia,Big East,1-0,987,,2,2004,
42,11,<,11,Florida,SEC,0-0,840,DNP,2,2004,
43,12,<,12,California,Pac-10,1-0,839,,2,2004,
44,13,<,13,Kansas State,Big 12,1-0,732,,2,2004,
45,14,<,14,Tennessee,SEC,0-0,662,DNP,2,2004,
46,15,<,16,Virginia,ACC,1-0,642,,2,2004,
47,16,<,19,Iowa,Big Ten,1-0,578,,2,2004,
48,17,<,20,Utah,MWC,1-0,570,W 41-21 H Texas A&M,2,2004,
49,18,<,17,Auburn,SEC,1-0,552,W 31-0 H Louisiana-Monroe,2,2004,
50,19,<,18,Missouri,Big 12,1-0,535,,2,2004,
51,20,<,15,Clemson,ACC,1-0,490,W 37-30 (2OT) H Wake Forest,2,2004,
52,21,<,21,Wisconsin,Big Ten,1-0,346,,2,2004,
53,22,<,25,Minnesota,Big Ten,1-0,259,,2,2004,
54,23,<,22,Maryland,ACC,1-0,195,,2,2004,
55,24,<,23,Oregon,Pac-10,0-0,181,DNP,2,2004,
56,25,<,24,Purdue,Big Ten,0-0,131,DNP,2,2004,
57,1,<,1,USC (52),Pac-10,2-0,1611,W 49-0 H Colorado State,3,2004,
58,2,<,2,Oklahoma (10),Big 12,2-0,1552,W 63-13 H Houston,3,2004,
59,3,<,3,Georgia (3),SEC,2-0,1478,,3,2004,
60,4,<,5,Miami (FL),ACC,1-0,1398,,3,2004,
61,5,<,6,LSU,SEC,2-0,1344,,3,2004,
62,6,<,7,Texas,Big 12,2-0,1311,,3,2004,
63,7,<,10,West Virginia,Big East,2-0,1087,,3,2004,
64,8,<,4,Florida State,ACC,0-1,1058,,3,2004,
65,9,<,9,Ohio State,Big Ten,2-0,1030,,3,2004,
66,10,<,12,California,Pac-10,2-0,969,,3,2004,
67,11,<,11,Florida,SEC,1-0,955,,3,2004,
68,12,<,15,Virginia,ACC,2-0,812,,3,2004,
69,13,<,14,Tennessee,SEC,1-0,798,,3,2004,
70,14,<,18,Auburn,SEC,2-0,739,W 43-14 A Mississippi State,3,2004,
71,15,<,17,Utah,MWC,2-0,699,W 23-6 A Arizona,3,2004,
72,16,<,16,Iowa,Big Ten,2-0,665,,3,2004,
73,17,<,8,Michigan,Big Ten,1-1,577,,3,2004,
74,18,<,25,Purdue,Big Ten,2-0,557,,3,2004,
75,19,<,NR,Fresno State,WAC,2-0,454,W 45-21 A Kansas State,3,2004,
76,20,<,21,Wisconsin,Big Ten,2-0,404,,3,2004,
77,21,<,23,Maryland,ACC,2-0,392,,3,2004,
78,22,<,22,Minnesota,Big Ten,2-0,340,,3,2004,
79,23,<,NR,Boise State,WAC,2-0,201,,3,2004,
80,24,<,NR,Louisville,CUSA,2-0,153,W 52-21 A Army,3,2004,
81,25,<,NR,Memphis,CUSA,2-0,86,W 52-21 H Chattanooga,3,2004,
82,NR,<,13,Kansas State,Big 12,,0,,3,2004,
83,NR,<,19,Missouri,Big 12,,0,,3,2004,
84,NR,<,20,Clemson,ACC,,0,,3,2004,
85,NR,<,24,Oregon,Pac-10,,0,,3,2004,
86,1,<,1,USC (54),Pac-10,3-0,1613,W 42-10 A BYU,4,2004,
87,2,<,2,Oklahoma (10),Big 12,3-0,1562,W 31-7 H Oregon,4,2004,
88,3,<,3,Georgia (1),SEC,3-0,1456,,4,2004,
89,4,<,4,Miami (FL),ACC,2-0,1437,,4,2004,
90,5,<,6,Texas,Big 12,2-0,1358,,4,2004,
91,6,<,7,West Virginia,Big East,3-0,1169,,4,2004,
92,7,<,9,Ohio State,Big Ten,3-0,1117,,4,2004,
93,8,<,8,Florida State,ACC,1-1,1079,,4,2004,
94,9,<,14,Auburn,SEC,3-0,1064,W 10-9 H #5 LSU,4,2004,
95,10,<,10,California,Pac-10,2-0,1034,,4,2004,
96,11,<,13,Tennessee,SEC,2-0,1031,,4,2004,
97,12,<,12,Virginia,ACC,3-0,919,,4,2004,
