,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,Last Week,Date,Year,CP,BCS
0,1,<,1,USC (60),Pac-10,0-0,1619,DNP,1,2005,,
1,2,<,5,Texas (4),Big 12,0-0,1500,DNP,1,2005,,
2,3,<,13,Tennessee,SEC,0-0,1376,DNP,1,2005,,
3,4,<,14,Michigan,Big Ten,0-0,1329,DNP,1,2005,,
4,5,<,16,LSU,SEC,0-0,1291,DNP,1,2005,,
5,6,<,20,Ohio State,Big Ten,0-0,1205,DNP,1,2005,,
6,7,<,3,Oklahoma,Big 12,0-0,1204,DNP,1,2005,,
7,8,<,10,Virginia Tech,ACC,0-0,1184,DNP,1,2005,,
8,9,<,11,Miami (FL),ACC,0-0,1142,DNP,1,2005,,
9,10,<,NR,Florida,SEC,0-0,1080,DNP,1,2005,,
10,11,<,8,Iowa,Big Ten,0-0,1011,DNP,1,2005,,
11,12,<,6,Louisville (1),Big East,0-0,892,DNP,1,2005,,
12,13,<,7,Georgia,SEC,0-0,869,DNP,1,2005,,
13,14,<,15,Florida State,ACC,0-0,764,DNP,1,2005,,
14,15,<,NR,Purdue,Big Ten,0-0,711,DNP,1,2005,,
15,16,<,2,Auburn,SEC,0-0,650,DNP,1,2005,,
16,17,<,NR,Texas A&M,Big 12,0-0,576,DNP,1,2005,,
17,18,<,12,Boise State,WAC,0-0,375,DNP,1,2005,,
18,19,<,9,California,Pac-10,0-0,358,DNP,1,2005,,
19,20,<,19,Arizona State,Pac-10,0-0,313,DNP,1,2005,,
20,21,<,18,Texas Tech,Big 12,0-0,256,DNP,1,2005,,
21,22,<,21,Boston College,ACC,0-0,232,DNP,1,2005,,
22,23,<,25,Pittsburgh,Big East,0-0,211,DNP,1,2005,,
23,24,<,22,Fresno State,WAC,0-0,196,DNP,1,2005,,
24,25,<,23,Virginia,ACC,0-0,153,DNP,1,2005,,
25,NR,<,4,Utah,MWC,0-0,0,DNP,1,2005,,
26,NR,<,17,Wisconsin,Big Ten,0-0,0,DNP,1,2005,,
27,NR,<,24,Navy,Ind,0-0,0,DNP,1,2005,,
28,1,<,1,USC (61),Pac-10,1-0,1621,W 63-17 A Hawaii,2,2005,,
29,2,<,2,Texas (4),Big 12,1-0,1541,,2,2005,,
30,3,<,4,Michigan,Big Ten,1-0,1360,,2,2005,,
31,4,<,6,Ohio State,Big Ten,1-0,1301,,2,2005,,
32,5,<,5,LSU,SEC,0-0,1291,DNP,2,2005,,
33,6,<,3,Tennessee,SEC,1-0,1280,,2,2005,,
34,7,<,8,Virginia Tech,ACC,1-0,1253,,2,2005,,
35,8,<,11,Iowa,Big Ten,1-0,1146,,2,2005,,
36,9,<,13,Georgia,SEC,1-0,1131,,2,2005,,
37,10,<,10,Florida,SEC,1-0,1129,,2,2005,,
38,11,<,14,Florida State,ACC,1-0,1064,,2,2005,,
39,12,<,12,Louisville,Big East,1-0,911,W 31-24 A Kentucky,2,2005,,
40,13,<,15,Purdue,Big Ten,0-0,740,DNP,2,2005,,
41,14,<,9,Miami (FL),ACC,0-1,710,,2,2005,,
42,15,<,20,Arizona State,Pac-10,1-0,553,,2,2005,,
43,16,<,19,California,Pac-10,1-0,514,,2,2005,,
44,17,<,NR,Georgia Tech,ACC,1-0,459,,2,2005,,
45,18,<,7,Oklahoma,Big 12,0-1,375,L 17-10 H TCU,2,2005,,
46,19,<,22,Boston College,ACC,1-0,372,,2,2005,,
47,20,<,NR,Notre Dame,Ind,1-0,345,,2,2005,,
48,21,<,21,Texas Tech,Big 12,0-0,274,DNP,2,2005,,
49,22,<,NR,TCU,MWC,1-0,254,W 17-10 A Oklahoma,2,2005,,
50,23,<,25,Virginia,ACC,1-0,232,,2,2005,,
51,24,<,24,Fresno State,WAC,0-0,221,DNP,2,2005,,
52,25,<,NR,Clemson,ACC,1-0,164,,2,2005,,
53,NR,<,16,Auburn,SEC,,0,,2,2005,,
54,NR,<,17,Texas A&M,Big 12,,0,,2,2005,,
55,NR,<,18,Boise State,WAC,,0,,2,2005,,
56,NR,<,23,Pittsburgh,Big East,,0,,2,2005,,
57,1,<,1,USC (56),Pac-10,1-0,1592,DNP,3,2005,,
58,2,<,2,Texas (8),Big 12,2-0,1538,,3,2005,,
59,3,<,5,LSU,SEC,1-0,1404,,3,2005,,
60,4,<,7,Virginia Tech,ACC,2-0,1345,,3,2005,,
61,5,<,6,Tennessee,SEC,1-0,1297,,3,2005,,
