,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,BCS
0,1,<,1,Alabama (54),SEC,0-0,1491,*1,DNP,PreseasonAug 21,2010,
1,2,<,5,Ohio State (3),Big Ten,0-0,1400,*2,DNP,PreseasonAug 21,2010,
2,3,<,4,Boise State (1),WAC,0-0,1336,5,DNP,PreseasonAug 21,2010,
3,4,<,3,Florida,SEC,0-0,1237,3,DNP,PreseasonAug 21,2010,
4,5,<,2,Texas (1),Big 12,0-0,1223,4,DNP,PreseasonAug 21,2010,
5,6,<,6,TCU,MWC,0-0,1160,7,DNP,PreseasonAug 21,2010,
6,7,<,NR,Oklahoma (1),Big 12,0-0,1104,8,DNP,PreseasonAug 21,2010,
7,8,<,14,Nebraska,Big 12,0-0,1033,9,DNP,PreseasonAug 21,2010,
8,9,<,7,Iowa,Big Ten,0-0,1007,10,DNP,PreseasonAug 21,2010,
9,10,<,10,Virginia Tech,ACC,0-0,973,6,DNP,PreseasonAug 21,2010,
10,11,<,11,Oregon,Pac-10,0-0,870,11,DNP,PreseasonAug 21,2010,
11,12,<,16,Wisconsin,Big Ten,0-0,822,12,DNP,PreseasonAug 21,2010,
12,13,<,19,Miami (FL),ACC,0-0,785,13,DNP,PreseasonAug 21,2010,
13,14,<,22,USC,Pac-10,0-0,590,NR,DNP,PreseasonAug 21,2010,
14,15,<,15,Pittsburgh,Big East,0-0,516,15,DNP,PreseasonAug 21,2010,
15,16,<,13,Georgia Tech,ACC,0-0,511,17,DNP,PreseasonAug 21,2010,
16,17,<,NR,Arkansas,SEC,0-0,496,19,DNP,PreseasonAug 21,2010,
17,18,<,NR,North Carolina,ACC,0-0,397,18,DNP,PreseasonAug 21,2010,
18,19,<,9,Penn State,Big Ten,0-0,382,14,DNP,PreseasonAug 21,2010,
19,20,<,NR,Florida State,ACC,0-0,379,20,DNP,PreseasonAug 21,2010,
20,21,<,17,LSU,SEC,0-0,300,16,DNP,PreseasonAug 21,2010,
21,22,<,NR,Auburn,SEC,0-0,296,23,DNP,PreseasonAug 21,2010,
22,23,<,NR,Georgia,SEC,0-0,206,21,DNP,PreseasonAug 21,2010,
23,24,<,NR,Oregon State,Pac-10,0-0,198,22,DNP,PreseasonAug 21,2010,
24,25,<,25,West Virginia,Big East,0-0,184,24,DNP,PreseasonAug 21,2010,
25,RV,<,8,Cincinnati,Big East,0-0,108,RV,DNP,PreseasonAug 21,2010,
26,RV,<,NR,Stanford,Pac-10,0-0,81,RV,DNP,PreseasonAug 21,2010,
27,RV,<,18,Utah,MWC,0-0,80,24,DNP,PreseasonAug 21,2010,
28,RV,<,NR,South Carolina,SEC,0-0,71,RV,DNP,PreseasonAug 21,2010,
29,RV,<,NR,Houston,CUSA,0-0,66,RV,DNP,PreseasonAug 21,2010,
30,RV,<,NR,Connecticut,Big East,0-0,32,RV,DNP,PreseasonAug 21,2010,
31,RV,<,NR,Notre Dame,Ind,0-0,31,RV,DNP,PreseasonAug 21,2010,
32,RV,<,NR,Missouri,Big 12,0-0,27,RV,DNP,PreseasonAug 21,2010,
33,RV,<,12,BYU,MWC,0-0,19,RV,DNP,PreseasonAug 21,2010,
34,RV,<,24,Clemson,ACC,0-0,15,RV,DNP,PreseasonAug 21,2010,
35,RV,<,NR,Arizona,Pac-10,0-0,15,RV,DNP,PreseasonAug 21,2010,
36,RV,<,21,Texas Tech,Big 12,0-0,14,RV,DNP,PreseasonAug 21,2010,
37,RV,<,NR,Navy,Ind,0-0,12,RV,DNP,PreseasonAug 21,2010,
38,RV,<,NR,Washington,Pac-10,0-0,8,RV,DNP,PreseasonAug 21,2010,
39,RV,<,NR,Texas A&M,Big 12,0-0,7,RV,DNP,PreseasonAug 21,2010,
40,RV,<,20,Mississippi,SEC,0-0,6,RV,DNP,PreseasonAug 21,2010,
41,RV,<,NR,Oklahoma State,Big 12,0-0,3,RV,DNP,PreseasonAug 21,2010,
42,RV,<,23,Central Michigan,MAC,0-0,2,RV,DNP,PreseasonAug 21,2010,
43,RV,<,NR,Middle Tennessee,Sun Belt,0-0,2,NR,DNP,PreseasonAug 21,2010,
44,RV,<,NR,Temple,MAC,0-0,2,RV,DNP,PreseasonAug 21,2010,
45,RV,<,NR,Boston College,ACC,0-0,1,RV,DNP,PreseasonAug 21,2010,
46,RV,<,NR,SMU,CUSA,0-0,1,RV,DNP,PreseasonAug 21,2010,
47,RV,<,NR,UCF,CUSA,0-0,1,NR,DNP,PreseasonAug 21,2010,
48,NR,<,NR,Arizona State,Pac-10,0-0,0,RV,DNP,PreseasonAug 21,2010,
49,NR,<,NR,California,Pac-10,0-0,0,RV,DNP,PreseasonAug 21,2010,
50,NR,<,NR,Michigan State,Big Ten,0-0,0,RV,DNP,PreseasonAug 21,2010,
51,NR,<,NR,Mississippi State,SEC,0-0,0,RV,DNP,PreseasonAug 21,2010,
52,NR,<,NR,Nevada,WAC,0-0,0,RV,DNP,PreseasonAug 21,2010,
53,NR,<,NR,Northern Illinois,MAC,0-0,0,RV,DNP,PreseasonAug 21,2010,
54,NR,<,NR,Northwestern,Big Ten,0-0,0,RV,DNP,PreseasonAug 21,2010,
55,NR,<,NR,South Florida,Big East,0-0,0,RV,DNP,PreseasonAug 21,2010,
56,1,<,1,Alabama (47),SEC,1-0,1484,*1,W 48-3 H San Jose State,Week 1Sep 7,2010,
57,2,<,2,Ohio State (4),Big Ten,1-0,1412,*2,W 45-7 H Marshall,Week 1Sep 7,2010,
58,3,<,3,Boise State (8),WAC,1-0,1399,3,W 33-30 N #10 Virginia Tech,Week 1Sep 7,2010,
59,4,<,6,TCU,MWC,1-0,1256,5,W 30-21 N #24 Oregon State,Week 1Sep 7,2010,
60,5,<,5,Texas (1),Big 12,1-0,1192,4,W 34-17 A Rice,Week 1Sep 7,2010,
61,6,<,8,Nebraska,Big 12,1-0,1105,7,W 49-10 H Western Kentucky,Week 1Sep 7,2010,
62,7,<,11,Oregon,Pac-10,1-0,1077,8,W 72-0 H New Mexico,Week 1Sep 7,2010,
63,8,<,4,Florida,SEC,1-0,1065,6,W 34-12 H Miami (OH),Week 1Sep 7,2010,
64,9,<,9,Iowa,Big Ten,1-0,1044,9,W 37-7 H Eastern Illinois,Week 1Sep 7,2010,
65,10,<,7,Oklahoma,Big 12,1-0,917,10,W 31-24 H Utah State,Week 1Sep 7,2010,
66,11,<,12,Wisconsin,Big Ten,1-0,881,11,W 41-21 A UNLV,Week 1Sep 7,2010,
67,12,<,13,Miami (FL),ACC,1-0,877,12,W 45-0 H Florida A&M,Week 1Sep 7,2010,
68,13,<,10,Virginia Tech,ACC,0-1,782,13,L 33-30 N #3 Boise State,Week 1Sep 7,2010,
69,14,<,17,Arkansas,SEC,1-0,572,15,W 44-3 H Tennessee Tech,Week 1Sep 7,2010,
70,15,<,16,Georgia Tech,ACC,1-0,555,17,W 41-10 H South Carolina State,Week 1Sep 7,2010,
71,16,<,14,USC,Pac-10,1-0,520,NR,W 49-36 A Hawaii,Week 1Sep 7,2010,
72,17,<,20,Florida State,ACC,1-0,504,18,W 59-6 H Samford,Week 1Sep 7,2010,
73,18,<,19,Penn State,Big Ten,1-0,418,14,W 44-14 H Youngstown State,Week 1Sep 7,2010,
74,19,<,21,LSU,SEC,1-0,384,16,W 30-24 N #18 North Carolina,Week 1Sep 7,2010,
75,20,<,NR,Utah,MWC,1-0,365,20,W 27-24 (1OT) H #15 Pittsburgh,Week 1Sep 7,2010,
76,21,<,22,Auburn,SEC,1-0,362,20,W 52-26 H Arkansas State,Week 1Sep 7,2010,
77,22,<,23,Georgia,SEC,1-0,353,19,W 55-7 H Louisiana-Lafayette,Week 1Sep 7,2010,
78,23,<,25,West Virginia,Big East,1-0,226,22,W 31-0 H Coastal Carolina,Week 1Sep 7,2010,
79,24,<,NR,South Carolina,SEC,1-0,164,25,W 41-13 H Southern Miss,Week 1Sep 7,2010,
80,25,<,NR,Stanford,Pac-10,1-0,96,RV,W 52-17 H Sacramento State,Week 1Sep 7,2010,
81,RV,<,NR,Michigan,Big Ten,1-0,71,RV,W 30-10 H Connecticut,Week 1Sep 7,2010,
82,RV,<,NR,Houston,CUSA,1-0,60,RV,W 68-28 H Texas State,Week 1Sep 7,2010,
83,RV,<,15,Pittsburgh,Big East,0-1,59,RV,L 27-24 (1OT) A Utah,Week 1Sep 7,2010,
84,RV,<,24,Oregon State,Pac-10,0-1,58,RV,L 30-21 N #6 TCU,Week 1Sep 7,2010,
85,RV,<,18,North Carolina,ACC,0-1,45,RV,L 30-24 N #21 LSU,Week 1Sep 7,2010,
86,RV,<,NR,Notre Dame,Ind,1-0,38,RV,W 23-12 H Purdue,Week 1Sep 7,2010,
87,RV,<,NR,Arizona,Pac-10,1-0,30,23,W 41-2 A Toledo,Week 1Sep 7,2010,
88,RV,<,NR,BYU,MWC,1-0,30,24,W 23-17 H Washington,Week 1Sep 7,2010,
89,RV,<,NR,Missouri,Big 12,1-0,25,RV,W 23-13 N Illinois,Week 1Sep 7,2010,
90,RV,<,NR,Fresno State,WAC,1-0,24,RV,W 28-14 H Cincinnati,Week 1Sep 7,2010,
91,RV,<,NR,Kansas State,Big 12,1-0,12,RV,W 31-22 H UCLA,Week 1Sep 7,2010,
92,RV,<,NR,Clemson,ACC,1-0,11,RV,W 35-10 H North Texas,Week 1Sep 7,2010,
93,RV,<,NR,Texas A&M,Big 12,1-0,10,RV,W 48-7 H Stephen F. Austin,Week 1Sep 7,2010,
94,RV,<,NR,Oklahoma State,Big 12,1-0,7,RV,W 65-17 H Washington State,Week 1Sep 7,2010,
95,RV,<,NR,Cincinnati,Big East,0-1,4,RV,L 28-14 A Fresno State,Week 1Sep 7,2010,
96,RV,<,NR,Texas Tech,Big 12,1-0,3,RV,W 35-27 H SMU,Week 1Sep 7,2010,
97,RV,<,NR,Michigan State,Big Ten,1-0,2,RV,W 38-14 H Western Michigan,Week 1Sep 7,2010,
98,RV,<,NR,East Carolina,CUSA,1-0,1,NR,W 51-49 H Tulsa,Week 1Sep 7,2010,
99,NR,<,NR,Air Force,MWC,1-0,0,RV,W 65-21 H Northwestern State,Week 1Sep 7,2010,
100,NR,<,NR,Arizona State,Pac-10,1-0,0,RV,W 54-9 H Portland State,Week 1Sep 7,2010,
101,NR,<,NR,Boston College,ACC,1-0,0,RV,W 38-20 H Weber State,Week 1Sep 7,2010,
102,NR,<,NR,California,Pac-10,1-0,0,RV,W 52-3 H UC Davis,Week 1Sep 7,2010,
103,NR,<,NR,Connecticut,Big East,0-1,0,RV,L 30-10 A Michigan,Week 1Sep 7,2010,
104,NR,<,NR,Maryland,ACC,1-0,0,RV,W 17-14 N Navy,Week 1Sep 7,2010,
105,NR,<,NR,Mississippi State,SEC,1-0,0,RV,W 49-7 H Memphis,Week 1Sep 7,2010,
106,NR,<,NR,NC State,ACC,1-0,0,RV,W 48-7 H Western Carolina,Week 1Sep 7,2010,
107,NR,<,NR,Nevada,WAC,1-0,0,RV,W 49-24 H Eastern Washington,Week 1Sep 7,2010,
108,NR,<,NR,Northwestern,Big Ten,1-0,0,RV,W 23-21 A Vanderbilt,Week 1Sep 7,2010,
109,NR,<,NR,South Florida,Big East,1-0,0,RV,W 59-14 H Stony Brook,Week 1Sep 7,2010,
110,NR,<,NR,Temple,MAC,1-0,0,RV,W 31-24 H Villanova,Week 1Sep 7,2010,
111,NR,<,NR,Tennessee,SEC,1-0,0,RV,W 50-0 H Tennessee-Martin,Week 1Sep 7,2010,
112,NR,<,NR,Washington,Pac-10,0-1,0,RV,L 23-17 A BYU,Week 1Sep 7,2010,
113,1,<,1,Alabama (52),SEC,2-0,1466,*1,W 24-3 H #18 Penn State,Week 2Sep 12,2010,
114,2,<,2,Ohio State (5),Big Ten,2-0,1410,*2,W 36-24 H #12 Miami (FL),Week 2Sep 12,2010,
115,3,<,3,Boise State (1),WAC,1-0,1306,3,DNP,Week 2Sep 12,2010,
116,4,<,4,TCU,MWC,2-0,1235,5,W 62-7 H Tennessee Tech,Week 2Sep 12,2010,
117,5,<,7,Oregon,Pac-10,2-0,1172,6,W 48-13 A Tennessee,Week 2Sep 12,2010,
118,6,<,5,Texas (1),Big 12,2-0,1150,4,W 34-7 H Wyoming,Week 2Sep 12,2010,
119,7,<,10,Oklahoma,Big 12,2-0,1123,9,W 47-17 H #17 Florida State,Week 2Sep 12,2010,
120,8,<,6,Nebraska,Big 12,2-0,1083,8,W 38-17 H Idaho,Week 2Sep 12,2010,
121,9,<,9,Iowa,Big Ten,2-0,1037,10,W 35-7 H Iowa State,Week 2Sep 12,2010,
122,10,<,8,Florida,SEC,2-0,1036,7,W 38-14 H South Florida,Week 2Sep 12,2010,
123,11,<,11,Wisconsin,Big Ten,2-0,855,11,W 27-14 H San Jose State,Week 2Sep 12,2010,
124,12,<,14,Arkansas,SEC,2-0,755,13,W 31-7 H Louisiana-Monroe,Week 2Sep 12,2010,
125,13,<,24,South Carolina,SEC,2-0,642,16,W 17-6 H #22 Georgia,Week 2Sep 12,2010,
126,14,<,20,Utah,MWC,2-0,627,14,W 38-10 H UNLV,Week 2Sep 12,2010,
127,15,<,19,LSU,SEC,2-0,595,12,W 27-3 A Vanderbilt,Week 2Sep 12,2010,
128,16,<,21,Auburn,SEC,2-0,538,15,W 17-14 A Mississippi State,Week 2Sep 12,2010,
129,17,<,12,Miami (FL),ACC,1-1,530,17,L 36-24 A #2 Ohio State,Week 2Sep 12,2010,
130,18,<,16,USC,Pac-10,2-0,481,NR,W 17-14 H Virginia,Week 2Sep 12,2010,
131,19,<,25,Stanford,Pac-10,2-0,446,19,W 35-0 A UCLA,Week 2Sep 12,2010,
132,20,<,NR,Michigan,Big Ten,2-0,437,22,W 28-24 A Notre Dame,Week 2Sep 12,2010,
133,21,<,23,West Virginia,Big East,2-0,197,21,W 24-21 (1OT) A Marshall,Week 2Sep 12,2010,
134,22,<,18,Penn State,Big Ten,1-1,171,20,L 24-3 A #1 Alabama,Week 2Sep 12,2010,
135,23,<,NR,Houston,CUSA,2-0,169,23,W 54-24 H UTEP,Week 2Sep 12,2010,
136,24,<,NR,Arizona,Pac-10,2-0,138,18,W 52-6 H Citadel,Week 2Sep 12,2010,
137,25,<,NR,Oregon State,Pac-10,0-1,75,RV,DNP,Week 2Sep 12,2010,
138,RV,<,NR,Pittsburgh,Big East,1-1,62,RV,W 38-16 H New Hampshire,Week 2Sep 12,2010,
139,RV,<,NR,Fresno State,WAC,1-0,48,RV,DNP,Week 2Sep 12,2010,
140,RV,<,NR,Air Force,MWC,2-0,46,RV,W 35-14 H BYU,Week 2Sep 12,2010,
141,RV,<,NR,California,Pac-10,2-0,45,24,W 52-7 H Colorado,Week 2Sep 12,2010,
142,RV,<,22,Georgia,SEC,1-1,42,RV,L 17-6 A #24 South Carolina,Week 2Sep 12,2010,
143,RV,<,17,Florida State,ACC,1-1,41,RV,L 47-17 A #10 Oklahoma,Week 2Sep 12,2010,
144,RV,<,NR,Missouri,Big 12,2-0,37,25,W 50-6 H McNeese State,Week 2Sep 12,2010,
145,RV,<,15,Georgia Tech,ACC,1-1,35,RV,L 28-25 A Kansas,Week 2Sep 12,2010,
146,RV,<,NR,Clemson,ACC,2-0,25,RV,W 58-21 H Presbyterian,Week 2Sep 12,2010,
147,RV,<,NR,North Carolina,ACC,0-1,23,RV,DNP,Week 2Sep 12,2010,
148,RV,<,NR,Texas A&M,Big 12,2-0,18,RV,W 48-16 H Louisiana Tech,Week 2Sep 12,2010,
149,RV,<,NR,Texas Tech,Big 12,2-0,17,RV,W 52-17 A New Mexico,Week 2Sep 12,2010,
150,RV,<,NR,Michigan State,Big Ten,2-0,15,RV,W 30-17 A Florida Atlantic,Week 2Sep 12,2010,
151,RV,<,NR,James Madison,Other,2-0,11,NR,W 21-16 A #13 Virginia Tech,Week 2Sep 12,2010,
152,RV,<,NR,Kansas State,Big 12,2-0,10,RV,W 48-24 H Missouri State,Week 2Sep 12,2010,
153,RV,<,NR,Oklahoma State,Big 12,2-0,10,RV,W 41-38 H Troy,Week 2Sep 12,2010,
154,RV,<,NR,Maryland,ACC,2-0,6,RV,W 62-3 H Morgan State,Week 2Sep 12,2010,
155,RV,<,NR,East Carolina,CUSA,2-0,4,RV,W 49-27 H Memphis,Week 2Sep 12,2010,
156,RV,<,NR,Nevada,WAC,2-0,2,RV,W 51-6 H Colorado State,Week 2Sep 12,2010,
157,RV,<,NR,Baylor,Big 12,2-0,1,NR,W 34-6 H Buffalo,Week 2Sep 12,2010,
158,RV,<,NR,Boston College,ACC,2-0,1,RV,W 26-13 H Kent State,Week 2Sep 12,2010,
159,RV,<,NR,NC State,ACC,2-0,1,NR,W 28-21 A UCF,Week 2Sep 12,2010,
160,RV,<,NR,Northwestern,Big Ten,2-0,1,RV,W 37-3 H Illinois State,Week 2Sep 12,2010,
161,NR,<,13,Virginia Tech,ACC,0-2,0,RV,L 21-16 H James Madison,Week 2Sep 12,2010,
162,NR,<,NR,Arizona State,Pac-10,2-0,0,RV,W 41-20 H Northern Arizona,Week 2Sep 12,2010,
163,NR,<,NR,BYU,MWC,1-1,0,RV,L 35-14 A Air Force,Week 2Sep 12,2010,
164,NR,<,NR,Cincinnati,Big East,1-1,0,RV,W 40-7 H Indiana State,Week 2Sep 12,2010,
165,NR,<,NR,Connecticut,Big East,1-1,0,RV,W 62-3 H Texas Southern,Week 2Sep 12,2010,
166,NR,<,NR,Mississippi State,SEC,1-1,0,RV,L 17-14 H #21 Auburn,Week 2Sep 12,2010,
167,NR,<,NR,Notre Dame,Ind,1-1,0,RV,L 28-24 H Michigan,Week 2Sep 12,2010,
168,NR,<,NR,Temple,MAC,2-0,0,RV,W 13-10 (1OT) H Central Michigan,Week 2Sep 12,2010,
169,NR,<,NR,Washington,Pac-10,1-1,0,RV,W 41-20 H Syracuse,Week 2Sep 12,2010,
170,1,<,1,Alabama (53),SEC,3-0,1492,*1,W 62-13 A Duke,Week 3Sep 19,2010,
171,2,<,2,Ohio State (5),Big Ten,3-0,1435,*2,W 43-7 H Ohio,Week 3Sep 19,2010,
172,3,<,3,Boise State (1),WAC,2-0,1333,3,W 51-6 A Wyoming,Week 3Sep 19,2010,
173,4,<,4,TCU,MWC,3-0,1280,5,W 45-10 H Baylor,Week 3Sep 19,2010,
174,5,<,5,Oregon,Pac-10,3-0,1238,6,W 69-0 H Portland State,Week 3Sep 19,2010,
175,6,<,8,Nebraska,Big 12,3-0,1175,*7,W 56-21 A Washington,Week 3Sep 19,2010,
176,7,<,6,Texas (1),Big 12,3-0,1164,4,W 24-14 A Texas Tech,Week 3Sep 19,2010,
177,8,<,7,Oklahoma,Big 12,3-0,1114,9,W 27-24 H Air Force,Week 3Sep 19,2010,
178,9,<,10,Florida,SEC,3-0,1044,8,W 31-17 A Tennessee,Week 3Sep 19,2010,
179,10,<,12,Arkansas,SEC,3-0,903,11,W 31-24 A Georgia,Week 3Sep 19,2010,
180,11,<,11,Wisconsin,Big Ten,3-0,803,10,W 20-19 H Arizona State,Week 3Sep 19,2010,
181,12,<,13,South Carolina,SEC,3-0,739,15,W 38-19 H Furman,Week 3Sep 19,2010,
182,13,<,14,Utah,MWC,3-0,703,13,W 56-14 A New Mexico,Week 3Sep 19,2010,
183,14,<,24,Arizona,Pac-10,3-0,663,16,W 34-27 H #9 Iowa,Week 3Sep 19,2010,
184,15,<,15,LSU,SEC,3-0,654,12,W 29-7 H Mississippi State,Week 3Sep 19,2010,
185,16,<,19,Stanford,Pac-10,3-0,606,17,W 68-24 H Wake Forest,Week 3Sep 19,2010,
186,17,<,16,Auburn,SEC,3-0,600,14,W 27-24 (1OT) H Clemson,Week 3Sep 19,2010,
187,18,<,9,Iowa,Big Ten,2-1,482,18,L 34-27 A #24 Arizona,Week 3Sep 19,2010,
188,19,<,17,Miami (FL),ACC,1-1,472,19,DNP,Week 3Sep 19,2010,
189,20,<,18,USC,Pac-10,3-0,414,NR,W 32-21 A Minnesota,Week 3Sep 19,2010,
190,21,<,20,Michigan,Big Ten,3-0,291,22,W 42-37 H Massachusetts,Week 3Sep 19,2010,
191,22,<,21,West Virginia,Big East,3-0,258,21,W 31-17 H Maryland,Week 3Sep 19,2010,
192,23,<,22,Penn State,Big Ten,2-1,198,20,W 24-0 H Kent State,Week 3Sep 19,2010,
193,24,<,25,Oregon State,Pac-10,1-1,75,RV,W 35-28 H Louisville,Week 3Sep 19,2010,
194,25,<,NR,Michigan State,Big Ten,3-0,45,23,W 34-31 (1OT) H Notre Dame,Week 3Sep 19,2010,
195,RV,<,NR,Air Force,MWC,2-1,44,RV,L 27-24 A #7 Oklahoma,Week 3Sep 19,2010,
196,RV,<,NR,Nevada,WAC,3-0,41,RV,W 52-31 H California,Week 3Sep 19,2010,
197,RV,<,NR,Florida State,ACC,2-1,40,RV,W 34-10 H BYU,Week 3Sep 19,2010,
198,RV,<,NR,Pittsburgh,Big East,1-1,40,RV,DNP,Week 3Sep 19,2010,
199,RV,<,NR,Fresno State,WAC,2-0,35,RV,W 41-24 A Utah State,Week 3Sep 19,2010,
200,RV,<,NR,Missouri,Big 12,3-0,30,24,W 27-24 H San Diego State,Week 3Sep 19,2010,
201,RV,<,NR,Oklahoma State,Big 12,3-0,22,25,W 65-28 H Tulsa,Week 3Sep 19,2010,
202,RV,<,NR,Clemson,ACC,2-1,14,RV,L 27-24 (1OT) A #16 Auburn,Week 3Sep 19,2010,
203,RV,<,NR,Georgia Tech,ACC,2-1,14,RV,W 30-24 A North Carolina,Week 3Sep 19,2010,
204,RV,<,NR,NC State,ACC,3-0,14,RV,W 30-19 H Cincinnati,Week 3Sep 19,2010,
205,RV,<,NR,James Madison,Other,2-0,8,NR,DNP,Week 3Sep 19,2010,
206,RV,<,NR,Kansas State,Big 12,3-0,4,RV,W 27-20 H Iowa State,Week 3Sep 19,2010,
207,RV,<,NR,Arizona State,Pac-10,2-1,3,NR,L 20-19 A #11 Wisconsin,Week 3Sep 19,2010,
208,RV,<,NR,California,Pac-10,2-1,3,NR,L 52-31 A Nevada,Week 3Sep 19,2010,
209,RV,<,NR,Northwestern,Big Ten,3-0,3,RV,W 30-13 A Rice,Week 3Sep 19,2010,
210,RV,<,23,Houston,CUSA,2-1,1,RV,L 31-13 A UCLA,Week 3Sep 19,2010,
211,RV,<,NR,Notre Dame,Ind,1-2,1,NR,L 34-31 (1OT) A Michigan State,Week 3Sep 19,2010,
212,RV,<,NR,Temple,MAC,3-0,1,RV,W 30-16 H Connecticut,Week 3Sep 19,2010,
213,RV,<,NR,Texas A&M,Big 12,3-0,1,RV,W 27-20 H FIU,Week 3Sep 19,2010,
214,NR,<,NR,Boston College,ACC,2-0,0,RV,DNP,Week 3Sep 19,2010,
215,NR,<,NR,Texas Tech,Big 12,2-1,0,RV,L 24-14 H #6 Texas,Week 3Sep 19,2010,
216,NR,<,NR,Virginia Tech,ACC,1-2,0,RV,W 49-27 H East Carolina,Week 3Sep 19,2010,
217,1,<,1,Alabama (57),SEC,4-0,1496,*1,W 24-20 A #10 Arkansas,Week 4Sep 26,2010,
218,2,<,2,Ohio State (2),Big Ten,4-0,1431,*2,W 73-20 H Eastern Michigan,Week 4Sep 26,2010,
219,3,<,3,Boise State (1),WAC,3-0,1356,3,W 37-24 H #24 Oregon State,Week 4Sep 26,2010,
220,4,<,5,Oregon,Pac-10,4-0,1276,4,W 42-31 A Arizona State,Week 4Sep 26,2010,
221,5,<,4,TCU,MWC,4-0,1269,5,W 41-24 A SMU,Week 4Sep 26,2010,
222,6,<,6,Nebraska,Big 12,4-0,1158,6,W 17-3 H South Dakota State,Week 4Sep 26,2010,
223,7,<,9,Florida,SEC,4-0,1132,7,W 48-14 H Kentucky,Week 4Sep 26,2010,
224,8,<,8,Oklahoma,Big 12,4-0,1095,8,W 31-29 A Cincinnati,Week 4Sep 26,2010,
225,9,<,16,Stanford,Pac-10,4-0,895,13,W 37-14 A Notre Dame,Week 4Sep 26,2010,
