,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,CFP
0,1,<,1,Florida State (57),ACC,0-0,1496,*1,DNP,PreseasonAug 17[1],2014,
1,2,<,7,Alabama (1),SEC,0-0,1361,2,DNP,PreseasonAug 17[1],2014,
2,3,<,9,Oregon (1),Pac-12,0-0,1334,*4,DNP,PreseasonAug 17[1],2014,
3,4,<,6,Oklahoma (1),Big 12,0-0,1324,*3,DNP,PreseasonAug 17[1],2014,
4,5,<,12,Ohio State,Big Ten,0-0,1207,*6,DNP,PreseasonAug 17[1],2014,
5,6,<,2,Auburn,SEC,0-0,1198,5,DNP,PreseasonAug 17[1],2014,
6,7,<,16,UCLA,Pac-12,0-0,1106,7,DNP,PreseasonAug 17[1],2014,
7,8,<,3,Michigan State,Big Ten,0-0,1080,8,DNP,PreseasonAug 17[1],2014,
8,9,<,4,South Carolina,SEC,0-0,1015,*9,DNP,PreseasonAug 17[1],2014,
9,10,<,13,Baylor,Big 12,0-0,966,10,DNP,PreseasonAug 17[1],2014,
10,11,<,11,Stanford,Pac-12,0-0,885,11,DNP,PreseasonAug 17[1],2014,
11,12,<,NR,Georgia,SEC,0-0,843,12,DNP,PreseasonAug 17[1],2014,
12,13,<,14,LSU,SEC,0-0,776,13,DNP,PreseasonAug 17[1],2014,
13,14,<,22,Wisconsin,Big Ten,0-0,637,14,DNP,PreseasonAug 17[1],2014,
14,15,<,19,USC,Pac-12,0-0,626,15,DNP,PreseasonAug 17[1],2014,
15,16,<,8,Clemson,ACC,0-0,536,16,DNP,PreseasonAug 17[1],2014,
16,17,<,21,Notre Dame,Ind,0-0,445,17,DNP,PreseasonAug 17[1],2014,
17,18,<,NR,Mississippi,SEC,0-0,424,19,DNP,PreseasonAug 17[1],2014,
18,19,<,20,Arizona State,Pac-12,0-0,357,18,DNP,PreseasonAug 17[1],2014,
19,20,<,NR,Kansas State,Big 12,0-0,242,21,DNP,PreseasonAug 17[1],2014,
20,21,<,18,Texas A&M,SEC,0-0,238,20,DNP,PreseasonAug 17[1],2014,
21,22,<,NR,Nebraska,Big Ten,0-0,226,22,DNP,PreseasonAug 17[1],2014,
22,23,<,NR,North Carolina,ACC,0-0,194,23,DNP,PreseasonAug 17[1],2014,
23,24,<,5,Missouri,SEC,0-0,134,RV,DNP,PreseasonAug 17[1],2014,
24,25,<,25,Washington,Pac-12,0-0,130,25,DNP,PreseasonAug 17[1],2014,
25,RV,<,10,UCF,AAC,0-0,94,RV,DNP,PreseasonAug 17[1],2014,
