,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
0,1,<,1,Alabama (33),SEC,0-0,1469,*1,DNP,PreseasonAug 21[1],2016,,
1,2,<,2,Clemson (16),ACC,0-0,1443,*2,DNP,PreseasonAug 21[1],2016,,
2,3,<,5,Oklahoma (4),Big 12,0-0,1352,3,DNP,PreseasonAug 21[1],2016,,
3,4,<,14,Florida State (5),ACC,0-0,1325,*4,DNP,PreseasonAug 21[1],2016,,
4,5,<,16,LSU (1),SEC,0-0,1269,6,DNP,PreseasonAug 21[1],2016,,
5,6,<,4,Ohio State (1),Big Ten,0-0,1224,5,DNP,PreseasonAug 21[1],2016,,
6,7,<,12,Michigan (1),Big Ten,0-0,1147,8,DNP,PreseasonAug 21[1],2016,,
7,8,<,3,Stanford,Pac-12,0-0,1029,7,DNP,PreseasonAug 21[1],2016,,
8,9,<,22,Tennessee,SEC,0-0,1021,*10,DNP,PreseasonAug 21[1],2016,,
9,10,<,11,Notre Dame,Ind,0-0,1006,9,DNP,PreseasonAug 21[1],2016,,
10,11,<,10,Mississippi,SEC,0-0,718,12,DNP,PreseasonAug 21[1],2016,,
11,12,<,6,Michigan State,Big Ten,0-0,710,11,DNP,PreseasonAug 21[1],2016,,
12,13,<,7,TCU,Big 12,0-0,707,14,DNP,PreseasonAug 21[1],2016,,
13,14,<,NR,Washington,Pac-12,0-0,651,18,DNP,PreseasonAug 21[1],2016,,
14,15,<,8,Houston,AAC,0-0,644,13,DNP,PreseasonAug 21[1],2016,,
15,16,<,NR,UCLA,Pac-12,0-0,496,24,DNP,PreseasonAug 21[1],2016,,
16,17,<,9,Iowa,Big Ten,0-0,484,15,DNP,PreseasonAug 21[1],2016,,
17,18,<,NR,Georgia,SEC,0-0,448,16,DNP,PreseasonAug 21[1],2016,,
18,19,<,NR,Louisville,ACC,0-0,447,23,DNP,PreseasonAug 21[1],2016,,
19,20,<,NR,USC,Pac-12,0-0,344,17,DNP,PreseasonAug 21[1],2016,,
20,21,<,20,Oklahoma State,Big 12,0-0,316,19,DNP,PreseasonAug 21[1],2016,,
21,22,<,15,North Carolina,ACC,0-0,283,20,DNP,PreseasonAug 21[1],2016,,
22,23,<,13,Baylor,Big 12,0-0,280,21,DNP,PreseasonAug 21[1],2016,,
23,24,<,19,Oregon,Pac-12,0-0,218,22,DNP,PreseasonAug 21[1],2016,,
24,25,<,25,Florida,SEC,0-0,180,25,DNP,PreseasonAug 21[1],2016,,
25,RV,<,NR,Miami (FL),ACC,0-0,159,RV,DNP,PreseasonAug 21[1],2016,,
26,RV,<,NR,Texas A&M,SEC,0-0,81,RV,DNP,PreseasonAug 21[1],2016,,
27,RV,<,17,Utah,Pac-12,0-0,74,RV,DNP,PreseasonAug 21[1],2016,,
28,RV,<,NR,Washington State,Pac-12,0-0,68,RV,DNP,PreseasonAug 21[1],2016,,
29,RV,<,NR,Boise State,MWC,0-0,49,RV,DNP,PreseasonAug 21[1],2016,,
30,RV,<,NR,San Diego State,MWC,0-0,46,RV,DNP,PreseasonAug 21[1],2016,,
31,RV,<,21,Wisconsin,Big Ten,0-0,42,RV,DNP,PreseasonAug 21[1],2016,,
32,RV,<,NR,Auburn,SEC,0-0,22,RV,DNP,PreseasonAug 21[1],2016,,
33,RV,<,NR,Pittsburgh,ACC,0-0,15,RV,DNP,PreseasonAug 21[1],2016,,
34,RV,<,NR,Arkansas,SEC,0-0,14,RV,DNP,PreseasonAug 21[1],2016,,
35,RV,<,NR,Texas,Big 12,0-0,12,RV,DNP,PreseasonAug 21[1],2016,,
36,RV,<,NR,Nebraska,Big Ten,0-0,11,RV,DNP,PreseasonAug 21[1],2016,,
37,RV,<,18,Navy,AAC,0-0,8,RV,DNP,PreseasonAug 21[1],2016,,
38,RV,<,23,Northwestern,Big Ten,0-0,5,RV,DNP,PreseasonAug 21[1],2016,,
39,RV,<,24,Western Kentucky,CUSA,0-0,4,RV,DNP,PreseasonAug 21[1],2016,,
40,RV,<,NR,South Florida,AAC,0-0,2,RV,DNP,PreseasonAug 21[1],2016,,
41,RV,<,NR,Toledo,MAC,0-0,2,RV,DNP,PreseasonAug 21[1],2016,,
42,NR,<,NR,Appalachian State,Sun Belt,0-0,0,RV,DNP,PreseasonAug 21[1],2016,,
43,NR,<,NR,Arizona,Pac-12,0-0,0,RV,DNP,PreseasonAug 21[1],2016,,
