Season,Date,Team1,Team1 Location,Team2,Team2 Location,Open1,Open2,Close1,Close2,MoneyLine1,MoneyLine2,Team1 Score,Team2 Score,Result of Home Team
2008,2007-11-05,Richmond,N,Maine,N,8.5,127,5.5,127.5,-240,200,44,42,N/A
2008,2007-11-05,MemphisU,H,TennMartin,V,35,140,35.5,144,-39000,13000,102,71,1
2008,2007-11-06,AlabamaA&M,N,GardnerWebb,N,132.5,4,139.5,3,140,-160,55,69,N/A
2008,2007-11-06,Kentucky,H,CentralArkansas,V,28,138,26.5,134,-7000,3000,67,40,1
2008,2007-11-06,TennMartin,N,Maine,N,3,131,1.5,128,-125,105,66,62,N/A
2008,2007-11-06,MemphisU,H,Richmond,V,29,138,29.5,140.5,-10000,4000,80,63,1
2008,2007-11-07,Buffalo,N,OhioValley,N,25,166,25,166,-7000,3000,89,82,N/A
2008,2007-11-07,Connecticut,H,MorganState,V,26,134,26,138.5,NL,NL,69,65,1
2008,2007-11-07,CentralArkansas,N,AlabamaA&M,N,4,128,3.5,129,-160,140,69,59,N/A
2008,2007-11-07,Kentucky,H,GardnerWebb,V,25.5,137,26.5,132.5,-7000,3000,68,84,0
2008,2007-11-08,MorganState,N,OhioValley,N,11,163,11.5,163,-900,600,77,66,N/A
2008,2007-11-08,Connecticut,H,Buffalo,V,17.5,137.5,19,143,-3000,1500,82,57,1
2008,2007-11-08,DenverU,N,ECentralOklahoma,N,11,135,8.5,133.5,-400,325,76,75,N/A
2008,2007-11-08,Oklahoma,H,SanFrancisco,V,17,132,17.5,131,-2600,1420,71,55,1
2008,2007-11-09,Ohio,H,NewMexicoState,V,3.5,151.5,3.5,151.5,-180,158,80,72,1
2008,2007-11-09,Columbia,H,Fordham,V,124.5,4,124.5,5,190,-230,61,79,0
2008,2007-11-09,Pennsylvania,H,Drexel,V,133.5,1.5,133.5,3,130,-150,59,67,0
2008,2007-11-09,BallState,H,Butler,V,113.5,10.5,113.5,10.5,460,-620,45,61,0
2008,2007-11-09,RhodeIsland,H,FlaAtlantic,V,14,163.5,13,163.5,-1300,850,90,63,1
2008,2007-11-09,SouthFlorida,H,ClevelandState,V,9.5,129,7.5,129,-340,280,70,73,0
2008,2007-11-09,EasternMichigan,H,Brown,V,5.5,127.5,5.5,129,-235,195,55,74,0
2008,2007-11-09,Tennessee,H,Temple,V,17.5,165,17.5,165,-2200,1315,80,63,1
2008,2007-11-09,Creighton,H,Depaul,V,4,124,3,124,-155,135,74,62,1
2008,2007-11-09,Alabama,H,Troy,V,18.5,153.5,17,153.5,-2000,1250,84,72,1
2008,2007-11-09,Kansas,H,ULMonroe,V,27,146.5,27,146.5,NL,NL,107,78,1
2008,2007-11-09,Colorado,H,NewMexico,V,158,2,158,1,100,-120,47,54,0
2008,2007-11-09,Tulane,H,Auburn,V,pk,148.5,2.5,148.5,-145,125,77,62,1
2008,2007-11-09,CalIrvine,H,LoyolaMarymount,V,9.5,131,9.5,130,-500,400,74,61,1
