Season,Date,Team1,Team2,Team1 Location,Team2 Location,Team1 Score,Team2 Score,Open1,Open2,Close1,Close2,MoneyLine1,MoneyLine2,Result of Home Team
2009,2008-11-10,HoustonU,GeorgiaSouthern,N,N,63,65,7,152.5,7.5,157,-350,290,N/A
2009,2008-11-10,Duke,Presbyterian,H,V,80,49,36,137.5,35,139.5,-20000,7500,1
2009,2008-11-11,Northeastern,IUPUI,N,N,73,60,6,127.5,7,127.5,-310,255,N/A
2009,2008-11-11,Michigan,MichiganTech,H,V,77,55,22,NL,21.5,NL,-2500,1400,1
2009,2008-11-11,HoustonU,Presbyterian,N,N,76,57,13.5,137,13,135,-1100,775,N/A
2009,2008-11-11,Duke,GeorgiaSouthern,H,V,97,54,23.5,150,27.5,146.5,-8500,3500,1
2009,2008-11-11,Massachusetts,ArkMonticello,N,N,90,71,NL,NL,NL,NL,NL,NL,N/A
2009,2008-11-11,SoIllinois,"California,PA",H,V,66,52,NL,NL,NL,NL,NL,NL,1
2009,2008-11-12,IUPUI,MichiganTech,N,N,65,51,9,128,9.5,128,-475,380,N/A
2009,2008-11-12,Michigan,Northeastern,H,V,76,56,6,125.5,6.5,127.5,-260,220,1
2009,2008-11-12,SoIllinois,Massachusetts,H,V,80,73,4,136,5,137.5,-215,178,1
2009,2008-11-12,MiamiOhio,WeberState,N,N,70,66,12.5,125,11,119.5,-650,475,N/A
2009,2008-11-12,UCLA,PrairieViewA&M,H,V,82,58,34.5,132,37,131,NL,NL,1
2009,2008-11-13,WeberState,PrairieViewA&M,N,N,78,68,10.5,136,11.5,135,-800,600,N/A
2009,2008-11-13,UCLA,MiamiOhio,H,V,64,59,15,124,16.5,124.5,-1200,775,1
2009,2008-11-14,Florida,Toledo,H,V,80,58,22.5,134,21,133.5,-1800,1240,1
2009,2008-11-14,PennState,William&Mary,H,V,65,51,10.5,120.5,10,125,-550,425,1
2009,2008-11-14,SouthFlorida,SMU,H,V,60,46,12,132.5,10.5,131.5,-600,450,1
2009,2008-11-14,Purdue,DetroitU,H,V,82,50,23,121,22,124.5,-2600,1640,1
2009,2008-11-14,RhodeIsland,Brown,H,V,76,74,12,143.5,14,145,-850,625,1
2009,2008-11-14,Fordham,Columbia,H,V,62,65,10,125.5,7.5,128,-360,300,0
2009,2008-11-14,Princeton,CentralMichigan,H,V,53,55,126,3.5,124,2,115,-135,0
2009,2008-11-14,Yale,Stanford,H,V,67,75,133,12.5,138.5,11,500,-700,0
2009,2008-11-14,Auburn,MissouriSt,H,V,75,60,8,140.5,8,140,-340,280,1
2009,2008-11-14,Mississippi,ArkansasState,H,V,65,52,20,151,21,150,-3000,1900,1
2009,2008-11-14,Bradley,IllinoisChicago,H,V,67,61,5.5,141,4.5,141,-200,170,1
2009,2008-11-14,BYU,LongBeachState,H,V,75,65,19,137,19.5,139,-2600,1640,1
2009,2008-11-14,CalPolySLO,ArkansasLR,H,V,40,67,124,3.5,124,3,130,-150,0
2009,2008-11-14,Hawaii,SanFrancisco,H,V,70,75,3.5,142,4.5,139,-190,165,0
2009,2008-11-14,WesternMichigan,TCU,N,N,63,67,8,131.5,7.5,135.5,-330,270,N/A
2009,2008-11-14,Temple,ETennesseeSt,N,N,79,65,13,154.5,11,156.5,-750,550,N/A
2009,2008-11-14,CollCharleston,SIUEdwardsville,H,V,72,66,NL,NL,NL,NL,NL,NL,1
2009,2008-11-14,Clemson,Hofstra,N,N,98,69,18,142,17.5,147,-1800,1240,N/A
2009,2008-11-14,BowlingGreen,GeorgiaState,N,N,77,76,122.5,2,132.5,2,110,-130,N/A
2009,2008-11-14,MinnesotaU,ConcordiaSt.Paul,H,V,76,51,NL,NL,NL,NL,NL,NL,1
2009,2008-11-14,WiscMilwaukee,LoyolaMarymount,N,N,75,51,11,135.5,12,132.5,-800,600,N/A
2009,2008-11-14,IowaState,UCDavis,H,V,61,58,11.5,129,13.5,129,-725,525,1
2009,2008-11-14,NCWilmington,AppalachianSt,H,V,108,101,pk,142,152.5,2,115,-135,1
2009,2008-11-14,FloridaIntl,EasternKentucky,H,V,57,54,6,125,6,124,-260,220,1
2009,2008-11-14,St.Josephs,Rider,H,V,69,57,11,145.5,12,145.5,-750,550,1
2009,2008-11-14,SouthCarolina,JacksonvilleSt,H,V,89,76,22,150,23,150,NL,NL,1
2009,2008-11-14,Rutgers,Marist,H,V,63,61,9.5,132,11.5,135,-700,500,1
2009,2008-11-14,Connecticut,WesternCarolina,H,V,81,55,26,136.5,24.5,140,NL,NL,1
2009,2008-11-14,NCCharlotte,NCGreensboro,H,V,77,59,15,136,15,135,-1500,1040,1
2009,2008-11-14,ULMonroe,MoreheadState,H,V,56,54,3.5,135,4,134,-175,155,1
2009,2008-11-14,NewMexico,SEMissouriSt,H,V,102,59,24.5,149,27,146.5,NL,NL,1
2009,2008-11-14,ColoradoState,Montana,H,V,85,55,4,137,3.5,138.5,-165,145,1
2009,2008-11-14,Illinois,E.Washington,H,V,66,50,19.5,121,21.5,121,-3000,1900,1
2009,2008-11-14,FresnoState,SacramentoState,H,V,77,65,13.5,141.5,12,135.5,-800,600,1
2009,2008-11-14,Oregon,NorthernColorado,H,V,66,64,17,147,17.5,148.5,-1800,1240,1
2009,2008-11-15,NorthernIowa,DenverU,H,V,61,56,14.5,115.5,15.5,111,-1800,1240,1
2009,2008-11-15,NorthCarolina,Pennsylvania,H,V,86,71,30.5,155.5,32.5,154,NL,NL,1
2009,2008-11-15,UNLV,SanDiego,H,V,65,60,11,129,12,127,-800,600,1
2009,2008-11-15,WrightState,IllinoisState,H,V,61,69,4,115,3.5,114.5,-165,145,0
2009,2008-11-15,YoungstownState,Buffalo,H,V,62,70,143.5,1,143,2.5,115,-135,0
2009,2008-11-15,Providence,Northeastern,H,V,66,70,11.5,133,10,136,-550,425,0
2009,2008-11-15,NewOrleansU,NCState,H,V,59,65,145,8,143,8.5,310,-380,0
2009,2008-11-15,Troy,UAB,H,V,66,87,154.5,14,157.5,14,840,-1100,0
2009,2008-11-15,HoustonU,WesternKentucky,H,V,73,64,7,152.5,8.5,149,-380,310,1
2009,2008-11-15,Drake,Butler,H,V,48,58,6.5,130,6.5,127,-320,260,0
2009,2008-11-15,ULLafayette,LouisianaTech,H,V,59,61,9,127,9.5,124,-550,425,0
2009,2008-11-15,NewMexicoState,CalRiverside,H,V,79,52,12,140,13.5,140,-800,600,1
2009,2008-11-15,USC,CalIrvine,H,V,78,55,19,133,18,132,-2200,1440,1
2009,2008-11-15,California,Pacific,H,V,68,56,11,148,10.5,142,-640,470,1
2009,2008-11-15,PortlandU,WashingtonU,H,V,80,74,130,10.5,139,11.5,500,-700,1
2009,2008-11-15,ETennesseeSt,SIUEdwardsville,N,N,65,62,NL,NL,NL,NL,NL,NL,N/A
2009,2008-11-15,CollCharleston,Temple,H,V,65,70,143,2,144,2.5,120,-140,0
2009,2008-11-15,WesternMichigan,Hofstra,N,N,68,71,7,132.5,7,135,-280,240,N/A
2009,2008-11-15,Clemson,TCU,N,N,70,58,17,140,17,139,-1800,1240,N/A
2009,2008-11-15,GeorgiaState,ConcordiaSt.Paul,N,N,67,63,NL,NL,NL,NL,NL,NL,N/A
2009,2008-11-15,MinnesotaU,BowlingGreen,H,V,68,61,16,133,15,132,-1300,940,1
2009,2008-11-15,WiscMilwaukee,UCDavis,N,N,81,75,9,135.5,6,135.5,-260,220,N/A
2009,2008-11-15,IowaState,LoyolaMarymount,H,V,67,55,14,131,17.5,127,-1800,1240,1
2009,2008-11-15,BallState,EasternIllinois,H,V,72,59,9.5,122,9.5,119.5,-500,400,1
2009,2008-11-15,Rice,PortlandState,H,V,74,78,135,5,135,3,140,-160,0
2009,2008-11-15,WestVirginia,Elon,H,V,92,47,18,130.5,18,129.5,-2169,1609,1
2009,2008-11-15,Akron,Canisius,H,V,56,46,14.5,135,13,131,-800,620,1
2009,2008-11-15,MemphisU,Fairfield,H,V,90,63,19.5,140.5,21,138,-2200,1440,1
2009,2008-11-15,Evansville,AustinPeay,H,V,70,62,4.5,129,6.5,129,-270,230,1
2009,2008-11-15,Tennessee,TennesseeChat,H,V,114,75,18,148.5,16.5,151,-1707,1247,1
2009,2008-11-15,MontanaState,Nevada,H,V,63,72,149,8,146,8,290,-350,0
2009,2008-11-16,Florida,Bradley,H,V,81,58,15.5,150,17,150,-1800,1150,1
