date,season,team1,team2,score1,score2,open1,open2,close1,close2,moneyline1,moneyline2,2H1,2H2
2020-11-09,2020,california,ucsandiego,67,80,15.0,141.5,14.5,140.0,-1100.0,700.0,7.5,74.0
2020-11-09,2020,arkansaslr,soillinois,69,66,139.0,7.0,137.5,6.5,235.0,-275.0,73.5,3.0
2020-11-09,2020,ohiostate,akron,67,66,16.5,146.5,16.5,140.5,-1300.0,775.0,7.5,73.0
2020-11-09,2020,vacommonwealth,st.peter's,57,54,9.5,133.5,9.0,129.0,-420.0,350.0,3.5,70.0
2020-11-09,2020,indianau,easternmichigan,68,62,22.0,139.0,24.5,144.5,-3000.0,1200.0,10.0,75.5
2020-11-09,2020,butler,iupui,56,47,26.5,142.5,25.0,141.0,-3000.0,1200.0,11.5,72.0
2020-11-09,2020,pittsburgh,thecitadel,63,78,9.0,155.0,10.5,154.5,-490.0,395.0,8.0,80.0
2020-11-09,2020,iona,appalachianst,65,53,5.5,138.0,6.5,136.5,-265.0,225.0,5.0,71.0
2020-11-09,2020,dayton,illinoischicago,64,54,15.0,139.5,14.0,135.5,-1000.0,650.0,10.5,70.5
2020-11-09,2020,georgia,floridaintl,58,51,12.0,154.0,7.0,152.0,-370.0,310.0,6.0,76.0
2020-11-09,2020,ohio,belmont,92,80,156.5,1.0,156.0,4.0,150.0,-170.0,83.0,3.0
2020-11-09,2020,charlotteu,monmouth,68,66,5.0,139.5,5.5,135.5,-200.0,175.0,0.5,70.5
2020-11-09,2020,michiganstate,kansas,74,87,145.5,4.5,141.0,4.5,175.0,-200.0,75.5,0.5
2020-11-09,2020,valparaiso,toledo,61,69,146.5,4.0,143.0,5.0,175.0,-200.0,76.0,2.5
2020-11-09,2020,arizonastate,portlandu,76,60,25.0,155.5,22.5,157.0,-1800.0,950.0,10.5,79.5
2020-11-09,2020,westvirginia,oakland,60,53,16.5,151.5,17.5,151.0,-1600.0,900.0,8.5,79.0
2020-11-09,2020,tennessee,tennmartin,90,62,35.0,147.0,35.0,148.0,-7500.0,2500.0,15.5,78.0
2020-11-09,2020,duquesne,rider,73,61,7.5,146.5,7.5,149.5,-320.0,265.0,5.5,77.0
2020-11-09,2020,cincinnati,evansville,65,43,8.0,135.5,11.5,135.0,-550.0,425.0,4.5,71.5
2020-11-09,2020,providence,fairfield,80,73,14.0,134.0,15.5,132.5,-1200.0,750.0,7.0,73.0
2020-11-09,2020,st.bonaventure,siena,75,47,20.5,137.0,19.0,133.5,-2000.0,1000.0,10.0,71.0
2020-11-09,2020,maryland,quinnipiac,83,69,22.0,142.0,23.0,141.5,-3000.0,1200.0,9.5,75.0
2020-11-09,2020,davidson,delaware,93,71,7.0,138.0,7.0,137.0,-280.0,240.0,74.5,0.5
2020-11-09,2020,georgiasouthern,ballstate,82,71,3.0,141.0,2.5,137.0,-145.0,125.0,1.5,76.0
2020-11-09,2020,georgiatech,miamiohio,69,72,10.5,144.5,9.5,140.5,-450.0,375.0,6.0,76.0
2020-11-09,2020,westerncarolina,bowlinggreen,79,71,151.0,9.0,154.5,9.0,330.0,-400.0,80.5,6.5
2020-11-09,2020,miamiflorida,canisius,77,67,15.0,147.5,15.5,151.0,-1400.0,800.0,7.5,79.5
2020-11-09,2020,xavier,niagara,63,60,21.0,142.5,17.0,139.5,-1500.0,850.0,7.5,72.0
2020-11-09,2020,fordham,columbia,77,67,11.0,135.0,9.5,137.0,-500.0,400.0,1.5,73.0
2020-11-09,2020,northwestern,easternillinois,80,56,25.0,142.0,23.0,138.5,-2500.0,1100.0,9.5,73.0
2020-11-09,2020,houstonu,hofstra,83,75,19.0,143.0,19.0,141.5,-2000.0,1000.0,12.0,75.0
2020-11-09,2020,florida,elon,74,61,19.5,142.0,18.5,137.5,-1800.0,950.0,6.5,73.5
2020-11-09,2020,illinoisstate,ncwilmington,68,63,7.0,149.0,5.0,147.5,-200.0,175.0,4.5,75.0
2020-11-09,2020,memphisu,tennesseetech,89,65,28.0,149.0,28.5,150.0,-5000.0,1500.0,13.0,80.5
2020-11-09,2020,missouri,centralmichigan,78,68,18.0,148.0,16.0,138.5,-1200.0,750.0,5.5,73.5
2020-11-09,2020,oklahomastate,utarlington,88,45,21.5,144.0,18.0,148.5,-1600.0,900.0,5.5,76.5
2020-11-09,2020,arkansas,mercer,74,61,19.5,151.5,19.0,150.5,-2000.0,1000.0,12.0,78.5
2020-11-09,2020,wichitastate,jacksonvillest,60,57,9.5,143.5,8.5,141.0,-350.0,290.0,6.5,71.5
