,Date,Rank,Team,TeamID,StandardID,Points
0,1936-10-19,1,Minnesota ,1,135,345.0
1,1936-10-19,2,Duke ,2,150,187.0
2,1936-10-19,3,Army ,3,349,178.0
3,1936-10-19,4,Northwestern,4,77,145.0
4,1936-10-19,5,Purdue,5,2509,120.0
5,1936-10-19,6,USC ,6,30,114.0
6,1936-10-19,7,Notre Dame,7,87,98.0
7,1936-10-19,8,Washington,8,264,90.0
8,1936-10-19,9,Pittsburgh,9,221,76.0
9,1936-10-19,10,Yale,10,43,61.0
10,1936-10-19,11,Duquesne,11,2184,55.0
11,1936-10-19,12,St. Mary's,12,,52.0
12,1936-10-19,13,LSU,13,99,43.0
13,1936-10-19,14,Texas A&M,14,245,42.0
14,1936-10-19,15,Nebraska,15,158,36.0
15,1936-10-19,16,Fordham,16,2230,34.0
16,1936-10-19,17,Holy Cross,17,107,29.0
17,1936-10-19,18,Tulane,18,2655,27.0
18,1936-10-19,19,SMU,19,2567,26.0
19,1936-10-19,20,Marquette,20,,21.0
20,1936-10-26,1,Minnesota ,1,135,440.0
21,1936-10-26,2,Pittsburgh,9,221,296.0
22,1936-10-26,3,Northwestern,4,77,258.0
23,1936-10-26,4,Washington,8,264,236.0
24,1936-10-26,5,Fordham,16,2230,201.0
25,1936-10-26,6,Army,3,349,152.0
26,1936-10-26,7,USC,6,30,149.0
27,1936-10-26,8,LSU,13,99,106.0
28,1936-10-26,9,Tulane,18,2655,103.0
29,1936-10-26,10,Marquette,20,,92.0
30,1936-10-26,11,Nebraska,15,158,82.0
31,1936-10-26,12,Yale,10,43,54.0
32,1936-10-26,13,Duke,2,150,43.0
33,1936-10-26,13,Holy Cross,17,107,43.0
34,1936-10-26,15,SMU,19,2567,34.0
35,1936-10-26,16,Auburn,21,2,30.0
36,1936-10-26,17,Purdue,5,2509,15.0
37,1936-10-26,17,Princeton,22,163,15.0
38,1936-10-26,19,Santa Clara,23,,14.0
39,1936-10-26,20,St. Mary's,12,,11.0
40,1936-10-26,20,Penn,24,219,11.0
41,1936-10-26,NR,Notre Dame,7,87,0.0
42,1936-10-26,NR,Duquesne,11,2184,0.0
43,1936-10-26,NR,Texas A&M,14,245,0.0
44,1936-11-02,1,Northwestern ,4,77,412.0
45,1936-11-02,2,Minnesota ,1,135,371.0
46,1936-11-02,3,Fordham ,16,2230,227.0
47,1936-11-02,4,Marquette,20,,212.0
48,1936-11-02,5,Pittsburgh,9,221,191.0
49,1936-11-02,6,Washington,8,264,181.0
50,1936-11-02,7,LSU,13,99,168.0
51,1936-11-02,8,Nebraska,15,158,165.0
52,1936-11-02,9,Santa Clara,23,,145.0
53,1936-11-02,10,Tulane,18,2655,93.0
54,1936-11-02,11,USC,6,30,76.0
55,1936-11-02,12,SMU,19,2567,40.0
56,1936-11-02,13,Notre Dame,7,87,17.0
57,1936-11-02,14,Alabama,25,333,16.0
58,1936-11-02,15,Duke,2,150,10.0
59,1936-11-02,15,Penn,24,219,10.0
60,1936-11-02,17,Washington State,26,265,8.0
61,1936-11-02,18,Dartmouth,27,159,4.0
62,1936-11-02,18,Tennessee,28,2633,4.0
63,1936-11-02,20,Auburn,21,2,3.0
64,1936-11-02,NR,Army,3,349,0.0
65,1936-11-02,NR,Yale,10,43,0.0
66,1936-11-02,NR,Holy Cross,17,107,0.0
67,1936-11-02,NR,Princeton,22,163,0.0
68,1936-11-02,NR,Purdue,5,2509,0.0
69,1936-11-09,1,Northwestern ,4,77,435.0
70,1936-11-09,2,Minnesota ,1,135,419.0
71,1936-11-09,3,Fordham ,16,2230,348.0
72,1936-11-09,4,Alabama ,25,333,252.0
73,1936-11-09,5,Pittsburgh,9,221,203.0
74,1936-11-09,6,Nebraska,15,158,201.0
75,1936-11-09,7,LSU,13,99,184.0
76,1936-11-09,8,Marquette,20,,145.0
77,1936-11-09,9,Santa Clara,23,,118.0
78,1936-11-09,10,Washington,8,264,117.0
79,1936-11-09,11,Penn,24,219,38.0
80,1936-11-09,12,Dartmouth,27,159,24.0
81,1936-11-09,13,Duke,2,150,13.0
82,1936-11-09,14,Washington State,26,265,10.0
83,1936-11-09,15,USC,6,30,9.0
84,1936-11-09,15,Texas A&M,14,245,9.0
85,1936-11-09,17,Holy Cross,17,107,8.0
