Season,Date,Team1,Team1 Location,Team2,Team2 Location,Team1 Score,Team2 Score,Result of Home Team
2020,2019-11-05,Duquesne,H,Princeton,V,94,67,1
2020,2019-11-05,MiamiFlorida,H,Louisville,V,74,87,0
2020,2019-11-05,Alabama,H,Pennsylvania,V,80,81,0
2020,2019-11-05,Michigan,H,AppalachianSt,V,79,71,1
2020,2019-11-05,Clemson,H,VirginiaTech,V,60,67,0
2020,2019-11-05,EastCarolina,H,VMI,V,80,68,1
2020,2019-11-05,Georgia,H,WesternCarolina,V,91,72,1
2020,2019-11-05,IndianaU,H,WesternIllinois,V,98,65,1
2020,2019-11-05,St.Josephs,H,Bradley,V,86,81,1
2020,2019-11-05,Temple,H,Drexel,V,70,62,1
2020,2019-11-05,Towson,H,GeoWashington,V,72,58,1
2020,2019-11-05,EasternKentucky,H,Chattanooga,V,79,68,1
2020,2019-11-05,MoreheadState,H,Samford,V,90,86,1
2020,2019-11-05,St.Bonaventure,H,Ohio,V,53,65,0
2020,2019-11-05,LoyolaChicago,H,UCDavis,V,82,48,1
2020,2019-11-05,SouthDakotaState,H,UTRioGrandeValley,V,70,57,1
2020,2019-11-05,Arkansas,H,Rice,V,91,43,1
2020,2019-11-05,Minnesota,H,ClevelandState,V,85,50,1
2020,2019-11-05,MississippiSt,H,FloridaIntl,V,77,69,1
2020,2019-11-05,MissouriSt,H,ArkansasLR,V,66,67,0
2020,2019-11-05,NorthernIowa,H,OldDominion,V,58,53,1
2020,2019-11-05,Oklahoma,H,TexSanAntonio,V,85,67,1
2020,2019-11-05,SMU,H,JacksonvilleSt,V,74,65,1
2020,2019-11-05,KansasState,H,NorthDakotaState,V,67,54,1
2020,2019-11-05,Texas,H,No.Colorado,V,69,45,1
2020,2019-11-05,TexasTech,H,EasternIllinois,V,85,60,1
2020,2019-11-05,Valparaiso,H,Toledo,V,79,77,1
2020,2019-11-05,WesternKentucky,H,TennesseeTech,V,76,64,1
2020,2019-11-05,WichitaState,H,NebraskaOmaha,V,68,54,1
2020,2019-11-05,NCState,H,GeorgiaTech,V,81,82,0
2020,2019-11-05,BYU,H,CSFullerton,V,76,58,1
2020,2019-11-05,Auburn,H,GeorgiaSouthern,V,83,74,1
2020,2019-11-05,Nebraska,H,CalRiverside,V,47,66,0
2020,2019-11-05,ColoradoState,H,DenverU,V,74,63,1
2020,2019-11-05,Oregon,H,FresnoState,V,71,57,1
2020,2019-11-05,Wisconsin,H,SaintMarysCA,V,63,65,0
2020,2019-11-05,Wyoming,H,IdahoState,V,54,40,1
2020,2019-11-05,California,H,Pepperdine,V,87,71,1
2020,2019-11-05,SanDiego,H,CalIrvine,V,73,76,0
2020,2019-11-05,UNLV,H,IPFW,V,86,71,1
2020,2019-11-05,UtahState,H,MontanaState,V,81,73,1
2020,2019-11-05,Nevada,H,UtahU,V,74,79,0
2020,2019-11-05,OregonState,H,CSNorthridge,V,87,67,1
2020,2019-11-05,Duke,N,Kansas,N,68,66,
2020,2019-11-05,Kentucky,N,MichiganState,N,69,62,
2020,2019-11-05,Baylor,H,CentralArkansas,V,105,61,1
2020,2019-11-05,Tulsa,H,HoustonBaptist,V,80,72,1
2020,2019-11-05,SetonHall,H,Wagner,V,105,71,1
2020,2019-11-05,Massachusetts,H,UMassLowell,V,79,64,1
2020,2019-11-05,NCGreensboro,H,N.CarolinaA&T,V,83,50,1
2020,2019-11-05,VaCommonwealth,H,St.FrancisPA,V,72,58,1
2020,2019-11-05,Lehigh,H,Monmouth,V,62,66,0
2020,2019-11-05,BostonU,H,Northeastern,V,67,72,0
2020,2019-11-05,HighPoint,H,William&Mary,V,56,70,0
2020,2019-11-05,CentralConn,H,Hartford,V,59,74,0
2020,2019-11-05,CoastalCarolina,H,Campbell,V,74,75,0
2020,2019-11-05,StonyBrook,H,Yale,V,69,74,0
2020,2019-11-05,Cornell,H,Binghamton,V,84,64,1
2020,2019-11-05,Fairfield,H,Bucknell,V,64,68,0
2020,2019-11-05,CoppinState,H,Rider,V,84,91,0
2020,2019-11-05,Bryant,H,Brown,V,71,73,0
2020,2019-11-05,CollCharleston,H,USCUpstate,V,74,55,1
2020,2019-11-05,GeorgeMason,H,Navy,V,68,55,1
2020,2019-11-05,Xavier,H,Jacksonville,V,76,57,1
2020,2019-11-05,Tennessee,H,NCAsheville,V,78,63,1
2020,2019-11-05,Florida,H,NorthFlorida,V,74,59,1
2020,2019-11-05,PennState,H,MDEasternShore,V,84,46,1
2020,2019-11-05,Providence,H,SacredHeart,V,106,60,1
2020,2019-11-05,RhodeIsland,H,LongIsland,V,76,65,1
2020,2019-11-05,GardnerWebb,H,Furman,V,63,70,0
2020,2019-11-05,Siena,H,American,V,96,80,1
2020,2019-11-05,Maryland,H,HolyCross,V,95,71,1
2020,2019-11-05,Gonzaga,H,AlabamaState,V,95,64,1
2020,2019-11-05,TennesseeState,H,AlabamaA&M,V,106,66,1
2020,2019-11-05,Lafayette,H,Columbia,V,65,63,1
2020,2019-11-05,Illinois,H,NichollsState,V,78,70,1
2020,2019-11-05,Marquette,H,LoyolaMaryland,V,88,53,1
2020,2019-11-05,SaintLouis,H,FlaGulfCoast,V,89,67,1
2020,2019-11-05,IowaState,H,MissValleySt,V,110,74,1
2020,2019-11-05,MemphisU,H,SoCarolinaSt,V,97,64,1
2020,2019-11-05,SouthFlorida,H,ArkPineBluff,V,70,41,1
2020,2019-11-05,Villanova,H,Army,V,97,54,1
2020,2019-11-05,Depaul,H,AlcornState,V,72,54,1
2020,2019-11-05,Creighton,H,KennesawSt,V,81,55,1
2020,2019-11-05,Fordham,H,St.FrancisNY,V,68,59,1
2020,2019-11-05,SanDiegoState,H,TexasSouthern,V,77,42,1
2020,2019-11-05,CaliforniaBaptist,H,JacksonState,V,93,70,1
2020,2019-11-05,USC,H,FloridaA&M,V,77,48,1
2020,2019-11-06,BostonCollege,H,WakeForest,V,77,70,1
2020,2019-11-06,St.Johns,H,Mercer,V,109,79,1
2020,2019-11-06,Butler,H,IUPUI,V,80,47,1
2020,2019-11-06,Purdue,H,WiscGreenBay,V,79,57,1
2020,2019-11-06,Hofstra,H,SanJoseState,V,71,79,0
2020,2019-11-06,NorthCarolina,H,NotreDame,V,76,65,1
2020,2019-11-06,JamesMadison,H,CharlotteU,V,79,74,1
2020,2019-11-06,Pittsburgh,H,FloridaState,V,63,61,1
2020,2019-11-06,OklahomaState,H,OralRoberts,V,80,75,1
2020,2019-11-06,Vanderbilt,H,SEMissouriSt,V,83,65,1
2020,2019-11-06,IllinoisState,H,Belmont,V,79,72,1
2020,2019-11-06,OhioState,H,Cincinnati,V,64,56,1
2020,2019-11-06,Syracuse,H,Virginia,V,34,48,0
2020,2019-11-06,Arizona,H,NorthernArizona,V,91,52,1
2020,2019-11-06,Stanford,H,Montana,V,73,62,1
2020,2019-11-06,UCLA,H,LongBeachState,V,69,65,1
2020,2019-11-06,WesternMichigan,H,McNeeseState,V,75,65,1
2020,2019-11-06,Maine,H,Merrimack,V,84,64,1
2020,2019-11-06,SouthCarolina,H,NorthAlabama,V,77,55,1
2020,2019-11-06,Colgate,H,NJIT,V,80,75,1
2020,2019-11-06,Georgetown,H,MountStMarys,V,81,68,1
2020,2019-11-06,TexasA&M,H,NorthwesternSt,V,77,63,1
2020,2019-11-06,TexasA&MCorpus,H,LouisianaTech,V,49,82,0
2020,2019-11-06,Tulane,H,SELouisiana,V,76,55,1
2020,2019-11-06,Missouri,H,IncarnateWord,V,82,42,1
2020,2019-11-06,CalSantaBarb,H,JacksonState,V,83,62,1
2020,2019-11-07,Troy,H,UAB,V,75,76,0
2020,2019-11-07,WashingtonState,H,SeattleU,V,85,54,1
2020,2019-11-07,AirForce,H,IdahoState,V,79,89,0
2020,2019-11-07,Marshall,H,RobertMorris,V,67,60,1
2020,2019-11-07,Rutgers,H,Bryant,V,73,71,1
2020,2019-11-07,Clemson,H,Presbyterian,V,79,45,1
2020,2019-11-07,Hartford,H,Winthrop,V,57,67,0
2020,2019-11-07,Drake,H,KennesawSt,V,86,55,1
2020,2019-11-08,MiamiFlorida,H,FlaAtlantic,V,74,60,1
2020,2019-11-08,Duke,H,ColoradoState,V,89,55,1
2020,2019-11-08,Buffalo,H,Dartmouth,V,63,68,0
2020,2019-11-08,Northeastern,H,Harvard,V,84,79,1
2020,2019-11-08,Drexel,H,Niagara,V,72,64,1
2020,2019-11-08,Mississippi,H,ArkansasState,V,71,43,1
2020,2019-11-08,NCWilmington,H,NorthCarolina,V,62,78,0
2020,2019-11-08,MemphisU,H,IllinoisChicago,V,92,46,1
2020,2019-11-08,VaCommonwealth,H,NorthTexas,V,59,56,1
2020,2019-11-08,Kentucky,H,EasternKentucky,V,91,49,1
2020,2019-11-08,WestVirginia,H,Akron,V,94,84,1
2020,2019-11-08,Xavier,H,Siena,V,81,63,1
2020,2019-11-08,Furman,H,LoyolaChicago,V,87,63,1
2020,2019-11-08,VMI,H,Marist,V,56,58,0
2020,2019-11-08,LSU,H,BowlingGreen,V,88,79,1
2020,2019-11-08,Missouri,H,NorthernKentucky,V,71,56,1
2020,2019-11-08,Wisconsin,H,EasternIllinois,V,65,52,1
2020,2019-11-08,GrandCanyon,H,Illinois,V,71,83,0
2020,2019-11-08,Iowa,H,SIUEdwardsville,V,87,60,1
2020,2019-11-08,Kansas,H,NCGreensboro,V,74,62,1
2020,2019-11-08,UtahState,H,WeberState,V,89,34,1
2020,2019-11-08,Pacific,H,SouthDakota,V,62,72,0
2020,2019-11-08,WashingtonU,H,Baylor,V,67,64,1
2020,2019-11-08,SantaClara,H,CalPolySLO,V,77,63,1
2020,2019-11-08,ArizonaState,H,Colorado,V,71,81,0
2020,2019-11-08,USC,H,PortlandU,V,76,65,1
2020,2019-11-08,Delaware,N,Oakland,N,56,53,
2020,2019-11-08,SoIllinois,N,TexSanAntonio,N,72,60,
2020,2019-11-08,Auburn,N,Davidson,N,76,66,
2020,2019-11-08,Navy,N,EastCarolina,N,62,57,
2020,2019-11-08,Liberty,H,Radford,V,66,60,1
2020,2019-11-08,American,H,William&Mary,V,70,79,0
2020,2019-11-08,St.Bonaventure,H,Vermont,V,59,61,0
2020,2019-11-08,LongIsland,H,UMassLowell,V,74,87,0
2020,2019-11-08,DelawareState,H,Rider,V,54,81,0
2020,2019-11-08,N.CarolinaA&T,H,CharlestonSou,V,63,49,1
2020,2019-11-08,Connecticut,H,SacredHeart,V,89,67,1
2020,2019-11-08,GeorgeMason,H,Longwood,V,76,65,1
2020,2019-11-08,VirginiaTech,H,CoppinState,V,74,42,1
2020,2019-11-08,Richmond,H,St.FrancisPA,V,100,98,1
2020,2019-11-08,MississippiSt,H,SamHoustonSt,V,67,58,1
2020,2019-11-08,Northwestern,H,Merrimack,V,61,71,0
2020,2019-11-08,Depaul,H,FairDickinson,V,70,59,1
