,,HomeRank,,,,,,,,,,,
,,"1,2","3,4","5,6","7,8","9,10","11,12","13,14","15,16","17,18","19,20","20,21","22,23"
AwayRank,"1,2",0.631578947,0.441176471,0.459459459,0.366666667,0.571428571,0.482758621,0.242424242,0.5,0.4,0.3125,0.461538462,0.294117647
,"3,4",0.69047619,0.517241379,0.612903226,0.71875,0.470588235,0.451612903,0.588235294,0.590909091,0.346153846,0.423076923,0.1,0.352941176
,"5,6",0.757575758,0.694444444,0.846153846,0.741935484,0.736842105,0.695652174,0.45,0.666666667,0.592592593,0.518518519,0.363636364,0.375
,"7,8",0.764705882,0.694444444,0.743589744,0.941176471,0.694444444,0.666666667,0.703703704,0.59375,0.5,0.611111111,0.666666667,0.705882353
,"9,10",0.864864865,0.818181818,0.763157895,0.7,0.727272727,0.590909091,0.677419355,0.615384615,0.666666667,0.513513514,0.666666667,0.8
,"11,12",0.777777778,0.709677419,0.695652174,0.8,0.518518519,0.636363636,0.583333333,0.409090909,0.633333333,0.5,0.5625,0.684210526
,"13,14",0.740740741,0.68,0.947368421,0.676470588,0.666666667,0.652173913,0.538461538,0.772727273,0.548387097,0.6875,0.636363636,0.4
,"15,16",0.62962963,0.75862069,0.923076923,0.793103448,0.65625,0.9,0.705882353,0.625,0.793103448,0.681818182,0.764705882,0.722222222
,"17,18",0.952380952,0.827586207,0.590909091,0.80952381,0.9,0.666666667,0.791666667,0.785714286,0.5,0.666666667,0.666666667,0.85
,"19,20",0.88,0.833333333,0.68,0.903225806,0.925925926,0.838709677,0.866666667,0.782608696,0.730769231,0.857142857,0.636363636,1
,"20,21",0.928571429,0.857142857,0.888888889,0.857142857,1,0.923076923,0.588235294,0.523809524,0.882352941,0.818181818,0.888888889,0.6875
,"22,23",1,0.636363636,0.5,0.941176471,0.846153846,0.727272727,0.7,0.777777778,0.666666667,0.666666667,0.583333333,0.75
,"24,25",0.857142857,1,0.875,0.8,0.733333333,0.846153846,0.666666667,1,0.583333333,0.5,1,0.875
