,RankDiff,games,wins,WinPct,P-Value
0,-24,5,2,0.4,0.5
1,-23,3,0,0.0,0.125
2,-22,15,6,0.4,0.30361938476562494
3,-21,9,1,0.1111111111111111,0.01953125
4,-20,24,11,0.4583333333333333,0.4194098711013794
5,-19,21,9,0.42857142857142855,0.33181190490722656
6,-18,25,6,0.24,0.007316648960113525
7,-17,50,17,0.34,0.016419568782134242
8,-16,42,23,0.5476190476190477,0.32198447818518616
9,-15,42,22,0.5238095238095238,0.43880716437615774
10,-14,51,30,0.5882352941176471,0.1312187678555219
11,-13,69,34,0.4927536231884058,0.4999999999999999
12,-12,66,39,0.5909090909090909,0.08764289722151763
13,-11,80,35,0.4375,0.15715328993196853
14,-10,72,46,0.6388888888888888,0.0122304536641622
15,-9,113,59,0.5221238938053098,0.3534411307459763
16,-8,117,65,0.5555555555555556,0.13359115249519782
17,-7,108,66,0.6111111111111112,0.013211760138573947
18,-6,124,78,0.6290322580645161,0.0025806124509940576
19,-5,123,80,0.6504065040650406,0.0005422142352479176
20,-4,139,83,0.5971223021582733,0.013536764546994928
21,-3,140,88,0.6285714285714286,0.0014793501165971668
22,-2,163,105,0.6441717791411042,0.00014407477092648335
23,-1,165,122,0.7393939393939394,2.963551626322669e-10
24,1,158,105,0.6645569620253164,2.1407039539234063e-05
25,2,158,117,0.740506329113924,5.802364144713579e-10
26,3,138,92,0.6666666666666666,5.587172794252471e-05
27,4,141,113,0.8014184397163121,1.3211653993039363e-13
28,5,128,98,0.765625,6.452935963352502e-10
29,6,142,97,0.6830985915492958,7.609704772093551e-06
30,7,124,96,0.7741935483870968,3.269539083916584e-10
31,8,92,68,0.7391304347826086,2.467675709549866e-06
32,9,109,95,0.8715596330275229,3.3306690738754696e-16
33,10,81,67,0.8271604938271605,9.445142445940746e-10
34,11,75,54,0.72,8.815461501510136e-05
35,12,69,54,0.782608695652174,1.3064240017568451e-06
36,13,58,46,0.7931034482758621,4.109831981624623e-06
37,14,55,41,0.7454545454545455,0.0001776405593156838
38,15,58,48,0.8275862068965517,2.2583095815598142e-07
39,16,38,34,0.8947368421052632,3.0192677513696253e-07
40,17,34,30,0.8823529411764706,3.08244489133358e-06
41,18,32,23,0.71875,0.010030803503468633
42,19,22,18,0.8181818181818182,0.002171754837036133
43,20,20,17,0.85,0.0012884140014648438
44,21,17,16,0.9411764705882353,0.0001373291015625
45,22,12,12,1.0,0.000244140625
46,23,8,7,0.875,0.03515625
47,24,4,4,1.0,0.0625
