,Year,Date,Home,HomeRank,Away,AwayRank,Result,HomePTS,AwayPTS,MOV
0,2015-16,2016-01-04,Kansas,1,Oklahoma,2,1,109,106,3
1,2007-08,2008-02-23,Memphis,1,Tennessee,2,0,62,66,-4
2,1989-90,1990-02-13,Kansas,1,Missouri,2,0,71,77,-6
3,1984-85,1985-02-27,St. John's (NY),1,Georgetown,2,0,69,85,-16
4,1984-85,1985-01-26,Georgetown,1,St. John's (NY),2,0,65,66,-1
5,1984-85,1984-12-15,Georgetown,1,DePaul,2,1,77,57,20
6,1981-82,1982-01-09,North Carolina,1,Virginia,2,1,65,60,5
7,1954-55,1954-12-21,Kentucky,1,Utah,2,1,70,65,5
8,2019-20,2020-02-22,Baylor,1,Kansas,3,0,61,64,-3
9,2001-02,2002-01-17,Duke,1,Maryland,3,1,99,78,21
10,1997-98,1998-02-28,Duke,1,North Carolina,3,1,77,75,2
11,1995-96,1996-01-04,Massachusetts,1,Memphis,3,1,64,61,3
12,1986-87,1987-01-22,Iowa,1,Indiana,3,1,101,88,13
13,1985-86,1986-03-02,Duke,1,North Carolina,3,1,82,74,8
14,1985-86,1986-01-18,North Carolina,1,Duke,3,1,95,92,3
15,1982-83,1983-02-10,North Carolina,1,Virginia,3,1,64,63,1
16,1980-81,1980-12-27,DePaul,1,UCLA,3,1,93,77,16
17,1970-71,1971-03-12,UCLA,1,Southern California,3,1,73,62,11
18,1958-59,1959-01-14,NC State,1,North Carolina,3,0,68,72,-4
19,2023-24,2024-02-17,Connecticut,1,Marquette,4,1,81,53,28
20,2019-20,2019-12-03,Louisville,1,Michigan,4,1,58,43,15
21,2018-19,2019-01-19,Duke,1,Virginia,4,1,72,70,2
22,2008-09,2009-02-16,Connecticut,1,Pittsburgh,4,0,68,76,-8
23,1992-93,1993-02-14,Indiana,1,Michigan,4,1,93,92,1
24,1985-86,1986-01-25,North Carolina,1,Georgia Tech,4,1,85,77,8
25,1978-79,1979-02-11,Notre Dame,1,UCLA,4,0,52,56,-4
26,1973-74,1974-02-26,NC State,1,North Carolina,4,1,83,72,11
27,1973-74,1973-12-01,UCLA,1,Maryland,4,1,65,64,1
28,1954-55,1954-12-22,Kentucky,1,La Salle,4,1,63,54,9
29,2021-22,2021-11-13,Gonzaga,1,Texas,5,1,86,74,12
30,2011-12,2011-12-03,Kentucky,1,North Carolina,5,1,73,72,1
31,1999-00,2000-01-08,Stanford,1,Arizona,5,0,65,68,-3
32,1980-81,1981-03-07,Oregon State,1,Arizona State,5,0,67,87,-20
33,1959-60,1959-12-22,Cincinnati,1,Bradley,5,1,86,71,15
34,2014-15,2014-12-05,Kentucky,1,Texas,6,1,63,51,12
35,2012-13,2013-01-19,Louisville,1,Syracuse,6,0,68,70,-2
36,2010-11,2010-12-01,Duke,1,Michigan State,6,1,84,79,5
37,2003-04,2004-01-11,Connecticut,1,Oklahoma,6,1,86,59,27
38,1992-93,1993-03-07,North Carolina,1,Duke,6,1,83,69,14
39,1980-81,1981-01-28,Virginia,1,Wake Forest,6,1,83,73,10
40,1971-72,1971-12-30,UCLA,1,Ohio State,6,1,79,53,26
41,1964-65,1965-03-06,Michigan,1,Minnesota,6,1,91,78,13
42,1958-59,1959-02-18,North Carolina,1,NC State,6,1,74,67,7
43,1953-54,1953-12-28,Kentucky,1,Minnesota,6,1,74,59,15
44,2001-02,2002-01-27,Duke,1,Virginia,7,1,94,81,13
45,1994-95,1995-01-07,North Carolina,1,Maryland,7,1,100,90,10
46,1966-67,1966-12-10,UCLA,1,Duke,7,1,107,87,20
47,1966-67,1966-12-09,UCLA,1,Duke,7,1,88,54,34
48,2022-23,2022-12-10,Houston,1,Alabama,8,0,65,71,-6
49,2018-19,2019-02-20,Duke,1,North Carolina,8,0,72,88,-16
50,2011-12,2012-02-07,Kentucky,1,Florida,8,1,78,58,20
51,2002-03,2002-12-15,Arizona,1,Texas,8,1,73,70,3
52,2000-01,2001-03-08,Stanford,1,Arizona,8,0,75,76,-1
53,1996-97,1997-01-13,Kansas,1,Iowa State,8,1,80,67,13
54,1975-76,1975-12-11,Indiana,1,Notre Dame,8,1,63,60,3
55,1974-75,1975-01-04,NC State,1,North Carolina,8,1,82,67,15
56,1962-63,1963-01-05,Cincinnati,1,Wichita State,8,1,63,50,13
57,1960-61,1960-12-22,Ohio State,1,Detroit Mercy,8,1,84,73,11
58,1953-54,1953-12-07,Indiana,1,Kansas State,8,1,92,66,26
59,1950-51,1951-01-17,Oklahoma State,1,Saint Louis,8,1,55,44,11
60,2023-24,2024-01-05,Purdue,1,Illinois,9,1,83,78,5
61,2005-06,2006-01-31,Connecticut,1,Pittsburgh,9,1,80,76,4
62,1998-99,1998-12-05,Connecticut,1,Michigan State,9,1,82,68,14
63,1987-88,1987-12-30,Arizona,1,Duke,9,1,91,85,6
64,1986-87,1986-12-29,Nevada-Las Vegas,1,Navy,9,1,104,79,25
65,1981-82,1981-12-03,North Carolina,1,Tulsa,9,1,78,70,8
66,1972-73,1973-01-20,UCLA,1,Providence,9,1,101,77,24
67,2017-18,2018-01-10,Villanova,1,Xavier,10,1,89,65,24
68,2010-11,2011-03-06,Ohio State,1,Wisconsin,10,1,93,65,28
69,1983-84,1984-01-29,North Carolina,1,Louisiana State,10,1,90,79,11
70,1980-81,1981-01-29,Oregon State,1,UCLA,10,1,81,67,14
71,1972-73,1973-01-19,UCLA,1,San Francisco,10,1,92,64,28
72,1968-69,1968-11-30,UCLA,1,Purdue,10,1,94,82,12
73,1967-68,1967-12-22,UCLA,1,Bradley,10,1,109,73,36
74,1960-61,1961-01-28,Ohio State,1,Purdue,10,1,92,62,30
75,1957-58,1958-03-08,Kansas State,1,Kansas,10,0,44,61,-17
76,2016-17,2016-12-03,Kentucky,1,UCLA,11,0,92,97,-5
77,1992-93,1993-01-04,Duke,1,Oklahoma,11,1,88,84,4
78,1973-74,1974-02-02,UCLA,1,Southern California,11,1,65,54,11
79,1959-60,1960-01-13,Cincinnati,1,Saint Louis,11,1,79,57,22
80,1956-57,1957-02-13,North Carolina,1,Wake Forest,11,1,72,69,3
81,2016-17,2017-01-29,Villanova,1,Virginia,12,1,61,59,2
82,2010-11,2011-01-25,Ohio State,1,Purdue,12,1,87,64,23
83,1990-91,1991-02-16,Nevada-Las Vegas,1,New Mexico State,12,1,86,74,12
84,1982-83,1983-02-13,North Carolina,1,Villanova,12,0,53,56,-3
85,1978-79,1978-12-13,Duke,1,Southern California,12,1,79,65,14
86,2005-06,2006-03-04,Duke,1,North Carolina,13,0,76,83,-7
87,2000-01,2001-02-10,North Carolina,1,Maryland,13,1,96,82,14
88,1988-89,1989-01-18,Duke,1,North Carolina,13,0,71,91,-20
89,1987-88,1988-01-30,Arizona,1,Illinois,13,1,78,70,8
90,2023-24,2024-03-09,Houston,1,Kansas,14,1,76,46,30
91,2019-20,2020-02-15,Baylor,1,West Virginia,14,1,70,59,11
92,2012-13,2012-11-27,Indiana,1,North Carolina,14,1,83,59,24
93,2006-07,2006-12-31,UCLA,1,Washington,14,1,96,74,22
94,2005-06,2006-01-18,Duke,1,NC State,14,1,81,68,13
95,2001-02,2002-01-19,Duke,1,Wake Forest,14,1,103,80,23
96,1994-95,1995-02-25,Kansas,1,Missouri,14,1,88,69,19
97,1992-93,1993-03-03,North Carolina,1,Wake Forest,14,1,83,65,18
98,1992-93,1993-02-21,Indiana,1,Purdue,14,1,93,78,15
99,1991-92,1992-01-11,Duke,1,Georgia Tech,14,1,97,84,13
100,1979-80,1980-01-20,DePaul,1,Louisiana State,14,1,78,73,5
101,1999-00,2000-02-20,Cincinnati,1,Temple,15,0,69,77,-8
102,1996-97,1997-02-15,Kansas,1,Colorado,15,1,114,74,40
103,1994-95,1995-02-18,Connecticut,1,Villanova,15,0,73,96,-23
104,1983-84,1984-03-03,North Carolina,1,Duke,15,1,96,83,13
105,1979-80,1980-01-12,Duke,1,North Carolina,15,0,67,82,-15
106,1949-50,1950-02-20,Bradley,1,Saint Louis,15,1,52,45,7
107,1998-99,1999-02-01,Connecticut,1,Syracuse,16,0,42,59,-17
108,1991-92,1992-03-08,Duke,1,North Carolina,16,1,89,77,12
109,1989-90,1989-12-02,Syracuse,1,Temple,16,1,73,56,17
110,1988-89,1989-01-28,Illinois,1,Indiana,16,1,75,65,10
111,1985-86,1986-01-26,North Carolina,1,Notre Dame,16,1,73,61,12
112,1979-80,1979-12-11,Indiana,1,Georgetown,16,1,76,69,7
113,1974-75,1975-01-13,Indiana,1,Minnesota,16,1,79,59,20
114,1953-54,1953-12-14,Indiana,1,Notre Dame,16,1,66,55,11
115,1951-52,1951-12-26,Kentucky,1,UCLA,16,1,84,53,31
116,2018-19,2018-12-15,Kansas,1,Villanova,17,1,74,71,3
117,2002-03,2003-01-12,Duke,1,Wake Forest,17,1,74,55,19
118,1983-84,1984-01-25,North Carolina,1,Wake Forest,17,1,100,63,37
119,2023-24,2024-01-17,Connecticut,1,Creighton,18,1,62,48,14
120,2014-15,2015-02-28,Kentucky,1,Arkansas,18,1,84,67,17
121,1991-92,1992-01-18,Duke,1,Charlotte,18,1,104,82,22
122,1981-82,1982-02-24,Virginia,1,Wake Forest,18,1,84,66,18
123,1971-72,1972-02-05,UCLA,1,Southern California,18,1,81,56,25
124,2021-22,2022-01-11,Baylor,1,Texas Tech,19,0,62,65,-3
125,2002-03,2003-01-04,Alabama,1,Xavier,19,1,65,58,7
126,2002-03,2002-11-23,Arizona,1,Western Kentucky,19,1,107,68,39
127,1993-94,1993-11-18,North Carolina,1,Cincinnati,19,1,90,63,27
128,1952-53,1953-02-16,Seton Hall,1,Villanova,19,1,83,68,15
129,2011-12,2012-01-07,Syracuse,1,Marquette,20,1,73,66,7
130,2004-05,2005-02-12,Illinois,1,Wisconsin,20,1,70,59,11
131,2002-03,2003-02-01,Arizona,1,California,20,1,95,80,15
132,1987-88,1988-02-10,Temple,1,Villanova,20,1,98,86,12
133,1984-85,1985-02-20,St. John's (NY),1,Boston College,20,1,71,69,2
134,1984-85,1984-12-08,Georgetown,1,Nevada-Las Vegas,20,1,82,46,36
135,1974-75,1975-01-25,Indiana,1,Purdue,20,1,104,71,33
136,1956-57,1957-03-08,North Carolina,1,Wake Forest,20,1,61,59,2
137,2015-16,2016-03-05,Kansas,1,Iowa State,21,1,85,78,7
138,2014-15,2014-12-13,Kentucky,1,North Carolina,21,1,84,70,14
139,2009-10,2010-01-30,Kentucky,1,Vanderbilt,21,1,85,72,13
140,2000-01,2001-02-01,Stanford,1,Southern California,21,1,77,71,6
141,1994-95,1995-01-14,Massachusetts,1,Pennsylvania,21,1,93,60,33
142,2002-03,2003-02-08,Florida,1,Alabama,22,1,75,56,19
143,1996-97,1997-01-06,Kansas,1,Texas,22,1,86,61,25
144,2023-24,2023-12-09,Arizona,1,Wisconsin,23,1,98,73,25
145,2008-09,2009-02-11,Connecticut,1,Syracuse,23,1,63,49,14
146,2005-06,2006-01-11,Duke,1,Maryland,23,1,76,52,24
147,2004-05,2005-01-20,Illinois,1,Iowa,23,1,73,68,5
148,1997-98,1998-01-29,Duke,1,Maryland,23,1,86,59,27
149,2010-11,2011-02-23,Duke,1,Temple,24,1,78,61,17
150,2006-07,2007-01-31,Florida,1,Vanderbilt,24,1,74,64,10
151,2001-02,2002-02-14,Duke,1,NC State,24,1,108,71,37
152,1997-98,1998-02-14,North Carolina,1,Maryland,24,1,85,67,18
153,1994-95,1994-12-08,North Carolina,1,Villanova,24,1,75,66,9
154,2013-14,2014-03-08,Florida,1,Kentucky,25,1,84,65,19
155,2006-07,2007-02-14,Florida,1,Alabama,25,1,76,67,9
156,1994-95,1995-03-11,UCLA,1,Oregon,25,1,94,78,16
157,1990-91,1990-12-19,Nevada-Las Vegas,1,Princeton,25,1,69,35,34
158,2006-07,2007-02-25,Ohio State,2,Wisconsin,1,1,49,48,1
159,1997-98,1998-02-05,North Carolina,2,Duke,1,1,97,73,24
