,Unnamed: 0,date,winner,loser,winnerRanking,loserRanking
21195,21195,"Oct 24, 1936",(16) Fordham,(12) Saint Mary's (CA),16,12
21206,21206,"Oct 24, 1936",(1) Minnesota,(5) Purdue,1,5
21220,21220,"Oct 24, 1936",(9) Pittsburgh,(7) Notre Dame,9,7
21247,21247,"Oct 30, 1936",(19) Santa Clara,(16) Auburn,19,16
21272,21272,"Oct 31, 1936",(10) Marquette,(20) Saint Mary's (CA),10,20
21281,21281,"Oct 31, 1936",(3) Northwestern,(1) Minnesota,3,1
21287,21287,"Oct 31, 1936",(2) Pittsburgh,(5) Fordham,2,5
21318,21318,"Nov 7, 1936",(14) Alabama,(10) Tulane,14,10
21425,21425,"Nov 14, 1936",(5) Pittsburgh,(6) Nebraska,5,6
21439,21439,"Nov 14, 1936",(10) Washington,(15) Southern California,10,15
21462,21462,"Nov 21, 1936",(20) Duquesne,(7) Marquette,20,7
21486,21486,"Nov 21, 1936",(11) Notre Dame,(1) Northwestern,11,1
21526,21526,"Nov 26, 1936",(6) Washington,(20) Washington State,6,20
21540,21540,"Nov 28, 1936",(2) Louisiana State,(19) Tulane,2,19
21558,21558,"Dec 5, 1936",(18) Texas Christian,(5) Santa Clara,18,5
21567,21567,"Jan 1, 1937",(3) Pittsburgh,(5) Washington,3,5
21568,21568,"Jan 1, 1937",(6) Santa Clara,(2) Louisiana State,6,2
21569,21569,"Jan 1, 1937",(16) Texas Christian,(20) Marquette,16,20
21880,21880,"Oct 23, 1937",(15) Baylor,(13) Texas A&M,15,13
21882,21882,"Oct 23, 1937",(1) California,(11) Southern California,1,11
21914,21914,"Oct 23, 1937",(12) Ohio State,(7) Northwestern,12,7
21916,21916,"Oct 23, 1937",(3) Pittsburgh,(16) Wisconsin,3,16
21930,21930,"Oct 23, 1937",(20) Vanderbilt,(6) Louisiana State,20,6
21938,21938,"Oct 23, 1937",(5) Yale,(19) Cornell,5,19
21960,21960,"Oct 30, 1937",(9) Dartmouth,(5) Yale,9,5
21963,21963,"Oct 30, 1937",(10) Fordham,(15) North Carolina,10,15
22000,22000,"Oct 30, 1937",(16) Villanova,(18) Detroit Mercy,16,18
22009,22009,"Nov 6, 1937",(2) Alabama,(19) Tulane,2,19
22049,22049,"Nov 6, 1937",(3) Pittsburgh,(12) Notre Dame,3,12
22100,22100,"Nov 13, 1937",(12) Louisiana State,(14) Auburn,12,14
22116,22116,"Nov 13, 1937",(1) Pittsburgh,(11) Nebraska,1,11
22144,22144,"Nov 20, 1937",(2) California,(13) Stanford,2,13
22188,22188,"Nov 25, 1937",(4) Alabama,(12) Vanderbilt,4,12
22228,22228,"Nov 27, 1937",(1) Pittsburgh,(18) Duke,1,18
22253,22253,"Jan 1, 1938",(2) California,(4) Alabama,2,4
22255,22255,"Jan 1, 1938",(9) Santa Clara,(8) Louisiana State,9,8
22581,22581,"Oct 22, 1938",(5) Notre Dame,(13) Carnegie Mellon,5,13
22646,22646,"Oct 29, 1938",(12) Northwestern,(2) Minnesota,12,2
22651,22651,"Oct 29, 1938",(1) Pittsburgh,(9) Fordham,1,9
22684,22684,"Nov 5, 1938",(19) Carnegie Mellon,(1) Pittsburgh,19,1
22722,22722,"Nov 5, 1938",(13) Southern California,(3) California,13,3
22759,22759,"Nov 12, 1938",(20) Cornell,(5) Dartmouth,20,5
22777,22777,"Nov 12, 1938",(17) Northwestern,(18) Michigan,17,18
22778,22778,"Nov 12, 1938",(2) Notre Dame,(12) Minnesota,2,12
22836,22836,"Nov 19, 1938",(1) Notre Dame,(16) Northwestern,1,16
22885,22885,"Nov 26, 1938",(3) Duke,(4) Pittsburgh,3,4
22909,22909,"Dec 3, 1938",(8) Southern California,(1) Notre Dame,8,1
22918,22918,"Jan 2, 1939",(7) Southern California,(3) Duke,7,3
22919,22919,"Jan 2, 1939",(2) Tennessee,(4) Oklahoma,2,4
22920,22920,"Jan 2, 1939",(1) Texas Christian,(6) Carnegie Mellon,1,6
23201,23201,"Oct 21, 1939",(16) Nebraska,(19) Baylor,16,19
23203,23203,"Oct 21, 1939",(14) North Carolina,(4) Tulane,14,4
23219,23219,"Oct 21, 1939",(5) Tennessee,(8) Alabama,5,8
23248,23248,"Oct 28, 1939",(7) Cornell,(4) Ohio State,7,4
23272,23272,"Oct 28, 1939",(13) North Carolina,(16) Pennsylvania,13,16
23289,23289,"Oct 28, 1939",(9) Tulane,(14) Mississippi,9,14
23325,23325,"Nov 4, 1939",(15) Kentucky,(19) Alabama,15,19
23347,23347,"Nov 4, 1939",(7) Southern California,(11) Oregon State,7,11
23349,23349,"Nov 4, 1939",(1) Tennessee,(18) Louisiana State,1,18
23410,23410,"Nov 11, 1939",(2) Texas A&M,(13) Southern Methodist,2,13
23414,23414,"Nov 11, 1939",(7) Tulane,(20) Alabama,7,20
23436,23436,"Nov 18, 1939",(4) Cornell,(20) Dartmouth,4,20
23441,23441,"Nov 18, 1939",(13) Duke,(7) North Carolina,13,7
23452,23452,"Nov 18, 1939",(15) Iowa,(20) Minnesota,15,20
23459,23459,"Nov 18, 1939",(12) Missouri,(5) Oklahoma,12,5
23471,23471,"Nov 18, 1939",(14) Santa Clara,(11) UCLA,14,11
23522,23522,"Nov 25, 1939",(4) Southern California,(7) Notre Dame,4,7
23569,23569,"Dec 9, 1939",(3) Southern California,(9) UCLA,3,9
23574,23574,"Jan 1, 1940",(12) Clemson,(11) Boston College,12,11
23575,23575,"Jan 1, 1940",(16) Georgia Tech,(6) Missouri,16,6
23577,23577,"Jan 1, 1940",(3) Southern California,(2) Tennessee,3,2
23578,23578,"Jan 1, 1940",(1) Texas A&M,(5) Tulane,1,5
23836,23836,"Oct 19, 1940",(7) Minnesota,(15) Ohio State,7,15
23855,23855,"Oct 19, 1940",(10) Stanford,(19) Washington State,10,19
23864,23864,"Oct 19, 1940",(16) Washington,(18) Oregon State,16,18
23901,23901,"Oct 26, 1940",(3) Michigan,(8) Pennsylvania,3,8
23918,23918,"Oct 26, 1940",(9) Stanford,(17) Southern California,9,17
23966,23966,"Nov 2, 1940",(4) Minnesota,(8) Northwestern,4,8
23977,23977,"Nov 2, 1940",(15) Pennsylvania,(14) Navy,15,14
24024,24024,"Nov 9, 1940",(2) Minnesota,(3) Michigan,2,3
24046,24046,"Nov 9, 1940",(6) Stanford,(11) Washington,6,11
24050,24050,"Nov 9, 1940",(4) Texas A&M,(14) Southern Methodist,4,14
24066,24066,"Nov 16, 1940",(8) Boston College,(9) Georgetown,8,9
