,date,winner,location,loser
0,"Nov 2, 1872",Rutgers,@,Columbia
1,"Nov 9, 1872",Rutgers,,Columbia
2,"Nov 16, 1872",Princeton,,Rutgers
3,"Nov 16, 1872",Yale,,Columbia
4,"Nov 23, 1872",Columbia,,Stevens
5,"Oct 18, 1873",Stevens,,New York University
6,"Oct 25, 1873",Columbia,@,Stevens
7,"Oct 25, 1873",Yale,,Rutgers
8,"Nov 1, 1873",Rutgers,,Columbia
9,"Nov 1, 1873",Stevens,,City College of New York
10,"Nov 8, 1873",Columbia,,Rutgers
11,"Nov 15, 1873",Princeton,@,Yale
12,"Dec 6, 1873",Yale,,Eton
13,"Oct 24, 1874",Rutgers,,Columbia
14,"Oct 31, 1874",Stevens,,Columbia
15,"Nov 1, 1874",Stevens,@,Rutgers
16,"Nov 7, 1874",Princeton,,Columbia
17,"Nov 10, 1874",Stevens,,New York University
18,"Nov 14, 1874",Columbia,,Rutgers
19,"Nov 18, 1874",Princeton,,Rutgers
20,"Nov 18, 1874",Yale,,Stevens
21,"Nov 21, 1874",Yale,,Columbia
22,"Dec 5, 1874",Yale,,Columbia
23,"Oct 17, 1875",Stevens,,New York University
24,"Oct 24, 1875",Rutgers,,Stevens
25,"Oct 30, 1875",Harvard,@,Canada All-Stars
26,"Oct 31, 1875",Stevens,,City College of New York
27,"Nov 2, 1875",Columbia,@,Rutgers
28,"Nov 4, 1875",Columbia,@,Stevens
29,"Nov 6, 1875",Columbia,@,City College of New York
30,"Nov 6, 1875",Harvard,@,Tufts
31,"Nov 6, 1875",Yale,,Rutgers
32,"Nov 11, 1875",Stevens,,City College of New York
33,"Nov 13, 1875",Harvard,@,Yale
34,"Nov 13, 1875",Princeton,,Columbia
35,"Nov 20, 1875",Columbia,,City College of New York
36,"Nov 20, 1875",Harvard,,Canada All-Stars
37,"Nov 20, 1875",Princeton,,Stevens
38,"Nov 20, 1875",Yale,,Wesleyan (CT)
39,"Dec 4, 1875",Columbia,@,Yale
40,"Nov 1, 1876",Princeton,@,Pennsylvania
41,"Nov 1, 1876",Rutgers,,Stevens
42,"Nov 4, 1876",Harvard,@,Canada All-Stars
43,"Nov 4, 1876",Stevens,,Columbia
