,MatchupPair,games,wins,WinPct,HomeRank,AwayRank,P-Value
0,1-10,9,8,0.8888888888888888,1,10,0.001953125
1,1-11,5,4,0.8,1,11,0.03125
2,1-12,5,4,0.8,1,12,0.03125
3,1-13,4,2,0.5,1,13,0.3125
4,1-14,11,11,1.0,1,14,0.0
5,1-15,6,3,0.5,1,15,0.34375
6,1-16,9,8,0.8888888888888888,1,16,0.001953125
7,1-17,3,3,1.0,1,17,0.0
8,1-18,5,5,1.0,1,18,0.0
9,1-19,5,4,0.8,1,19,0.03125
10,1-2,8,4,0.5,1,2,0.36328125
11,1-20,8,8,1.0,1,20,0.0
12,1-21,5,5,1.0,1,21,0.0
13,1-22,2,2,1.0,1,22,0.0
14,1-23,5,5,1.0,1,23,0.0
15,1-24,5,5,1.0,1,24,0.0
16,1-25,4,4,1.0,1,25,0.0
17,1-3,11,9,0.8181818181818182,1,3,0.005859375
18,1-4,10,8,0.8,1,4,0.0107421875
19,1-5,5,3,0.6,1,5,0.1875
20,1-6,10,9,0.9,1,6,0.0009765625
21,1-7,4,4,1.0,1,7,0.0
22,1-8,12,9,0.75,1,8,0.019287109375
23,1-9,7,7,1.0,1,9,0.0
24,10-1,9,6,0.6666666666666666,10,1,0.08984375
25,10-11,8,5,0.625,10,11,0.14453125
26,10-12,9,4,0.4444444444444444,10,12,0.5
27,10-13,5,3,0.6,10,13,0.1875
28,10-14,8,6,0.75,10,14,0.03515625
29,10-15,6,4,0.6666666666666666,10,15,0.109375
30,10-16,10,7,0.7,10,16,0.0546875
31,10-17,6,5,0.8333333333333334,10,17,0.015625
32,10-18,9,8,0.8888888888888888,10,18,0.001953125
33,10-19,11,10,0.9090909090909091,10,19,0.00048828125
34,10-2,9,3,0.3333333333333333,10,2,0.25390625
35,10-20,6,5,0.8333333333333334,10,20,0.015625
36,10-21,1,1,1.0,10,21,0.0
37,10-22,4,4,1.0,10,22,0.0
38,10-23,1,0,0.0,10,23,0.5
39,10-24,4,4,1.0,10,24,0.0
40,10-25,7,4,0.5714285714285714,10,25,0.2265625
41,10-3,6,2,0.3333333333333333,10,3,0.34375
42,10-4,9,6,0.6666666666666666,10,4,0.08984375
43,10-5,12,8,0.6666666666666666,10,5,0.072998046875
44,10-6,8,6,0.75,10,6,0.03515625
45,10-7,8,3,0.375,10,7,0.36328125
46,10-8,5,4,0.8,10,8,0.03125
47,10-9,7,7,1.0,10,9,0.0
48,11-1,8,4,0.5,11,1,0.36328125
49,11-10,14,9,0.6428571428571429,11,10,0.08978271484375
50,11-12,5,2,0.4,11,12,0.5
51,11-13,7,5,0.7142857142857143,11,13,0.0625
52,11-14,3,1,0.3333333333333333,11,14,0.5
53,11-15,1,1,1.0,11,15,0.0
54,11-16,8,6,0.75,11,16,0.03515625
55,11-17,9,6,0.6666666666666666,11,17,0.08984375
56,11-18,5,4,0.8,11,18,0.03125
57,11-19,7,6,0.8571428571428571,11,19,0.0078125
58,11-2,10,6,0.6,11,2,0.171875
59,11-20,8,7,0.875,11,20,0.00390625
60,11-21,2,2,1.0,11,21,0.0
61,11-22,2,2,1.0,11,22,0.0
62,11-23,5,5,1.0,11,23,0.0
63,11-24,2,0,0.0,11,24,0.25
64,11-25,5,4,0.8,11,25,0.03125
65,11-3,11,4,0.36363636363636365,11,3,0.2744140625
66,11-4,3,1,0.3333333333333333,11,4,0.5
67,11-5,5,3,0.6,11,5,0.1875
68,11-6,6,4,0.6666666666666666,11,6,0.109375
69,11-7,4,4,1.0,11,7,0.0
70,11-8,5,5,1.0,11,8,0.0
71,11-9,15,10,0.6666666666666666,11,9,0.059234619140625
72,12-1,7,1,0.14285714285714285,12,1,0.0625
73,12-10,10,5,0.5,12,10,0.376953125
74,12-11,6,5,0.8333333333333334,12,11,0.015625
75,12-13,5,2,0.4,12,13,0.5
76,12-14,8,7,0.875,12,14,0.00390625
77,12-15,5,5,1.0,12,15,0.0
78,12-16,6,6,1.0,12,16,0.0
79,12-17,7,6,0.8571428571428571,12,17,0.0078125
80,12-18,9,4,0.4444444444444444,12,18,0.5
81,12-19,10,9,0.9,12,19,0.0009765625
82,12-2,4,3,0.75,12,2,0.0625
83,12-20,6,4,0.6666666666666666,12,20,0.109375
84,12-21,8,7,0.875,12,21,0.00390625
85,12-22,1,1,1.0,12,22,0.0
86,12-23,3,3,1.0,12,23,0.0
87,12-24,1,0,0.0,12,24,0.5
88,12-25,8,7,0.875,12,25,0.00390625
89,12-3,9,4,0.4444444444444444,12,3,0.5
90,12-4,8,5,0.625,12,4,0.14453125
91,12-5,9,8,0.8888888888888888,12,5,0.001953125
92,12-6,3,1,0.3333333333333333,12,6,0.5
93,12-7,5,3,0.6,12,7,0.1875
94,12-8,10,4,0.4,12,8,0.376953125
95,12-9,5,2,0.4,12,9,0.5
96,13-1,6,1,0.16666666666666666,13,1,0.109375
97,13-10,9,5,0.5555555555555556,13,10,0.25390625
98,13-11,5,4,0.8,13,11,0.03125
99,13-12,5,4,0.8,13,12,0.03125
100,13-14,4,1,0.25,13,14,0.3125
101,13-15,8,5,0.625,13,15,0.14453125
102,13-16,7,3,0.42857142857142855,13,16,0.5
103,13-17,5,3,0.6,13,17,0.1875
104,13-18,2,2,1.0,13,18,0.0
105,13-19,8,6,0.75,13,19,0.03515625
106,13-2,12,3,0.25,13,2,0.072998046875
107,13-20,6,6,1.0,13,20,0.0
108,13-21,2,0,0.0,13,21,0.25
109,13-22,5,4,0.8,13,22,0.03125
110,13-23,3,2,0.6666666666666666,13,23,0.125
111,13-24,5,3,0.6,13,24,0.1875
112,13-25,1,0,0.0,13,25,0.5
113,13-3,7,6,0.8571428571428571,13,3,0.0078125
114,13-4,13,6,0.46153846153846156,13,4,0.5
115,13-5,7,3,0.42857142857142855,13,5,0.5
116,13-6,5,3,0.6,13,6,0.1875
117,13-7,5,4,0.8,13,7,0.03125
118,13-8,8,7,0.875,13,8,0.00390625
119,13-9,10,8,0.8,13,9,0.0107421875
120,14-1,7,1,0.14285714285714285,14,1,0.0625
121,14-10,3,1,0.3333333333333333,14,10,0.5
122,14-11,3,2,0.6666666666666666,14,11,0.125
123,14-12,11,4,0.36363636363636365,14,12,0.2744140625
124,14-13,9,6,0.6666666666666666,14,13,0.08984375
125,14-15,11,9,0.8181818181818182,14,15,0.005859375
126,14-16,8,7,0.875,14,16,0.00390625
127,14-17,10,7,0.7,14,17,0.0546875
128,14-18,7,7,1.0,14,18,0.0
129,14-19,4,4,1.0,14,19,0.0
130,14-2,8,3,0.375,14,2,0.36328125
131,14-20,12,10,0.8333333333333334,14,20,0.003173828125
132,14-21,7,4,0.5714285714285714,14,21,0.2265625
133,14-22,3,2,0.6666666666666666,14,22,0.125
134,14-23,6,5,0.8333333333333334,14,23,0.015625
135,14-24,6,4,0.6666666666666666,14,24,0.109375
136,14-25,2,2,1.0,14,25,0.0
137,14-3,9,5,0.5555555555555556,14,3,0.25390625
138,14-4,5,3,0.6,14,4,0.1875
139,14-5,4,1,0.25,14,5,0.3125
140,14-6,4,2,0.5,14,6,0.3125
141,14-7,8,5,0.625,14,7,0.14453125
142,14-8,6,3,0.5,14,8,0.34375
143,14-9,9,7,0.7777777777777778,14,9,0.01953125
144,15-1,2,2,1.0,15,1,0.0
145,15-10,5,2,0.4,15,10,0.5
146,15-11,6,3,0.5,15,11,0.34375
147,15-12,4,1,0.25,15,12,0.3125
148,15-13,2,1,0.5,15,13,0.25
149,15-14,3,3,1.0,15,14,0.0
150,15-16,11,7,0.6363636363636364,15,16,0.11328125
151,15-17,8,5,0.625,15,17,0.14453125
152,15-18,11,9,0.8181818181818182,15,18,0.005859375
153,15-19,9,8,0.8888888888888888,15,19,0.001953125
154,15-2,7,3,0.42857142857142855,15,2,0.5
155,15-20,5,4,0.8,15,20,0.03125
156,15-21,7,5,0.7142857142857143,15,21,0.0625
157,15-22,4,1,0.25,15,22,0.3125
158,15-23,1,0,0.0,15,23,0.5
159,15-24,3,3,1.0,15,24,0.0
160,15-25,9,9,1.0,15,25,0.0
161,15-3,4,3,0.75,15,3,0.0625
162,15-4,6,3,0.5,15,4,0.34375
163,15-5,6,5,0.8333333333333334,15,5,0.015625
164,15-6,6,4,0.6666666666666666,15,6,0.109375
165,15-7,8,3,0.375,15,7,0.36328125
166,15-8,10,6,0.6,15,8,0.171875
167,15-9,7,5,0.7142857142857143,15,9,0.0625
168,16-1,8,4,0.5,16,1,0.36328125
169,16-10,11,6,0.5454545454545454,16,10,0.2744140625
170,16-11,3,1,0.3333333333333333,16,11,0.5
171,16-12,9,4,0.4444444444444444,16,12,0.5
172,16-13,6,6,1.0,16,13,0.0
173,16-14,11,7,0.6363636363636364,16,14,0.11328125
174,16-15,5,3,0.6,16,15,0.1875
175,16-17,3,2,0.6666666666666666,16,17,0.125
176,16-18,6,6,1.0,16,18,0.0
177,16-19,4,2,0.5,16,19,0.3125
178,16-2,5,2,0.4,16,2,0.5
179,16-20,5,4,0.8,16,20,0.03125
180,16-21,5,3,0.6,16,21,0.1875
181,16-22,5,2,0.4,16,22,0.5
182,16-23,2,2,1.0,16,23,0.0
183,16-24,3,2,0.6666666666666666,16,24,0.125
184,16-25,5,5,1.0,16,25,0.0
185,16-3,5,1,0.2,16,3,0.1875
186,16-4,7,6,0.8571428571428571,16,4,0.0078125
187,16-5,8,4,0.5,16,5,0.36328125
188,16-6,4,3,0.75,16,6,0.0625
189,16-7,7,6,0.8571428571428571,16,7,0.0078125
190,16-8,7,4,0.5714285714285714,16,8,0.2265625
191,16-9,3,3,1.0,16,9,0.0
192,17-1,10,2,0.2,17,1,0.0546875
193,17-10,11,7,0.6363636363636364,17,10,0.11328125
194,17-11,4,2,0.5,17,11,0.3125
195,17-12,5,3,0.6,17,12,0.1875
196,17-13,6,4,0.6666666666666666,17,13,0.109375
197,17-14,8,4,0.5,17,14,0.36328125
198,17-15,3,3,1.0,17,15,0.0
199,17-16,7,6,0.8571428571428571,17,16,0.0078125
200,17-18,5,3,0.6,17,18,0.1875
201,17-19,6,3,0.5,17,19,0.34375
202,17-2,4,2,0.5,17,2,0.3125
203,17-20,7,5,0.7142857142857143,17,20,0.0625
204,17-21,5,3,0.6,17,21,0.1875
205,17-22,7,7,1.0,17,22,0.0
206,17-23,7,4,0.5714285714285714,17,23,0.2265625
207,17-24,4,4,1.0,17,24,0.0
208,17-25,7,3,0.42857142857142855,17,25,0.5
209,17-3,9,3,0.3333333333333333,17,3,0.25390625
210,17-4,6,1,0.16666666666666666,17,4,0.109375
211,17-5,6,3,0.5,17,5,0.34375
212,17-6,4,3,0.75,17,6,0.0625
213,17-7,6,1,0.16666666666666666,17,7,0.109375
214,17-8,9,4,0.4444444444444444,17,8,0.5
215,17-9,10,7,0.7,17,9,0.0546875
216,18-1,13,5,0.38461538461538464,18,1,0.29052734375
217,18-10,8,6,0.75,18,10,0.03515625
218,18-11,9,5,0.5555555555555556,18,11,0.25390625
219,18-12,12,9,0.75,18,12,0.019287109375
220,18-13,9,5,0.5555555555555556,18,13,0.25390625
221,18-14,8,4,0.5,18,14,0.36328125
222,18-15,12,9,0.75,18,15,0.019287109375
223,18-16,7,5,0.7142857142857143,18,16,0.0625
224,18-17,3,1,0.3333333333333333,18,17,0.5
225,18-19,7,5,0.7142857142857143,18,19,0.0625
226,18-2,3,3,1.0,18,2,0.0
227,18-20,6,6,1.0,18,20,0.0
228,18-21,1,1,1.0,18,21,0.0
229,18-22,4,4,1.0,18,22,0.0
230,18-23,3,0,0.0,18,23,0.125
231,18-24,4,4,1.0,18,24,0.0
232,18-25,5,4,0.8,18,25,0.03125
233,18-3,3,0,0.0,18,3,0.125
234,18-4,8,5,0.625,18,4,0.14453125
235,18-5,7,5,0.7142857142857143,18,5,0.0625
236,18-6,10,5,0.5,18,6,0.376953125
237,18-7,1,0,0.0,18,7,0.5
238,18-8,6,6,1.0,18,8,0.0
239,18-9,4,2,0.5,18,9,0.3125
240,19-1,8,1,0.125,19,1,0.03515625
241,19-10,17,9,0.5294117647058824,19,10,0.3145294189453125
242,19-11,7,5,0.7142857142857143,19,11,0.0625
243,19-12,6,3,0.5,19,12,0.34375
244,19-13,11,7,0.6363636363636364,19,13,0.11328125
245,19-14,7,5,0.7142857142857143,19,14,0.0625
246,19-15,5,3,0.6,19,15,0.1875
247,19-16,4,3,0.75,19,16,0.0625
248,19-17,11,8,0.7272727272727273,19,17,0.03271484375
249,19-18,4,3,0.75,19,18,0.0625
250,19-2,13,4,0.3076923076923077,19,2,0.1334228515625
251,19-20,7,7,1.0,19,20,0.0
252,19-21,2,2,1.0,19,21,0.0
253,19-22,3,2,0.6666666666666666,19,22,0.125
254,19-23,3,3,1.0,19,23,0.0
255,19-24,5,3,0.6,19,24,0.1875
256,19-3,8,4,0.5,19,3,0.36328125
257,19-4,4,2,0.5,19,4,0.3125
258,19-5,3,1,0.3333333333333333,19,5,0.5
259,19-6,10,6,0.6,19,6,0.171875
260,19-7,2,2,1.0,19,7,0.0
