,rankdiff,pred,act,num_events
0,1,0.5030994265992345,0.4582043343653251,323
1,2,0.5164713479191039,0.5451713395638629,321
2,3,0.5298197234678267,0.5179856115107914,278
3,4,0.5431255771579333,0.6035714285714285,280
4,5,0.5563701747503764,0.5617529880478087,251
5,6,0.5695351283726164,0.5375939849624061,266
6,7,0.582602496898178,0.5948275862068966,232
7,8,0.5955548810462542,0.5741626794258373,209
8,9,0.6083755121660366,0.6711711711711712,222
9,10,0.6210483337950969,0.6078431372549019,153
10,11,0.633558075220634,0.6387096774193548,155
11,12,0.6458903164226919,0.6,135
12,13,0.658031543935357,0.6377952755905512,127
13,14,0.6699691973212598,0.5849056603773585,106
14,15,0.6816917061123838,0.68,100
15,16,0.6931885172224523,0.6625,80
16,17,0.7044501129796676,0.75,84
17,18,0.7154680200604233,0.7368421052631579,57
18,19,0.7262348097224932,0.6976744186046512,43
19,20,0.7367440898383654,0.6818181818181818,44
20,21,0.7469904893147095,0.9230769230769231,26
21,22,0.7569696355518546,0.7777777777777778,27
22,23,0.7666781256476118,0.9090909090909091,11
23,24,0.7761134920832292,0.7777777777777778,9
