,date,winner,location,loser
0,"Sep 1, 1980",23,(6) Arkansas,17
1,"Sep 5, 1980",16,Long Beach State,9
2,"Sep 6, 1980",26,Georgia Tech,3
3,"Sep 6, 1980",34,James Madison,6
4,"Sep 6, 1980",28,Utah,7
5,"Sep 6, 1980",39,Fresno State,25
6,"Sep 6, 1980",21,Ball State,17
7,"Sep 6, 1980",16,Jacksonville State,13
8,"Sep 6, 1980",21,Presbyterian,14
9,"Sep 6, 1980",21,Air Force,9
10,"Sep 6, 1980",35,Duke,10
11,"Sep 6, 1980",16,Louisiana State,0
12,"Sep 6, 1980",16,Tennessee,15
13,"Sep 6, 1980",21,Rhode Island,14
14,"Sep 6, 1980",35,Northwestern,9
15,"Sep 6, 1980",28,Nicholls State,13
16,"Sep 6, 1980",13,Drake,10
17,"Sep 6, 1980",17,Utah State,10
18,"Sep 6, 1980",41,Texas Southern,8
19,"Sep 6, 1980",14,New Mexico State,12
20,"Sep 6, 1980",35,Morehead State,8
21,"Sep 6, 1980",7,Villanova,3
22,"Sep 6, 1980",20,West Texas State,17
23,"Sep 6, 1980",24,Louisville,10
24,"Sep 6, 1980",34,Memphis,7
25,"Sep 6, 1980",25,Brigham Young,21
26,"Sep 6, 1980",35,Furman,13
27,"Sep 6, 1980",42,William & Mary,0
28,"Sep 6, 1980",31,Texas-Arlington,14
29,"Sep 6, 1980",31,(9) Purdue,10
30,"Sep 6, 1980",54,Colgate,10
31,"Sep 6, 1980",20,Bowling Green,17
32,"Sep 6, 1980",28,Santa Clara,14
33,"Sep 6, 1980",37,Pacific,0
34,"Sep 6, 1980",17,Tulane,14
35,"Sep 6, 1980",35,Oregon,25
36,"Sep 6, 1980",23,Mississippi,20
37,"Sep 6, 1980",35,Texas-El Paso,7
38,"Sep 6, 1980",16,Wake Forest,7
39,"Sep 6, 1980",41,Cincinnati,27
40,"Sep 6, 1980",16,Virginia Military Institute,14
41,"Sep 6, 1980",37,Eastern Michigan,0
42,"Sep 6, 1980",31,Southern Illinois,14
43,"Sep 6, 1980",16,East Tennessee State,9
44,"Sep 13, 1980",17,Citadel,14
45,"Sep 13, 1980",29,(9) Houston,13
46,"Sep 13, 1980",29,Tennessee-Martin,9
47,"Sep 13, 1980",28,Holy Cross,7
48,"Sep 13, 1980",10,Texas Christian,7
49,"Sep 13, 1980",18,Northern Illinois,17
50,"Sep 13, 1980",42,Lamar,7
51,"Sep 13, 1980",35,San Diego State,11
52,"Sep 13, 1980",30,Cal Poly,23
53,"Sep 13, 1980",15,Miami (OH),14
54,"Sep 13, 1980",32,Middle Tennessee State,7
55,"Sep 13, 1980",19,Rice,3
56,"Sep 13, 1980",17,Lehigh,17
57,"Sep 13, 1980",42,Augustana (South Dakota),0
58,"Sep 13, 1980",18,Bowling Green,16
59,"Sep 13, 1980",41,California,13
60,"Sep 13, 1980",52,Louisville,0
61,"Sep 13, 1980",28,Presbyterian,7
62,"Sep 13, 1980",42,Texas A&M,0
63,"Sep 13, 1980",41,Abilene Christian,0
64,"Sep 13, 1980",20,Michigan State,17
65,"Sep 13, 1980",16,Indiana,7
66,"Sep 13, 1980",42,Louisiana-Monroe,7
67,"Sep 13, 1980",7,Oregon,7
68,"Sep 13, 1980",27,East Carolina,21
69,"Sep 13, 1980",21,Kansas State,0
70,"Sep 13, 1980",17,Kent State,7
71,"Sep 13, 1980",31,Vanderbilt,6
72,"Sep 13, 1980",20,Toledo,17
73,"Sep 13, 1980",49,Florida A&M,0
74,"Sep 13, 1980",17,Northwestern,10
75,"Sep 13, 1980",38,Ohio,14
76,"Sep 13, 1980",61,Memphis,7
77,"Sep 13, 1980",31,Louisiana Tech,11
78,"Sep 13, 1980",47,New Mexico,16
79,"Sep 13, 1980",55,Utah,9
80,"Sep 13, 1980",35,Fresno State,6
81,"Sep 13, 1980",6,Texas-El Paso,3
82,"Sep 13, 1980",9,Texas Tech,3
83,"Sep 13, 1980",38,Texas-Arlington,31
84,"Sep 13, 1980",31,Syracuse,21
85,"Sep 13, 1980",29,Kentucky,7
86,"Sep 13, 1980",24,Idaho,13
87,"Sep 13, 1980",14,Boston College,6
88,"Sep 13, 1980",12,Wisconsin,6
89,"Sep 13, 1980",21,Villanova,7
90,"Sep 13, 1980",21,Temple,3
91,"Sep 13, 1980",31,Washington State,26
92,"Sep 13, 1980",73,Wichita State,0
93,"Sep 13, 1980",20,Tennessee,17
94,"Sep 13, 1980",37,Eastern Illinois,35
95,"Sep 13, 1980",28,North Texas,9
96,"Sep 13, 1980",19,Tulane,14
97,"Sep 13, 1980",26,Western Carolina,10
98,"Sep 13, 1980",31,Cincinnati,13
99,"Sep 13, 1980",56,Colorado,14
100,"Sep 13, 1980",14,Idaho State,7
101,"Sep 13, 1980",6,Navy,3
102,"Sep 13, 1980",13,William & Mary,10
103,"Sep 13, 1980",35,East Tennessee State,7
104,"Sep 13, 1980",50,Air Force,7
105,"Sep 13, 1980",20,Oklahoma State,19
106,"Sep 13, 1980",52,Colorado State,24
107,"Sep 13, 1980",31,Illinois State,17
108,"Sep 13, 1980",30,Oregon State,10
109,"Sep 20, 1980",59,Mississippi,35
110,"Sep 20, 1980",42,Oregon State,14
111,"Sep 20, 1980",33,Oklahoma State,20
112,"Sep 20, 1980",26,California,19
113,"Sep 20, 1980",35,Duke,28
114,"Sep 20, 1980",27,Toledo,7
115,"Sep 20, 1980",43,West Texas State,15
116,"Sep 20, 1980",30,(11) Stanford,13
117,"Sep 20, 1980",28,Wisconsin,3
118,"Sep 20, 1980",21,Northern Arizona,13
119,"Sep 20, 1980",16,Illinois State,0
120,"Sep 20, 1980",14,Appalachian State,7
121,"Sep 20, 1980",15,Arizona,13
122,"Sep 20, 1980",17,Princeton,7
123,"Sep 20, 1980",40,Pennsylvania,7
124,"Sep 20, 1980",28,Temple,7
125,"Sep 20, 1980",38,Lamar,7
126,"Sep 20, 1980",45,Georgia Tech,12
127,"Sep 20, 1980",63,East Carolina,7
128,"Sep 20, 1980",16,Louisiana,14
129,"Sep 20, 1980",28,Western Carolina,14
130,"Sep 20, 1980",20,Clemson,16
131,"Sep 20, 1980",26,Columbia,6
132,"Sep 20, 1980",25,Pacific,14
133,"Sep 20, 1980",36,Kentucky,30
134,"Sep 20, 1980",14,Eastern Illinois,0
135,"Sep 20, 1980",27,San Jose State,6
136,"Sep 20, 1980",24,South Dakota,3
137,"Sep 20, 1980",23,Bowling Green,21
138,"Sep 20, 1980",23,Colorado,20
139,"Sep 20, 1980",35,Arkansas State,12
140,"Sep 20, 1980",14,West Virginia,11
141,"Sep 20, 1980",24,Villanova,12
142,"Sep 20, 1980",21,Nicholls State,0
143,"Sep 20, 1980",14,(18) Houston,7
144,"Sep 20, 1980",24,Vanderbilt,14
