Season,Date,Team1,Team2,Team1 Location,Team2 Location,Team1 Score,Team2 Score,Open1,Open2,Close1,Close2,MoneyLine1,MoneyLine2,Result of Home Team
2016,2015-11-13,IowaState,Colorado,H,V,68.0,62.0,8,147.5,10.5,150.5,-600,475,1
2016,2015-11-13,MichiganState,FlaAtlantic,H,V,82.0,55.0,22.5,139,23.5,141,NL,NL,1
2016,2015-11-13,CharlotteU,Elon,H,V,74.0,85.0,6.5,144.5,4.5,146.5,-205,175,0
2016,2015-11-13,St.Josephs,Drexel,H,V,82.0,81.0,11,131,10,127.5,-540,415,1
2016,2015-11-13,Richmond,JamesMadison,H,V,75.0,87.0,9.5,134,9.5,137.5,-465,365,0
2016,2015-11-13,SetonHall,Dartmouth,H,V,84.0,67.0,10.5,137,11,136,-685,535,1
2016,2015-11-13,NorthCarolina,Temple,H,V,91.0,67.0,8.5,147,9.5,144.5,-545,420,1
2016,2015-11-13,GeorgiaTech,Cornell,H,V,116.0,81.0,16,132,17,129,NL,NL,1
2016,2015-11-13,Xavier,MiamiOhio,H,V,81.0,72.0,16,140,15.5,144.5,NL,NL,1
2016,2015-11-13,LoyolaChicago,TexSanAntonio,H,V,76.0,64.0,13,138.5,14,138,-1200,850,1
2016,2015-11-13,Bradley,BallState,H,V,54.0,53.0,134.5,1.5,135,2.5,120,-140,1
2016,2015-11-13,SoIllinois,AirForce,H,V,77.0,75.0,5,133,5.5,130.5,-235,200,1
2016,2015-11-13,NCState,William&Mary,H,V,68.0,85.0,11,144.5,12.5,149,-920,670,0
2016,2015-11-13,Auburn,UAB,H,V,75.0,74.0,2.5,142.5,150.5,2.5,120,-140,1
2016,2015-11-13,IllinoisChicago,SanFrancisco,H,V,75.0,78.0,145,3.5,148.5,1.5,100,-120,0
2016,2015-11-13,USC,SanDiego,H,V,83.0,45.0,9,139,12.5,139.5,-800,600,1
2016,2015-11-13,SouthFlorida,Troy,H,V,77.0,82.0,8,137.5,8,138.5,-395,315,0
2016,2015-11-13,Stanford,WiscGreenBay,H,V,93.0,89.0,7,136.5,8,144,-360,290,1
2016,2015-11-13,Arizona,Pacific,H,V,79.0,61.0,23,137.5,23.5,137.5,NL,NL,1
2016,2015-11-13,UNLV,CalPolySLO,H,V,74.0,72.0,6,134.5,7,138.5,-290,240,1
2016,2015-11-13,LoyolaMarymount,CSFullerton,H,V,79.0,74.0,3.5,135,2,139.5,-135,115,1
2016,2015-11-13,FresnoState,Pepperdine,H,V,69.0,66.0,2,136.5,2.5,137,-145,125,1
2016,2015-11-13,SanDiegoState,IllinoisState,H,V,71.0,60.0,9,129,9.5,128,-520,395,1
2016,2015-11-13,WashingtonU,Texas,H,V,77.0,71.0,143,11,150.5,11,550,-700,1
2016,2015-11-13,California,Rice,H,V,97.0,65.0,14.5,135.5,16.5,137,NL,NL,1
2016,2015-11-13,WrightState,SouthDakota,N,N,77.0,69.0,5.5,136,6.5,135,-290,240,N/A
2016,2015-11-13,NoIllinois,CSNorthridge,H,V,83.0,71.0,10,136.5,9.5,134.5,-540,415,1
2016,2015-11-13,DenverU,WiscMilwaukee,N,N,58.0,71.0,130.5,3.5,129.5,5,180,-210,N/A
2016,2015-11-13,SantaClara,Lipscomb,H,V,63.0,65.0,9,144,7.5,145,-355,285,0
2016,2015-11-13,Nevada,CoastalCarolina,N,N,73.0,56.0,138.5,3,140,2.5,125,-145,N/A
2016,2015-11-13,Hawaii,MontanaState,H,V,87.0,76.0,14.5,145.5,14.5,148.5,-1325,925,1
2016,2015-11-13,IndianaU,EasternIllinois,H,V,88.0,49.0,22,NL,25,149.5,NL,NL,1
2016,2015-11-13,Georgia,TennesseeChat,H,V,90.0,92.0,12,NL,10.5,135.5,-650,500,0
2016,2015-11-13,Cincinnati,WesternCarolina,H,V,97.0,72.0,19,NL,20.5,131.5,NL,NL,1
2016,2015-11-13,Dayton,SEMissouriSt,H,V,84.0,53.0,15.5,NL,19,140,NL,NL,1
2016,2015-11-13,IndianaState,IUPUI,H,V,70.0,72.0,9.5,NL,8,134.5,-400,320,0
2016,2015-11-13,Duke,Siena,H,V,92.0,74.0,23,153.5,24,155.5,NL,NL,1
2016,2015-11-13,Hofstra,Canisius,H,V,96.0,85.0,8.5,NL,10.5,149.5,-575,425,1
2016,2015-11-13,St.Peter's,Brown,H,V,77.0,65.0,3,NL,2,129.5,-135,115,1
2016,2015-11-13,OldDominion,Niagara,H,V,67.0,50.0,18,NL,18.5,131,NL,NL,1
2016,2015-11-13,Fairfield,Yale,H,V,57.0,70.0,NL,9,125,7,240,-290,0
2016,2015-11-13,Louisville,Samford,H,V,86.0,45.0,23,NL,23,141,NL,NL,1
2016,2015-11-13,CentralMichigan,JacksonvilleSt,H,V,89.0,83.0,18.5,NL,18,141.5,NL,NL,1
2016,2015-11-13,UCDavis,NDakotaSt,H,V,71.0,79.0,pk,NL,132,3,140,-160,0
2016,2015-11-13,Rider,Princeton,H,V,56.0,64.0,NL,1,136,1,100,-120,0
2016,2015-11-13,ArizonaState,SacramentoState,H,V,63.0,66.0,17.5,NL,18,143,NL,NL,0
2016,2015-11-13,Valparaiso,IPFW,H,V,78.0,64.0,15.5,NL,17,136,NL,NL,1
2016,2015-11-13,NebraskaOmaha,CalSantaBarb,H,V,59.0,60.0,NL,2,2.5,157,-145,125,0
2016,2015-11-13,Marquette,Belmont,H,V,80.0,83.0,6.5,NL,6.5,143.5,-275,225,0
2016,2015-11-13,MississippiSt,E.Washington,H,V,106.0,88.0,10,148.5,10.5,151.5,-630,480,1
2016,2015-11-13,Vanderbilt,AustinPeay,H,V,80.0,41.0,23,NL,25,143.5,NL,NL,1
2016,2015-11-13,OklahomaState,TennMartin,H,V,91.0,57.0,12.5,NL,12,140.5,-875,625,1
2016,2015-11-13,Missouri,Wofford,H,V,83.0,74.0,1.5,NL,2.5,125,-145,125,1
2016,2015-11-13,Kansas,No.Colorado,H,V,109.0,72.0,29,NL,29,146.5,NL,NL,1
2016,2015-11-13,OralRoberts,MissouriSt,H,V,80.0,65.0,5,NL,4.5,133,-205,175,1
2016,2015-11-13,WashingtonState,NorthernArizona,H,V,82.0,70.0,6,NL,10.5,144.5,-620,470,1
2016,2015-11-13,Wisconsin,WesternIllinois,H,V,67.0,69.0,25.5,134,25.5,133,NL,NL,0
2016,2015-11-13,WeberState,UtahState,H,V,70.0,73.0,1.5,NL,2.5,140.5,-145,125,0
2016,2015-11-13,Montana,BoiseState,H,V,74.0,72.0,NL,6,134.5,5,190,-225,1
2016,2015-11-13,SIUEdwardsville,ArkansasState,H,V,79.0,70.0,NL,2,139.5,4.5,170,-200,1
2016,2015-11-13,UtahU,SouthernUtah,H,V,82.0,71.0,24.5,NL,24,141.5,NL,NL,1
2016,2015-11-13,UCLA,Monmouth,H,V,81.0,84.0,14,NL,14,143,-1255,905,0
2016,2015-11-13,WestVirginia,NorthernKentucky,H,V,107.0,61.0,22.5,NL,23.5,145.5,NL,NL,1
2016,2015-11-13,Navy,Florida,H,V,41.0,59.0,134,12,133,13,770,-1170,0
2016,2015-11-13,Kentucky,AlbanyNY,H,V,78.0,65.0,22,133,20,132,NL,NL,1
2016,2015-11-13,St.Johns,Wagner,H,V,66.0,57.0,10.5,141.5,5.5,142,-245,205,1
2016,2015-11-13,Maryland,MountStMarys,H,V,80.0,56.0,21,138,21.5,140.5,NL,NL,1
2016,2015-11-14,NorthernIowa,ColoradoState,H,V,78.0,84.0,7.5,132.5,7.5,137.5,-345,275,0
2016,2015-11-14,LaSalle,Towson,H,V,78.0,76.0,8.5,130,5.5,135.5,-230,195,1
2016,2015-11-14,ClevelandState,Akron,H,V,53.0,65.0,133.5,7,136,9.5,400,-525,0
2016,2015-11-14,Providence,Harvard,H,V,76.0,64.0,10,130,10,135,-565,440,1
2016,2015-11-14,KentState,YoungstownState,H,V,79.0,70.0,11.5,141,13.5,144,-1160,810,1
2016,2015-11-14,MemphisU,SouthernMiss,H,V,67.0,49.0,17,134,19,141,NL,NL,1
2016,2015-11-14,UTArlington,Fordham,H,V,77.0,72.0,1.5,145,2.5,145,-150,130,1
2016,2015-11-14,Depaul,WesternMichigan,H,V,69.0,63.0,6.5,147,5.5,150,-240,200,1
2016,2015-11-14,CSNorthridge,WrightState,N,N,72.0,67.0,135,7.5,140,9,345,-435,N/A
2016,2015-11-14,NoIllinois,SouthDakota,H,V,72.0,65.0,7.5,138,6.5,141.5,-270,220,1
2016,2015-11-14,WiscMilwaukee,Lipscomb,N,N,71.0,65.0,6.5,147,7,145.5,-320,260,N/A
2016,2015-11-14,SantaClara,DenverU,H,V,33.0,55.0,6,124,6,129.5,-280,230,0
2016,2015-11-14,PennState,VMI,H,V,62.0,50.0,13,151.5,14,147,-1080,780,1
2016,2015-11-14,Davidson,CentralFlorida,H,V,90.0,85.0,16,150,17,148.5,-3095,1845,1
2016,2015-11-14,Butler,TheCitadel,H,V,144.0,71.0,29.5,NL,29.5,NL,NL,NL,1
2016,2015-11-14,SanJoseState,IdahoU,H,V,54.0,74.0,NL,3.5,2.5,143,-140,120,0
2016,2015-11-14,Kentucky,NJIT,H,V,87.0,57.0,26,NL,22.5,142.5,NL,NL,1
2016,2015-11-15,MinnesotaU,ULMonroe,H,V,67.0,56.0,10.5,135,10,138.5,-560,435,1
2016,2015-11-15,Clemson,TexSanAntonio,H,V,78.0,45.0,17.5,134,18.5,134,-3480,2030,1
2016,2015-11-15,NCState,SouthAlabama,H,V,88.0,70.0,15,150.5,15.5,156.5,-1555,1005,1
2016,2015-11-15,UCDavis,PortlandU,H,V,79.0,66.0,1.5,141,4,148,-175,155,1
2016,2015-11-15,CalIrvine,LoyolaMarymount,H,V,77.0,53.0,14,134,13,138.5,-990,690,1
2016,2015-11-15,UCLA,CalPolySLO,H,V,88.0,83.0,9.5,137,7,146.5,-325,265,1
2016,2015-11-15,CSNorthridge,SouthDakota,N,N,72.0,76.0,pk,145,148,2.5,130,-150,N/A
2016,2015-11-15,NoIllinois,WrightState,H,V,65.0,59.0,2.5,131,1.5,133,-135,115,1
2016,2015-11-15,DenverU,Lipscomb,N,N,82.0,69.0,2,131,2.5,130,-150,130,N/A
2016,2015-11-15,SantaClara,WiscMilwaukee,H,V,65.0,71.0,133,2,133,4,160,-180,0
2016,2015-11-15,Valparaiso,Iona,H,V,83.0,58.0,7.5,148,7.5,153,-350,280,1
2016,2015-11-15,Illinois,NDakotaSt,H,V,80.0,74.0,5.5,134.5,5.5,137,-245,205,1
2016,2015-11-15,NorthCarolina,Fairfield,H,V,92.0,65.0,23.5,143.5,24.5,149,-21450,7950,1
2016,2015-11-15,St.Josephs,Niagara,H,V,73.0,62.0,14.5,141,16,141.5,-1770,1220,1
2016,2015-11-15,Wisconsin,Siena,H,V,92.0,65.0,15,139.5,15,138.5,-1395,995,1
2016,2015-11-15,Evansville,SEMissouriSt,H,V,80.0,65.0,17,146,20,146.5,-3750,1875,1
2016,2015-11-15,MontanaState,Nevada,N,N,62.0,83.0,144,8,147.5,9,370,-460,N/A
2016,2015-11-15,Hawaii,CoastalCarolina,H,V,74.0,63.0,6,144.5,7,146.5,-320,260,1
2016,2015-11-15,OhioState,MountStMarys,H,V,76.0,54.0,14.5,137.5,13.5,139.5,-1225,775,1
2016,2015-11-15,Bucknell,WakeForest,H,V,82.0,90.0,148.5,2.5,4,152.5,-180,155,0
2016,2015-11-16,GeorgiaTech,Tennessee,H,V,69.0,67.0,5,136.5,7,148,-310,250,1
2016,2015-11-16,IndianaState,Wyoming,H,V,70.0,55.0,3.5,129,5.5,132.5,-225,190,1
2016,2015-11-16,MiamiFlorida,ULLafayette,H,V,93.0,77.0,11,144,11,149,-720,545,1
2016,2015-11-16,OldDominion,Buffalo,H,V,77.0,58.0,8.5,135.5,10.5,135.5,-650,500,1
2016,2015-11-16,EastCarolina,CharlotteU,H,V,88.0,74.0,7.5,141.5,7.5,145,-355,285,1
2016,2015-11-16,WestVirginia,JamesMadison,H,V,86.0,73.0,11,150,12,151.5,-835,635,1
2016,2015-11-16,Michigan,Elon,H,V,88.0,68.0,18.5,141,19,142,-3000,1500,1
2016,2015-11-16,GeoWashington,Virginia,H,V,73.0,68.0,124.5,5.5,125,6.5,245,-295,1
2016,2015-11-16,KansasState,Columbia,H,V,81.0,71.0,5,129.5,4.5,129.5,-210,180,1
2016,2015-11-16,Mississippi,GeorgiaSouthern,H,V,82.0,72.0,14,140.5,16.5,147,-2525,1575,1
2016,2015-11-16,Tulane,Drake,H,V,79.0,74.0,2.5,121.5,pk,128.5,-115,101,1
2016,2015-11-16,Arizona,Bradley,H,V,90.0,60.0,26,136,27.5,134.5,-21500,8000,1
2016,2015-11-16,UtahU,SanDiegoState,H,V,81.0,76.0,4.5,125.5,5,132,-230,195,1
2016,2015-11-16,SanFrancisco,Rice,H,V,80.0,54.0,6,142.5,4.5,147,-210,180,1
2016,2015-11-16,California,CalSantaBarb,H,V,85.0,67.0,12.5,141,16,147,-1570,1120,1
2016,2015-11-16,IndianaU,AustinPeay,H,V,102.0,76.0,26.5,153,30,156.5,-20000,7500,1
2016,2015-11-16,BallState,EasternIllinois,H,V,73.0,56.0,6.5,134,7,134,-345,275,1
2016,2015-11-16,Mercer,GeorgeMason,H,V,69.0,60.0,4.5,133.5,7.5,136.5,-350,280,1
2016,2015-11-16,Ohio,TennesseeState,H,V,75.0,67.0,6.5,139.5,6,142,-270,220,1
2016,2015-11-16,SouthCarolina,OralRoberts,H,V,84.0,66.0,14,143.5,14,145.5,-1205,855,1
2016,2015-11-16,NCWilmington,EasternKentucky,H,V,78.0,59.0,2.5,143,6,153.5,-255,215,1
2016,2015-11-16,Marquette,IUPUI,H,V,75.0,71.0,15,136.5,13.5,138,-1095,795,1
2016,2015-11-16,IllinoisState,MoreheadState,H,V,67.0,66.0,10.5,142,11,148.5,-625,475,1
2016,2015-11-16,SouthDakotaSt,WeberState,H,V,85.0,68.0,10,141.5,7,145,-285,235,1
2016,2015-11-16,AirForce,TennesseeTech,H,V,80.0,70.0,6,143,8.5,145,-410,330,1
2016,2015-11-16,BoiseState,NorthernArizona,H,V,101.0,81.0,14.5,142.5,17,145,-1900,1200,1
2016,2015-11-16,SaintMarysCA,Manhattan,H,V,89.0,63.0,8,137,9.5,137,-540,415,1
2016,2015-11-16,SanJoseState,Montana,H,V,64.0,61.0,132,10,132,11,570,-745,1
2016,2015-11-16,ArizonaState,Belmont,H,V,83.0,74.0,4.5,153.5,4.5,155,-190,165,1
2016,2015-11-16,USC,Monmouth,H,V,101.0,90.0,10,141.5,10.5,148.5,-680,530,1
2016,2015-11-16,LSU,KennesawSt,H,V,91.0,69.0,NL,NL,23.5,NL,-7000,3000,1
2016,2015-11-17,Hawaii,Nevada,H,V,76.0,75.0,6,145,5,148,-205,175,1
2016,2015-11-17,RhodeIsland,Valparaiso,H,V,55.0,58.0,2,134,1,134.5,-115,105,0
2016,2015-11-17,Dayton,Alabama,H,V,80.0,48.0,7.5,134,10,142.5,-625,475,1
2016,2015-11-17,Auburn,Colorado,H,V,84.0,91.0,2,148.5,1,148.5,-110,-110,0
2016,2015-11-17,MemphisU,Oklahoma,H,V,78.0,84.0,142,3,149,4,170,-195,0
2016,2015-11-17,PennState,Depaul,H,V,68.0,62.0,5,136.5,5,135,-235,200,1
2016,2015-11-17,Xavier,Missouri,H,V,78.0,66.0,14.5,135.5,13.5,142.5,-1085,785,1
2016,2015-11-17,NotreDame,WiscMilwaukee,H,V,86.0,78.0,14,144.5,16,149,-1460,1060,1
2016,2015-11-17,WesternMichigan,SanDiego,H,V,74.0,62.0,6.5,133,10.5,136,-640,490,1
2016,2015-11-17,Syracuse,St.Bonaventure,H,V,79.0,66.0,9.5,133.5,9,133.5,-470,370,1
2016,2015-11-17,Harvard,Massachusetts,H,V,63.0,69.0,4.5,138,3,143,-165,145,0
2016,2015-11-17,Kentucky,Duke,H,V,74.0,63.0,2,152.5,1.5,159.5,-110,-110,1
2016,2015-11-17,Tulsa,WichitaState,H,V,77.0,67.0,139.5,4.5,142,4,175,-200,1
2016,2015-11-17,LouisianaTech,UTArlington,H,V,80.0,68.0,10,149,7,152.5,-305,245,1
2016,2015-11-17,Creighton,TexSanAntonio,H,V,103.0,78.0,17.5,144.5,19,153,-4000,2000,1
2016,2015-11-17,Villanova,Nebraska,H,V,87.0,63.0,17,137,18.5,141,-4890,2390,1
2016,2015-11-17,Maryland,Georgetown,H,V,75.0,71.0,7,134.5,9,138.5,-475,385,1
2016,2015-11-17,Kansas,MichiganState,H,V,73.0,79.0,5,145,4.5,152.5,-195,170,0
2016,2015-11-17,Pacific,CSFullerton,H,V,76.0,77.0,8,140,7,145.5,-315,255,0
2016,2015-11-17,ETennesseeSt,WiscGreenBay,H,V,103.0,90.0,140,2.5,1.5,146.5,-125,105,1
2016,2015-11-17,NorthernIowa,StephenF.Austin,H,V,70.0,60.0,3.5,140,3.5,139,-160,140,1
2016,2015-11-17,LaSalle,Rider,H,V,73.0,60.0,4.5,133.5,4,139.5,-190,165,1
2016,2015-11-17,AppalachianSt,Furman,H,V,70.0,79.0,3.5,136,3.5,137.5,-170,150,0
2016,2015-11-17,Marist,Dartmouth,H,V,73.0,63.0,135,1.5,136.5,2,115,-135,1
2016,2015-11-17,Wisconsin,NorthDakota,H,V,78.0,64.0,24.5,140,26,141,-16500,6500,1
2016,2015-11-17,MurrayState,MiddleTennSt,H,V,76.0,65.0,3.5,139.5,2,139.5,-140,120,1
2016,2015-11-17,WesternIllinois,IllinoisChicago,H,V,84.0,57.0,6,143,7,148,-330,270,1
2016,2015-11-17,OregonState,Iona,H,V,93.0,73.0,7,141.5,7,147,-325,265,1
2016,2015-11-17,OhioState,Grambling,H,V,82.0,55.0,38,NL,38.5,143.5,-90000,30000,1
2016,2015-11-18,CentralFlorida,CalIrvine,H,V,60.0,61.0,145.5,3.5,149.5,5,195,-230,0
2016,2015-11-18,Providence,Illinois,H,V,60.0,59.0,7,150,7,147.5,-310,250,1
2016,2015-11-18,WakeForest,Richmond,H,V,82.0,91.0,3,152.5,1,147,-115,105,0
2016,2015-11-18,YoungstownState,Toledo,H,V,78.0,100.0,158,5,164,3.5,140,-160,0
2016,2015-11-18,Oakland,EasternMichigan,H,V,91.0,81.0,5.5,151,5.5,153,-240,205,1
2016,2015-11-18,St.Josephs,Buffalo,H,V,89.0,67.0,7.5,148,8.5,147.5,-405,325,1
2016,2015-11-18,BowlingGreen,Cincinnati,H,V,50.0,83.0,139,12.5,146.5,13,720,-1020,0
2016,2015-11-18,SoIllinois,KentState,H,V,72.0,69.0,139.5,2.5,1.5,142,-130,110,1
2016,2015-11-18,Arkansas,Akron,H,V,80.0,88.0,4,150.5,6.5,152.5,-285,235,0
2016,2015-11-18,NewMexico,LoyolaChicago,H,V,75.0,51.0,5.5,135,6,140,-295,245,1
2016,2015-11-18,NorthCarolina,Wofford,H,V,78.0,58.0,19,150,23,154.5,-7500,3250,1
2016,2015-11-18,NCState,IUPUI,H,V,79.0,56.0,13.5,143.5,13.5,148,-1000,650,1
2016,2015-11-18,Niagara,Brown,H,V,75.0,66.0,145.5,2,147.5,3.5,150,-170,1
2016,2015-11-18,Belmont,WesternKentucky,H,V,90.0,85.0,9,154.5,8.5,156.5,-450,360,1
2016,2015-11-18,VirginiaTech,JacksonvilleSt,H,V,71.0,62.0,12,144,12,148.5,-850,575,1
2016,2015-11-18,Northwestern,Fairfield,H,V,79.0,72.0,15,132,15,140.5,-1500,1000,1
