date,season,regular,homeTeam,awayTeam,homeScore,awayScore,result,openingSpread,closingSpread,halfSpread,openingOverUnder,closingOverUnder,halfOverUnder,homeMoneyline,awayMoneyline
2007-08-30,2007,True,BallState,MiamiOhio,13,14,0,6.0,4.0,0.0,52.5,53.5,23.5,-185.0,160.0
2007-08-30,2007,True,Rutgers,BuffaloU,38,3,1,31.0,30.5,13.5,NaN,49.5,21.5,-12500.0,5000.0
2007-08-30,2007,True,MississippiSt,LSU,0,45,0,16.5,19.5,8.5,27.0,44.0,21.0,1600.0,-2600.0
2007-08-30,2007,True,IowaState,Kent,14,23,0,3.5,3.5,3.0,47.5,45.5,21.5,-165.0,145.0
2007-08-30,2007,True,UtahState,UNLV,16,23,0,8.0,6.0,2.5,50.0,47.0,21.0,195.0,-235.0
2007-08-30,2007,True,OregonState,Utah,24,7,1,6.5,5.0,3.0,52.5,52.0,24.0,-220.0,180.0
2007-08-30,2007,True,ULMonroe,Tulsa,17,35,0,3.0,3.5,2.0,52.0,53.5,27.5,150.0,-170.0
2007-08-31,2007,True,Temple,Navy,19,30,0,21.0,21.0,9.0,51.0,52.5,27.5,1550.0,-2600.0
2007-08-31,2007,True,Syracuse,WashingtonU,12,42,0,4.0,3.5,1.0,45.0,44.5,21.0,130.0,-150.0
2007-09-01,2007,True,WestVirginia,WesternMichigan,62,24,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,True,VirginiaTech,EastCarolina,17,7,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,True,MiamiFlorida,Marshall,31,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,True,MichiganState,UAB,55,18,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007-09-01,2007,True,Duke,Connecticut,14,45,0,6.0,3.5,2.0,50.5,51.5,25.0,160.0,-190.0
