date,season,regular,homeTeam,awayTeam,homeScore,awayScore,result,openingSpread,closingSpread,halfSpread,openingOverUnder,closingOverUnder,halfOverUnder,homeMoneyline,awayMoneyline
2007-12-01,2007,False,CentralMichigan,MiamiOhio,35,10,1,3.0,3.0,0.0,63.0,64.0,28.5,-155.0,135.0
2007-12-01,2007,False,Tulsa,CentralFlorida,25,44,0,6.0,7.5,3.0,75.0,73.5,38.0,235.0,-275.0
2007-12-01,2007,False,VirginiaTech,BostonCollege,30,16,1,4.0,4.0,3.5,46.0,48.0,24.5,-205.0,175.0
2007-12-01,2007,False,TennesseeU,LSU,14,21,0,7.5,7.0,6.5,61.0,58.0,27.5,235.0,-275.0
2007-12-01,2007,False,Oklahoma,Missouri,38,17,1,3.0,3.0,3.0,68.0,65.0,31.5,-150.0,130.0
2007-12-20,2007,False,Navy,Utah,32,35,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2007-12-21,2007,False,FloridaAtlantic,Memphis,44,27,1,3.0,3.5,35.0,68.0,67.5,0.0,-170.0,150.0
2007-12-22,2007,False,SoMississippi,CincinnatiU,21,31,0,11.0,11.0,7.0,56.0,54.0,27.0,450.0,-550.0
2007-12-22,2007,False,Nevada,NewMexico,0,23,0,3.5,2.0,27.0,63.0,56.5,0.0,105.0,-125.0
2007-12-22,2007,False,UCLA,BYU,16,17,0,4.0,5.5,3.0,47.0,47.0,22.0,175.0,-205.0
2007-12-23,2007,False,EastCarolina,BoiseState,41,38,1,12.5,11.0,7.0,72.0,66.0,31.5,355.0,-425.0
2007-12-26,2007,False,CentralMichigan,Purdue,48,51,0,10.0,8.5,3.0,74.0,70.5,35.0,285.0,-335.0
2007-12-27,2007,False,Texas,ArizonaState,52,34,1,1.5,1.5,30.0,62.5,62.0,2.0,-130.0,110.0
2007-12-28,2007,False,MichiganState,BostonCollege,21,24,0,2.5,5.0,2.0,58.0,56.5,28.0,175.0,-205.0
2007-12-28,2007,False,TCU,HoustonU,20,13,1,3.5,6.5,6.0,61.5,57.0,28.0,-250.0,210.0
2007-12-28,2007,False,Maryland,OregonState,14,21,0,3.5,4.0,3.0,49.0,47.0,24.0,155.0,-175.0
2007-12-29,2007,False,Connecticut,WakeForest,10,24,0,3.5,2.0,3.0,50.0,47.0,21.0,115.0,-135.0
2007-12-29,2007,False,CentralFlorida,MississippiSt,3,10,0,3.0,3.0,2.5,60.5,52.5,21.0,-145.0,125.0
2007-12-29,2007,False,PennState,TexasA&M,24,17,1,6.0,5.0,3.5,51.5,52.0,24.5,-205.0,175.0
2007-12-30,2007,False,Colorado,Alabama,24,30,0,3.5,4.0,27.0,51.0,52.5,1.0,155.0,-175.0
2007-12-31,2007,False,AirForce,California,36,42,0,6.0,4.5,7.0,53.5,57.0,29.0,160.0,-190.0
2007-12-31,2007,False,Oregon,SouthFlorida,56,21,1,7.0,5.5,2.5,52.5,52.0,27.5,200.0,-240.0
2007-12-31,2007,False,FresnoState,GeorgiaTech,40,28,1,5.0,5.0,3.5,55.5,55.0,28.0,185.0,-215.0
2007-12-31,2007,False,FloridaState,Kentucky,28,35,0,1.0,7.0,4.5,56.5,56.5,28.0,250.0,-300.0
2007-12-31,2007,False,Indiana,OklahomaState,33,49,0,4.0,6.5,3.0,68.0,69.5,33.0,230.0,-270.0
2007-12-31,2007,False,Auburn,Clemson,23,20,1,3.0,2.0,0.0,49.0,44.0,21.0,110.0,-130.0
2007-01-01,2007,False,Wisconsin,TennesseeU,17,21,0,3.5,2.5,0.0,61.0,56.5,28.5,120.0,-140.0
2007-01-01,2007,False,Arkansas,Missouri,7,38,0,4.0,4.0,2.5,71.0,68.5,31.5,160.0,-190.0
2007-01-01,2007,False,Michigan,Florida,41,35,1,11.0,10.0,10.0,62.5,60.5,31.5,360.0,-430.0
2007-01-01,2007,False,TexasTech,Virginia,31,28,1,5.5,6.5,5.5,60.5,58.5,28.0,-245.0,205.0
2007-01-01,2007,False,Illinois,USC,17,49,0,13.0,13.0,7.0,49.5,48.0,23.0,400.0,-500.0
2007-01-01,2007,False,Hawaii,Georgia,10,41,0,8.0,8.0,7.0,69.5,68.0,31.0,290.0,-350.0
2007-01-02,2007,False,WestVirginia,Oklahoma,48,28,1,6.0,7.5,6.5,65.0,61.0,30.0,255.0,-305.0
2007-01-03,2007,False,Kansas,VirginiaTech,24,21,1,0.0,3.0,5.0,54.0,50.5,24.5,135.0,-155.0
2007-01-05,2007,False,BallState,Rutgers,30,52,0,9.0,12.0,6.0,59.0,61.0,31.0,380.0,-480.0
2007-01-06,2007,False,BowlingGreen,Tulsa,7,63,0,4.0,6.0,0.5,75.0,76.0,34.0,175.0,-205.0
2007-01-07,2007,False,OhioState,LSU,24,38,0,3.0,3.5,1.0,51.5,46.5,24.0,145.0,-165.0
2008-12-06,2008,False,EastCarolina,Tulsa,27,24,1,13.0,12.0,7.0,66.0,67.0,31.5,325.0,-400.0
2008-12-06,2008,False,BostonCollege,VirginiaTech,12,30,0,39.5,39.0,1.5,0.0,1.0,19.5,-120.0,100.0
2008-12-06,2008,False,Alabama,Florida,20,31,0,10.0,9.5,3.5,51.0,54.5,27.5,280.0,-340.0
2008-12-06,2008,False,Missouri,Oklahoma,21,62,0,15.0,16.5,7.5,80.0,79.0,34.0,470.0,-640.0
2008-12-20,2008,False,Navy,WakeForest,19,29,0,3.0,3.0,3.0,41.0,44.5,22.5,140.0,-160.0
2008-12-20,2008,False,FresnoState,ColoradoState,35,40,0,3.0,2.0,0.5,60.0,61.0,31.0,-125.0,105.0
2008-12-20,2008,False,Memphis,SouthFlorida,14,41,0,13.0,10.5,3.0,51.0,57.0,28.0,315.0,-380.0
2008-12-20,2008,False,BYU,ArizonaU,21,31,0,3.5,3.0,0.0,62.0,62.0,29.5,135.0,-155.0
2008-12-21,2008,False,Troy,SoMississippi,27,30,0,3.5,4.5,2.0,55.0,55.0,28.0,-190.0,165.0
